Log Start Time,2026-01-18T19:35:18
Delta uS,V Ch1,V Ch2, I, X, Y, Z, Temp, RTC Stamp
1410520.0,0.029,0.0,0.0000,-0.16,0.00,9.41,77,2026-01-18T19:35:18
1493.0,-0.029,0.0,0.0000,0.16,-0.31,9.02,77,2026-01-18T19:35:18
1477.0,0.000,0.0,0.0000,0.00,0.00,9.41,77,2026-01-18T19:35:18
149400.0,-0.057,0.0,0.0000,0.00,-0.24,9.18,77,2026-01-18T19:35:18
851537.0,0.000,0.0,0.0000,1.57,-0.16,9.41,77,2026-01-18T19:35:19
1000847.0,0.000,0.0,0.0000,0.00,0.00,8.94,77,2026-01-18T19:35:20
1001605.0,-0.029,0.0,0.0000,-1.18,0.08,9.65,77,2026-01-18T19:35:21
1000152.0,0.000,0.0,0.0000,0.08,-0.94,9.18,77,2026-01-18T19:35:22
1001502.0,0.000,0.0,0.0000,0.08,0.16,8.94,77,2026-01-18T19:35:23
216097.0,0.000,0.0,0.0000,0.31,0.47,6.12,77,2026-01-18T19:35:23
37018.0,0.000,0.0,0.0000,-0.16,0.08,9.26,77,2026-01-18T19:35:23
747494.0,-0.029,0.0,0.0000,0.08,0.00,8.94,77,2026-01-18T19:35:24
1001542.0,0.000,0.0,0.0000,-0.39,0.00,9.26,77,2026-01-18T19:35:25
514592.0,0.000,0.0,0.0000,0.55,0.00,6.12,77,2026-01-18T19:35:25
1468.0,-0.029,0.0,0.0000,0.16,0.00,9.49,77,2026-01-18T19:35:25
212580.0,0.000,0.0,0.0000,-3.30,-0.63,8.39,77,2026-01-18T19:35:25
90883.0,0.000,0.0,0.0000,1.88,4.31,10.67,77,2026-01-18T19:35:26
36977.0,0.000,0.0,0.0000,2.67,0.00,9.02,77,2026-01-18T19:35:26
144734.0,0.000,0.0,0.0000,1.96,-0.63,9.02,77,2026-01-18T19:35:26
1000122.0,-0.029,0.0,0.0000,0.08,-0.24,9.18,77,2026-01-18T19:35:27
540817.0,0.000,0.0,0.0000,6.20,1.80,8.94,77,2026-01-18T19:35:27
32614.0,0.000,0.0,0.0000,10.59,-2.28,9.96,77,2026-01-18T19:35:27
32598.0,0.000,0.0,0.0000,1.96,1.57,8.08,77,2026-01-18T19:35:27
