Timestamp(ms),Current(uA),D0-D7
49983,890.414,10000000
49984,888.328,10000000
49985,889.849,10000000
49986,888.073,10000000
49987,888.849,10000000
49988,887.478,10000000
49989,887.635,10000000
49990,887.601,10000000
49991,888.042,10000000
49992,887.531,10000000
49993,886.907,10000000
49994,889.130,10000000
49995,890.334,10000000
49996,890.574,10000000
49997,891.196,10000000
49998,890.732,10000000
49999,890.032,10000000
50000,890.547,10000000
50001,890.934,10000000
50002,889.811,10000000
50003,888.704,10000000
50004,888.530,10000000
50005,889.412,10000000
50006,890.627,10000000
50007,891.878,10000000
50008,890.359,10000000
50009,889.907,10000000
50010,889.177,10000000
50011,889.663,10000000
50012,889.290,10000000
50013,888.882,10000000
50014,888.353,10000000
50015,887.974,10000000
50016,887.884,10000000
50017,887.832,10000000
50018,889.023,10000000
50019,890.828,10000000
50020,889.229,10000000
50021,872.619,10000000
50022,872.778,10000000
50023,885.121,10000000
50024,887.544,10000000
50025,881.951,10000000
50026,888.389,10000000
50027,889.883,10000000
50028,890.479,10000000
50029,890.146,10000000
50030,890.522,10000000
50031,890.655,10000000
50032,890.262,10000000
50033,889.687,10000000
50034,889.863,10000000
50035,889.516,10000000
50036,889.651,10000000
50037,889.271,10000000
50038,889.699,10000000
50039,890.123,10000000
50040,889.614,10000000
50041,889.951,10000000
50042,890.204,10000000
50043,891.780,10000000
50044,893.563,10000000
50045,891.714,10000000
50046,890.719,10000000
50047,891.564,10000000
50048,890.795,10000000
50049,891.241,10000000
50050,890.478,10000000
50051,890.189,10000000
50052,890.771,10000000
50053,891.542,10000000
50054,890.619,10000000
50055,890.038,10000000
50056,890.955,10000000
50057,890.550,10000000
50058,890.953,10000000
50059,890.762,10000000
50060,890.963,10000000
50061,889.786,10000000
50062,890.194,10000000
50063,889.167,10000000
50064,888.436,10000000
50065,888.102,10000000
50066,888.503,10000000
50067,888.653,10000000
50068,891.031,10000000
50069,891.221,10000000
50070,890.837,10000000
50071,891.259,10000000
50072,891.448,10000000
50073,890.486,10000000
50074,887.748,10000000
50075,871.821,10000000
50076,873.439,10000000
50077,884.373,10000000
50078,886.747,10000000
50079,891.972,10000000
50080,894.267,10000000
50081,893.921,10000000
50082,893.975,10000000
50083,893.913,10000000
50084,892.487,10000000
50085,892.260,10000000
50086,893.194,10000000
50087,893.012,10000000
50088,892.452,10000000
50089,893.651,10000000
50090,893.311,10000000
50091,892.926,10000000
50092,892.318,10000000
50093,893.661,10000000
50094,893.875,10000000
50095,893.304,10000000
50096,893.861,10000000
50097,892.645,10000000
50098,892.947,10000000
50099,892.922,10000000
50100,892.456,10000000
50101,892.719,10000000
50102,892.444,10000000
50103,892.724,10000000
50104,892.947,10000000
50105,893.169,10000000
50106,893.909,10000000
50107,894.287,10000000
50108,895.181,10000000
50109,892.978,10000000
50110,892.957,10000000
50111,892.197,10000000
50112,892.955,10000000
50113,892.602,10000000
50114,891.849,10000000
50115,892.871,10000000
50116,893.381,10000000
50117,893.070,10000000
50118,892.588,10000000
50119,893.397,10000000
50120,892.805,10000000
50121,891.650,10000000
50122,892.170,10000000
50123,893.293,10000000
50124,894.593,10000000
50125,892.604,10000000
50126,893.622,10000000
50127,892.615,10000000
50128,887.963,10000000
50129,872.955,10000000
50130,876.513,10000000
50131,886.618,10000000
50132,889.678,10000000
50133,891.435,10000000
50134,892.897,10000000
50135,892.137,10000000
50136,892.016,10000000
50137,892.736,10000000
50138,892.074,10000000
50139,893.055,10000000
50140,893.659,10000000
50141,892.705,10000000
50142,893.122,10000000
50143,892.661,10000000
50144,892.851,10000000
50145,892.184,10000000
50146,891.943,10000000
50147,892.323,10000000
50148,892.729,10000000
50149,893.876,10000000
50150,893.518,10000000
50151,894.114,10000000
50152,892.792,10000000
50153,892.662,10000000
50154,893.279,10000000
50155,893.396,10000000
50156,893.717,10000000
50157,891.871,10000000
50158,891.285,10000000
50159,892.308,10000000
50160,893.782,10000000
50161,893.241,10000000
50162,892.856,10000000
50163,892.432,10000000
50164,892.390,10000000
50165,893.998,10000000
50166,893.279,10000000
50167,892.079,10000000
50168,892.880,10000000
50169,893.707,10000000
50170,892.530,10000000
50171,892.558,10000000
50172,891.033,10000000
50173,890.862,10000000
50174,892.602,10000000
50175,891.899,10000000
50176,891.911,10000000
50177,891.752,10000000
50178,892.945,10000000
50179,892.670,10000000
50180,893.055,10000000
50181,893.391,10000000
50182,886.216,10000000
50183,874.637,10000000
50184,879.538,10000000
50185,889.704,10000000
50186,891.633,10000000
50187,893.196,10000000
50188,894.088,10000000
50189,893.189,10000000
50190,894.078,10000000
50191,894.027,10000000
50192,893.734,10000000
50193,893.708,10000000
50194,893.248,10000000
50195,894.368,10000000
50196,892.807,10000000
50197,891.744,10000000
50198,893.680,10000000
50199,893.387,10000000
50200,894.555,10000000
50201,894.588,10000000
50202,892.295,10000000
50203,893.587,10000000
