t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5180,6100,6206,1.228713,1.250064,-0.021351
24,-0.4960,6100,6206,1.228713,1.250064,-0.021351
47,-0.4730,6098,6206,1.228310,1.250064,-0.021754
69,-0.4510,6166,6206,1.242007,1.250064,-0.008057
91,-0.4290,6098,6206,1.228310,1.250064,-0.021754
114,-0.4060,6173,6206,1.243417,1.250064,-0.006647
136,-0.3840,6108,6206,1.230324,1.250064,-0.019740
159,-0.3610,6136,6206,1.235964,1.250064,-0.014100
181,-0.3390,6132,6206,1.235158,1.250064,-0.014906
203,-0.3170,6113,6206,1.231331,1.250064,-0.018733
226,-0.2940,6172,6206,1.243216,1.250064,-0.006849
248,-0.2720,6098,6206,1.228310,1.250064,-0.021754
271,-0.2490,6176,6206,1.244021,1.250064,-0.006043
293,-0.2270,6098,6206,1.228310,1.250064,-0.021754
315,-0.2050,6136,6206,1.235964,1.250064,-0.014100
338,-0.1820,6128,6206,1.234353,1.250064,-0.015711
360,-0.1600,6106,6206,1.229921,1.250064,-0.020143
383,-0.1370,6164,6206,1.241604,1.250064,-0.008460
405,-0.1150,6089,6206,1.226497,1.250064,-0.023567
427,-0.0930,6166,6206,1.242007,1.250064,-0.008057
450,-0.0700,6090,6206,1.226698,1.250064,-0.023366
472,-0.0480,6128,6206,1.234353,1.250064,-0.015711
495,-0.0250,6116,6206,1.231936,1.250064,-0.018129
517,-0.0030,480,6206,0.096686,1.250064,-1.153379
543,0.0230,1280,6206,0.257828,1.250064,-0.992236
565,0.0450,1664,6206,0.335177,1.250064,-0.914887
587,0.0670,2024,6206,0.407691,1.250064,-0.842373
610,0.0900,2250,6206,0.453214,1.250064,-0.796850
632,0.1120,2552,6206,0.514045,1.250064,-0.736019
655,0.1350,2760,6206,0.555942,1.250064,-0.694122
677,0.1570,3000,6206,0.604285,1.250064,-0.645779
700,0.1800,3216,6206,0.647793,1.250064,-0.602271
722,0.2020,3388,6206,0.682439,1.250064,-0.567625
744,0.2240,3616,6206,0.728365,1.250064,-0.521699
767,0.2470,3728,6206,0.750925,1.250064,-0.499139
789,0.2690,3916,6206,0.788793,1.250064,-0.461271
812,0.2920,4024,6206,0.810548,1.250064,-0.439517
834,0.3140,4176,6206,0.841165,1.250064,-0.408899
857,0.3370,4304,6206,0.866947,1.250064,-0.383117
879,0.3590,4404,6206,0.887090,1.250064,-0.362974
901,0.3810,4568,6206,0.920125,1.250064,-0.329940
924,0.4040,4608,6206,0.928182,1.250064,-0.321882
946,0.4260,4740,6206,0.954770,1.250064,-0.295294
969,0.4490,4800,6206,0.966856,1.250064,-0.283208
991,0.4710,5004,6206,1.007947,1.250064,-0.242117
1016,0.4960,5066,6206,1.020436,1.250064,-0.229628
1039,0.5190,5008,6206,1.008753,1.250064,-0.241311
1061,0.5410,5124,6206,1.032119,1.250064,-0.217945
1084,0.5640,5130,6206,1.033327,1.250064,-0.216737
1106,0.5860,5236,6206,1.054679,1.250064,-0.195385
1128,0.6080,5252,6206,1.057901,1.250064,-0.192163
1151,0.6310,5329,6206,1.073411,1.250064,-0.176653
1173,0.6530,5378,6206,1.083281,1.250064,-0.166783
1196,0.6760,5416,6206,1.090936,1.250064,-0.159128
1218,0.6980,5518,6206,1.111481,1.250064,-0.138583
1241,0.7210,5504,6206,1.108661,1.250064,-0.141403
1263,0.7430,5588,6206,1.125581,1.250064,-0.124483
1286,0.7660,5586,6206,1.125179,1.250064,-0.124886
1308,0.7880,5648,6206,1.137667,1.250064,-0.112397
1331,0.8110,5680,6206,1.144113,1.250064,-0.105951
1353,0.8330,5701,6206,1.148343,1.250064,-0.101721
1375,0.8550,5786,6206,1.165464,1.250064,-0.084600
1398,0.8780,5760,6206,1.160227,1.250064,-0.089837
1420,0.9000,5832,6206,1.174730,1.250064,-0.075334
1443,0.9230,5818,6206,1.171910,1.250064,-0.078154
1465,0.9450,5876,6206,1.183593,1.250064,-0.066471
1488,0.9680,5892,6206,1.186816,1.250064,-0.063248
1510,0.9900,5897,6206,1.187823,1.250064,-0.062241
