t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5180,6044,6206,1.217433,1.250064,-0.032631
24,-0.4960,5986,6206,1.205750,1.250064,-0.044314
47,-0.4730,6032,6206,1.215016,1.250064,-0.035049
69,-0.4510,6034,6206,1.215418,1.250064,-0.034646
91,-0.4290,6072,6206,1.223073,1.250064,-0.026991
114,-0.4060,6134,6206,1.235561,1.250064,-0.014503
136,-0.3840,6144,6206,1.237576,1.250064,-0.012489
158,-0.3620,6201,6206,1.249057,1.250064,-0.001007
181,-0.3390,6173,6206,1.243417,1.250064,-0.006647
203,-0.3170,6172,6206,1.243216,1.250064,-0.006849
226,-0.2940,6209,6206,1.250668,1.250064,0.000604
248,-0.2720,6172,6206,1.243216,1.250064,-0.006849
270,-0.2500,6228,6206,1.254496,1.250064,0.004431
293,-0.2270,6155,6206,1.239791,1.250064,-0.010273
315,-0.2050,6240,6206,1.256913,1.250064,0.006849
338,-0.1820,6165,6206,1.241806,1.250064,-0.008259
360,-0.1600,6212,6206,1.251273,1.250064,0.001209
383,-0.1370,6184,6206,1.245633,1.250064,-0.004431
405,-0.1150,6161,6206,1.241000,1.250064,-0.009064
427,-0.0930,6228,6206,1.254496,1.250064,0.004431
450,-0.0700,6152,6206,1.239187,1.250064,-0.010877
472,-0.0480,6216,6206,1.252078,1.250064,0.002014
495,-0.0250,6178,6206,1.244424,1.250064,-0.005640
517,-0.0030,496,6206,0.099908,1.250064,-1.150156
543,0.0230,1256,6206,0.252994,1.250064,-0.997070
565,0.0450,1664,6206,0.335177,1.250064,-0.914887
587,0.0670,1992,6206,0.401245,1.250064,-0.848819
610,0.0900,2256,6206,0.454422,1.250064,-0.795642
632,0.1120,2570,6206,0.517671,1.250064,-0.732393
655,0.1350,2762,6206,0.556345,1.250064,-0.693719
677,0.1570,3028,6206,0.609925,1.250064,-0.640139
699,0.1790,3212,6206,0.646988,1.250064,-0.603076
722,0.2020,3420,6206,0.688885,1.250064,-0.561179
744,0.2240,3620,6206,0.729170,1.250064,-0.520894
767,0.2470,3768,6206,0.758982,1.250064,-0.491082
789,0.2690,3980,6206,0.801685,1.250064,-0.448379
812,0.2920,4073,6206,0.820418,1.250064,-0.429647
834,0.3140,4250,6206,0.856070,1.250064,-0.393994
856,0.3360,4356,6206,0.877422,1.250064,-0.372642
879,0.3590,4492,6206,0.904816,1.250064,-0.345248
901,0.3810,4626,6206,0.931807,1.250064,-0.318257
924,0.4040,4706,6206,0.947922,1.250064,-0.302142
946,0.4260,4856,6206,0.978136,1.250064,-0.271928
969,0.4490,4901,6206,0.987200,1.250064,-0.262864
991,0.4710,5074,6206,1.022047,1.250064,-0.228017
1016,0.4960,5122,6206,1.031716,1.250064,-0.218348
1039,0.5190,5226,6206,1.052664,1.250064,-0.197400
1061,0.5410,5340,6206,1.075627,1.250064,-0.174437
1084,0.5640,5351,6206,1.077843,1.250064,-0.172221
1106,0.5860,5487,6206,1.105237,1.250064,-0.144827
1128,0.6080,5515,6206,1.110877,1.250064,-0.139187
1151,0.6310,5616,6206,1.131221,1.250064,-0.118843
1173,0.6530,5630,6206,1.134041,1.250064,-0.116023
1196,0.6760,5695,6206,1.147134,1.250064,-0.102930
1218,0.6980,5757,6206,1.159623,1.250064,-0.090441
1241,0.7210,5792,6206,1.166673,1.250064,-0.083391
1263,0.7430,5888,6206,1.186010,1.250064,-0.064054
1286,0.7660,5872,6206,1.182787,1.250064,-0.067277
1308,0.7880,5952,6206,1.198901,1.250064,-0.051163
1330,0.8100,5952,6206,1.198901,1.250064,-0.051163
1353,0.8330,6001,6206,1.208771,1.250064,-0.041293
1375,0.8550,6045,6206,1.217634,1.250064,-0.032430
1398,0.8780,6048,6206,1.218238,1.250064,-0.031826
1420,0.9000,6044,6206,1.217433,1.250064,-0.032631
1443,0.9230,5964,6206,1.201318,1.250064,-0.048746
1465,0.9450,6061,6206,1.220857,1.250064,-0.029207
1488,0.9680,6024,6206,1.213404,1.250064,-0.036660
1510,0.9900,6204,6206,1.249661,1.250064,-0.000403
1533,1.0130,6184,6206,1.245633,1.250064,-0.004431
1555,1.0350,6180,6206,1.244827,1.250064,-0.005237
1577,1.0570,6254,6206,1.259733,1.250064,0.009669
1600,1.0800,6214,6206,1.251676,1.250064,0.001611
1622,1.1020,6280,6206,1.264970,1.250064,0.014906
1645,1.1250,6261,6206,1.261143,1.250064,0.011079
1667,1.1470,6297,6206,1.268394,1.250064,0.018330
1690,1.1700,6317,6206,1.272423,1.250064,0.022359
1712,1.1920,6314,6206,1.271818,1.250064,0.021754
1735,1.2150,6386,6206,1.286321,1.250064,0.036257
1757,1.2370,6343,6206,1.277660,1.250064,0.027596
1780,1.2600,6390,6206,1.287127,1.250064,0.037063
1802,1.2820,6362,6206,1.281487,1.250064,0.031423
1825,1.3050,6389,6206,1.286925,1.250064,0.036861
1847,1.3270,6410,6206,1.291155,1.250064,0.041091
1869,1.3490,6404,6206,1.289947,1.250064,0.039883
1892,1.3720,6466,6206,1.302435,1.250064,0.052371
1914,1.3940,6413,6206,1.291760,1.250064,0.041696
1937,1.4170,6464,6206,1.302033,1.250064,0.051969
1959,1.4390,6441,6206,1.297400,1.250064,0.047336
1982,1.4620,6429,6206,1.294983,1.250064,0.044919
2006,1.4860,6422,6206,1.293573,1.250064,0.043509
2029,1.5090,6425,6206,1.294177,1.250064,0.044113
2051,1.5310,6480,6206,1.305255,1.250064,0.055191
2074,1.5540,6428,6206,1.294781,1.250064,0.044717
2096,1.5760,6482,6206,1.305658,1.250064,0.055594
2119,1.5990,6444,6206,1.298004,1.250064,0.047940
2141,1.6210,6476,6206,1.304450,1.250064,0.054386
2163,1.6430,6480,6206,1.305255,1.250064,0.055191
2186,1.6660,6474,6206,1.304047,1.250064,0.053983
2208,1.6880,6537,6206,1.316737,1.250064,0.066673
2231,1.7110,6480,6206,1.305255,1.250064,0.055191
2253,1.7330,6532,6206,1.315730,1.250064,0.065666
2276,1.7560,6493,6206,1.307874,1.250064,0.057810
2298,1.7780,6522,6206,1.313715,1.250064,0.063651
2321,1.8010,6517,6206,1.312708,1.250064,0.062644
2343,1.8230,6515,6206,1.312305,1.250064,0.062241
2365,1.8450,6578,6206,1.324995,1.250064,0.074931
2388,1.8680,6520,6206,1.313313,1.250064,0.063248
2410,1.8900,6568,6206,1.322981,1.250064,0.072917
2433,1.9130,6531,6206,1.315528,1.250064,0.065464
2455,1.9350,6558,6206,1.320967,1.250064,0.070903
2478,1.9580,6556,6206,1.320564,1.250064,0.070500
2500,1.9800,6542,6206,1.317744,1.250064,0.067680
2523,2.0030,6581,6206,1.325600,1.250064,0.075536
2545,2.0250,6507,6206,1.310694,1.250064,0.060630
2568,2.0480,6553,6206,1.319960,1.250064,0.069896
2590,2.0700,6512,6206,1.311701,1.250064,0.061637
2613,2.0930,6547,6206,1.318751,1.250064,0.068687
2635,2.1150,6540,6206,1.317341,1.250064,0.067277
2657,2.1370,6539,6206,1.317140,1.250064,0.067076
2680,2.1600,6592,6206,1.327815,1.250064,0.077751
2702,2.1820,6538,6206,1.316938,1.250064,0.066874
2725,2.2050,6588,6206,1.327010,1.250064,0.076946
2747,2.2270,6542,6206,1.317744,1.250064,0.067680
2770,2.2500,6574,6206,1.324190,1.250064,0.074126
2792,2.2720,6570,6206,1.323384,1.250064,0.073320
2815,2.2950,6564,6206,1.322175,1.250064,0.072111
2837,2.3170,6612,6206,1.331844,1.250064,0.081780
2860,2.3400,6556,6206,1.320564,1.250064,0.070500
2882,2.3620,6609,6206,1.331240,1.250064,0.081176
2904,2.3840,6564,6206,1.322175,1.250064,0.072111
2927,2.4070,6588,6206,1.327010,1.250064,0.076946
2949,2.4290,6592,6206,1.327815,1.250064,0.077751
2972,2.4520,6584,6206,1.326204,1.250064,0.076140
2994,2.4740,6659,6206,1.341311,1.250064,0.091247
