t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5180,6062,6206,1.221058,1.250064,-0.029006
24,-0.4960,6092,6206,1.227101,1.250064,-0.022963
47,-0.4730,6072,6206,1.223073,1.250064,-0.026991
69,-0.4510,6172,6206,1.243216,1.250064,-0.006849
91,-0.4290,6077,6206,1.224080,1.250064,-0.025984
114,-0.4060,6130,6206,1.234756,1.250064,-0.015309
136,-0.3840,6091,6206,1.226900,1.250064,-0.023164
158,-0.3620,6104,6206,1.229518,1.250064,-0.020546
181,-0.3390,6124,6206,1.233547,1.250064,-0.016517
203,-0.3170,6089,6206,1.226497,1.250064,-0.023567
226,-0.2940,6176,6206,1.244021,1.250064,-0.006043
248,-0.2720,6073,6206,1.223274,1.250064,-0.026790
270,-0.2500,6134,6206,1.235561,1.250064,-0.014503
293,-0.2270,6085,6206,1.225691,1.250064,-0.024373
315,-0.2050,6102,6206,1.229116,1.250064,-0.020949
338,-0.1820,6118,6206,1.232338,1.250064,-0.017726
360,-0.1600,6080,6206,1.224684,1.250064,-0.025380
383,-0.1370,6172,6206,1.243216,1.250064,-0.006849
405,-0.1150,6070,6206,1.222670,1.250064,-0.027394
427,-0.0930,6128,6206,1.234353,1.250064,-0.015711
450,-0.0700,6080,6206,1.224684,1.250064,-0.025380
472,-0.0480,6088,6206,1.226296,1.250064,-0.023769
495,-0.0250,6118,6206,1.232338,1.250064,-0.017726
517,-0.0030,464,6206,0.093463,1.250064,-1.156601
543,0.0230,1255,6206,0.252793,1.250064,-0.997272
565,0.0450,1544,6206,0.311005,1.250064,-0.939059
587,0.0670,1851,6206,0.372844,1.250064,-0.877220
610,0.0900,2039,6206,0.410712,1.250064,-0.839352
632,0.1120,2303,6206,0.463889,1.250064,-0.786175
655,0.1350,2551,6206,0.513844,1.250064,-0.736220
677,0.1570,2687,6206,0.541238,1.250064,-0.708826
699,0.1790,2952,6206,0.594616,1.250064,-0.655448
722,0.2020,3059,6206,0.616169,1.250064,-0.633895
744,0.2240,3259,6206,0.656455,1.250064,-0.593609
767,0.2470,3212,6206,0.646988,1.250064,-0.603076
789,0.2690,3528,6206,0.710639,1.250064,-0.539425
812,0.2920,3583,6206,0.721718,1.250064,-0.528346
834,0.3140,3711,6206,0.747500,1.250064,-0.502564
856,0.3360,3903,6206,0.786175,1.250064,-0.463889
879,0.3590,3948,6206,0.795239,1.250064,-0.454825
901,0.3810,4095,6206,0.824849,1.250064,-0.425215
924,0.4040,4210,6206,0.848013,1.250064,-0.402051
946,0.4260,4334,6206,0.872990,1.250064,-0.377074
969,0.4490,4424,6206,0.891119,1.250064,-0.358945
991,0.4710,4436,6206,0.893536,1.250064,-0.356528
1016,0.4960,4552,6206,0.916902,1.250064,-0.333162
1039,0.5190,4608,6206,0.928182,1.250064,-0.321882
1061,0.5410,4729,6206,0.952554,1.250064,-0.297510
1083,0.5630,4756,6206,0.957993,1.250064,-0.292071
1106,0.5860,4868,6206,0.980553,1.250064,-0.269511
1128,0.6080,4918,6206,0.990624,1.250064,-0.259440
1151,0.6310,4992,6206,1.005530,1.250064,-0.244534
1173,0.6530,5088,6206,1.024867,1.250064,-0.225197
1196,0.6760,5120,6206,1.031313,1.250064,-0.218751
1218,0.6980,5226,6206,1.052664,1.250064,-0.197400
1240,0.7200,5236,6206,1.054679,1.250064,-0.195385
1263,0.7430,5324,6206,1.072404,1.250064,-0.177660
1285,0.7650,5360,6206,1.079656,1.250064,-0.170408
1308,0.7880,5416,6206,1.090936,1.250064,-0.159128
1330,0.8100,5495,6206,1.106849,1.250064,-0.143216
1353,0.8330,5508,6206,1.109467,1.250064,-0.140597
1375,0.8550,5605,6206,1.129006,1.250064,-0.121058
1398,0.8780,5600,6206,1.127999,1.250064,-0.122066
1420,0.9000,5682,6206,1.144516,1.250064,-0.105548
1443,0.9230,5696,6206,1.147336,1.250064,-0.102728
1465,0.9450,5748,6206,1.157810,1.250064,-0.092254
1487,0.9670,5809,6206,1.170097,1.250064,-0.079967
1510,0.9900,5800,6206,1.168284,1.250064,-0.081780
1532,1.0120,5874,6206,1.183190,1.250064,-0.066874
1555,1.0350,5848,6206,1.177953,1.250064,-0.072111
1577,1.0570,5914,6206,1.191247,1.250064,-0.058817
1600,1.0800,5923,6206,1.193060,1.250064,-0.057004
1622,1.1020,5970,6206,1.202527,1.250064,-0.047537
1645,1.1250,6020,6206,1.212598,1.250064,-0.037466
1667,1.1470,6017,6206,1.211994,1.250064,-0.038070
1690,1.1700,6104,6206,1.229518,1.250064,-0.020546
1712,1.1920,6073,6206,1.223274,1.250064,-0.026790
1735,1.2150,6140,6206,1.236770,1.250064,-0.013294
1757,1.2370,6144,6206,1.237576,1.250064,-0.012489
1779,1.2590,6173,6206,1.243417,1.250064,-0.006647
1802,1.2820,6214,6206,1.251676,1.250064,0.001611
1824,1.3040,6208,6206,1.250467,1.250064,0.000403
1847,1.3270,6282,6206,1.265373,1.250064,0.015309
1869,1.3490,6246,6206,1.258121,1.250064,0.008057
1892,1.3720,6306,6206,1.270207,1.250064,0.020143
1914,1.3940,6298,6206,1.268595,1.250064,0.018531
1937,1.4170,6328,6206,1.274638,1.250064,0.024574
1959,1.4390,6368,6206,1.282695,1.250064,0.032631
1982,1.4620,6358,6206,1.280681,1.250064,0.030617
2004,1.4840,6428,6206,1.294781,1.250064,0.044717
2026,1.5060,6390,6206,1.287127,1.250064,0.037063
2049,1.5290,6441,6206,1.297400,1.250064,0.047336
2071,1.5510,6432,6206,1.295587,1.250064,0.045523
2093,1.5730,6454,6206,1.300018,1.250064,0.049954
2116,1.5960,6494,6206,1.308075,1.250064,0.058011
