t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5180,6066,6206,1.221864,1.250064,-0.028200
24,-0.4960,6126,6206,1.233950,1.250064,-0.016114
47,-0.4730,6104,6206,1.229518,1.250064,-0.020546
69,-0.4510,6114,6206,1.231533,1.250064,-0.018531
91,-0.4290,6184,6206,1.245633,1.250064,-0.004431
114,-0.4060,6124,6206,1.233547,1.250064,-0.016517
136,-0.3840,6194,6206,1.247647,1.250064,-0.002417
159,-0.3610,6132,6206,1.235158,1.250064,-0.014906
181,-0.3390,6166,6206,1.242007,1.250064,-0.008057
203,-0.3170,6154,6206,1.239590,1.250064,-0.010474
226,-0.2940,6068,6206,1.222267,1.250064,-0.027797
248,-0.2720,6225,6206,1.253891,1.250064,0.003827
271,-0.2490,6056,6206,1.219850,1.250064,-0.030214
293,-0.2270,6096,6206,1.227907,1.250064,-0.022157
315,-0.2050,6118,6206,1.232338,1.250064,-0.017726
338,-0.1820,6057,6206,1.220051,1.250064,-0.030013
360,-0.1600,6119,6206,1.232540,1.250064,-0.017524
383,-0.1370,6047,6206,1.218037,1.250064,-0.032027
405,-0.1150,6103,6206,1.229317,1.250064,-0.020747
427,-0.0930,6051,6206,1.218843,1.250064,-0.031221
450,-0.0700,6065,6206,1.221663,1.250064,-0.028401
472,-0.0480,6091,6206,1.226900,1.250064,-0.023164
495,-0.0250,6048,6206,1.218238,1.250064,-0.031826
517,-0.0030,520,6206,0.104743,1.250064,-1.145321
543,0.0230,1280,6206,0.257828,1.250064,-0.992236
565,0.0450,1820,6206,0.366600,1.250064,-0.883465
587,0.0670,2012,6206,0.405274,1.250064,-0.844790
610,0.0900,2320,6206,0.467314,1.250064,-0.782750
632,0.1120,2597,6206,0.523109,1.250064,-0.726955
655,0.1350,2821,6206,0.568229,1.250064,-0.681835
677,0.1570,3096,6206,0.623622,1.250064,-0.626442
700,0.1800,3258,6206,0.656253,1.250064,-0.593811
722,0.2020,3488,6206,0.702582,1.250064,-0.547482
744,0.2240,3657,6206,0.736623,1.250064,-0.513441
767,0.2470,3824,6206,0.770262,1.250064,-0.479802
789,0.2690,4040,6206,0.813770,1.250064,-0.436294
812,0.2920,4120,6206,0.829885,1.250064,-0.420179
834,0.3140,4298,6206,0.865739,1.250064,-0.384325
857,0.3370,4372,6206,0.880645,1.250064,-0.369420
879,0.3590,4608,6206,0.928182,1.250064,-0.321882
901,0.3810,4727,6206,0.952152,1.250064,-0.297912
924,0.4040,4832,6206,0.973302,1.250064,-0.276762
946,0.4260,4873,6206,0.981560,1.250064,-0.268504
969,0.4490,4918,6206,0.990624,1.250064,-0.259440
991,0.4710,5070,6206,1.021242,1.250064,-0.228823
1016,0.4960,5128,6206,1.032924,1.250064,-0.217140
1039,0.5190,5211,6206,1.049643,1.250064,-0.200421
1061,0.5410,5320,6206,1.071599,1.250064,-0.178465
1084,0.5640,5337,6206,1.075023,1.250064,-0.175041
1106,0.5860,5444,6206,1.096576,1.250064,-0.153488
1129,0.6090,5463,6206,1.100403,1.250064,-0.149661
1151,0.6310,5538,6206,1.115510,1.250064,-0.134554
