Timestamp(ms),Current(uA),D0-D7
0,3591.766,10000000
1,1897.172,10000000
2,1269.791,10000000
3,1037.797,10000000
4,951.120,10000000
5,919.930,10000000
6,908.400,10000000
7,903.560,10000000
8,902.734,10000000
9,901.992,10000000
10,901.162,10000000
11,900.973,10000000
12,900.495,10000000
13,899.911,10000000
14,899.425,10000000
15,900.248,10000000
16,901.443,10000000
17,901.844,10000000
18,901.436,10000000
19,900.732,10000000
20,900.521,10000000
21,900.154,10000000
22,900.050,10000000
23,900.228,10000000
24,901.530,10000000
25,901.861,10000000
26,902.793,10000000
27,899.402,10000000
28,899.799,10000000
29,901.009,10000000
30,901.730,10000000
31,900.959,10000000
32,899.591,10000000
33,900.147,10000000
34,901.192,10000000
35,902.874,10000000
36,900.890,10000000
37,900.982,10000000
38,900.730,10000000
39,900.550,10000000
40,902.332,10000000
41,901.000,10000000
42,899.798,10000000
43,900.353,10000000
44,900.903,10000000
45,901.268,10000000
46,901.241,10000000
47,901.246,10000000
48,900.984,10000000
49,901.199,10000000
50,901.837,10000000
51,901.222,10000000
52,901.681,10000000
53,902.175,10000000
54,902.129,10000000
55,901.996,10000000
56,901.422,10000000
57,899.955,10000000
58,900.501,10000000
59,899.838,10000000
60,900.675,10000000
61,899.727,10000000
62,899.935,10000000
63,899.357,10000000
64,899.578,10000000
65,899.760,10000000
66,899.895,10000000
67,899.600,10000000
68,899.520,10000000
69,899.859,10000000
70,900.410,10000000
71,899.753,10000000
72,899.345,10000000
73,899.513,10000000
74,899.597,10000000
75,900.055,10000000
76,899.589,10000000
77,898.384,10000000
78,898.766,10000000
79,898.106,10000000
80,897.985,10000000
81,899.172,10000000
82,899.511,10000000
83,899.774,10000000
84,898.875,10000000
85,900.430,10000000
86,900.557,10000000
87,898.854,10000000
88,899.073,10000000
89,900.064,10000000
90,900.625,10000000
91,899.968,10000000
92,899.399,10000000
93,898.792,10000000
94,898.542,10000000
95,898.074,10000000
96,899.599,10000000
97,901.578,10000000
98,900.613,10000000
99,900.159,10000000
100,899.509,10000000
101,900.536,10000000
102,899.822,10000000
103,900.167,10000000
104,899.354,10000000
105,899.909,10000000
106,899.665,10000000
107,900.247,10000000
108,899.389,10000000
109,899.910,10000000
110,899.772,10000000
111,899.342,10000000
112,899.265,10000000
113,899.776,10000000
114,898.728,10000000
115,898.336,10000000
116,899.689,10000000
117,899.928,10000000
118,899.433,10000000
119,899.212,10000000
120,899.445,10000000
121,899.176,10000000
122,900.212,10000000
123,899.257,10000000
124,898.992,10000000
125,899.566,10000000
126,900.284,10000000
127,898.945,10000000
128,898.608,10000000
129,899.449,10000000
130,898.819,10000000
131,898.397,10000000
132,899.926,10000000
133,898.599,10000000
134,897.874,10000000
135,897.791,10000000
136,899.631,10000000
137,899.393,10000000
138,898.596,10000000
139,898.644,10000000
140,898.892,10000000
141,898.410,10000000
142,897.529,10000000
143,898.981,10000000
144,898.247,10000000
145,897.974,10000000
146,897.527,10000000
147,896.964,10000000
148,898.875,10000000
149,898.735,10000000
150,899.416,10000000
151,899.875,10000000
152,898.627,10000000
153,899.694,10000000
154,898.933,10000000
155,898.708,10000000
156,898.157,10000000
157,898.132,10000000
158,898.313,10000000
159,898.442,10000000
160,898.474,10000000
161,898.554,10000000
162,898.729,10000000
163,900.890,10000000
164,898.796,10000000
165,898.607,10000000
166,898.107,10000000
167,898.563,10000000
168,899.017,10000000
