Log Start Time,2026-01-18T18:33:50
Delta uS,V Ch1,V Ch2, I, X, Y, Z, Temp, RTC Stamp
1329915.0,7.933,0.0,0.0000,-0.08,0.63,7.77,70,2026-01-18T18:33:50
1510.0,7.904,0.0,0.0000,0.00,0.00,8.94,70,2026-01-18T18:33:50
69637.0,7.961,0.0,0.0000,0.24,0.00,9.41,70,2026-01-18T18:33:51
931245.0,7.933,0.0,0.0000,-0.24,0.00,8.87,70,2026-01-18T18:33:51
1000774.0,7.904,0.0,0.0000,0.78,-0.71,8.94,70,2026-01-18T18:33:52
1001456.0,7.933,0.0,0.0000,0.00,0.00,9.02,70,2026-01-18T18:33:53
1000770.0,7.933,0.0,0.0000,0.00,-0.16,9.02,70,2026-01-18T18:33:54
1002055.0,7.904,0.0,0.0000,0.00,0.00,8.94,70,2026-01-18T18:33:55
1000698.0,7.904,0.0,0.0000,-0.24,0.16,9.34,70,2026-01-18T18:33:56
1001376.0,7.933,0.0,0.0000,0.00,-0.94,8.79,70,2026-01-18T18:33:57
1000715.0,7.904,0.0,0.0000,0.08,-0.86,10.90,70,2026-01-18T18:33:58
1001435.0,7.904,0.0,0.0000,0.00,-0.39,9.34,70,2026-01-18T18:33:59
1000701.0,7.961,0.0,0.0000,-0.16,0.31,9.49,70,2026-01-18T18:34:00
1001442.0,7.933,0.0,0.0000,0.00,-0.24,8.87,70,2026-01-18T18:34:01
1000822.0,7.904,0.0,0.0000,0.31,0.08,8.94,70,2026-01-18T18:34:02
1000504.0,7.933,0.0,0.0000,0.08,0.08,11.61,70,2026-01-18T18:34:03
403756.0,7.961,0.0,0.0000,3.77,-2.28,11.53,70,2026-01-18T18:34:04
107360.0,7.933,0.0,0.0000,6.12,3.77,20.55,71,2026-01-18T18:34:04
94217.0,7.904,0.0,0.0000,-5.33,-9.73,9.96,70,2026-01-18T18:34:04
69391.0,7.933,0.0,0.0000,-1.80,-1.02,17.50,70,2026-01-18T18:34:04
41674.0,7.933,0.0,0.0000,-2.75,-4.71,14.75,70,2026-01-18T18:34:04
285486.0,7.904,0.0,0.0000,0.00,-0.78,9.34,70,2026-01-18T18:34:04
1000778.0,7.933,0.0,0.0000,-0.55,0.08,9.26,70,2026-01-18T18:34:05
81120.0,7.933,0.0,0.0000,-6.04,-17.26,2.43,70,2026-01-18T18:34:06
1465.0,7.933,0.0,0.0000,6.51,5.88,14.75,70,2026-01-18T18:34:06
917776.0,7.933,0.0,0.0000,-0.31,0.16,8.94,70,2026-01-18T18:34:06
1001550.0,7.904,0.0,0.0000,0.00,-0.08,9.02,70,2026-01-18T18:34:07
339468.0,7.933,0.0,0.0000,1.65,17.65,5.88,70,2026-01-18T18:34:08
1466.0,7.904,0.0,0.0000,-1.33,-12.63,27.69,70,2026-01-18T18:34:08
554294.0,7.904,0.0,0.0000,5.02,0.55,11.14,70,2026-01-18T18:34:08
106548.0,7.933,0.0,0.0000,0.16,-0.16,8.16,70,2026-01-18T18:34:08
483952.0,7.933,0.0,0.0000,0.55,6.75,16.32,70,2026-01-18T18:34:09
315386.0,7.904,0.0,0.0000,5.96,6.83,9.96,70,2026-01-18T18:34:09
1466.0,7.904,0.0,0.0000,2.35,-0.08,16.16,70,2026-01-18T18:34:09
60956.0,7.933,0.0,0.0000,-0.94,3.14,7.06,70,2026-01-18T18:34:09
29968.0,7.904,0.0,0.0000,1.26,0.31,10.43,70,2026-01-18T18:34:09
35826.0,7.933,0.0,0.0000,-4.94,-4.55,2.43,70,2026-01-18T18:34:09
1466.0,7.933,0.0,0.0000,3.37,-1.65,19.61,70,2026-01-18T18:34:09
