,Underload,,No Load,,
Time (ms),"A4-A5 (I, load)","A2-A3 (V, load)","A4-A5 (I, no load)","A2-A3 (V, no load)",Load Difference
0,-0.44264,-112.03,-0.43104,-113.64,-0.0116
0.045898,-0.44419,-114.53,-0.44532,-114.31,0.00113
0.091797,-0.46395,-115.16,-0.44627,-118.21,-0.01768
0.1377,-0.46942,-119.06,-0.46442,-117.93,-0.005
0.18359,-0.48686,-119.68,-0.45603,-122.1,-0.03083
0.22949,-0.48811,-122.6,-0.47537,-122.25,-0.01274
0.27539,-0.47728,-123.34,-0.48216,-125.56,0.00488
0.32129,-0.48823,-125.59,-0.48603,-125.88,-0.0022
0.36719,-0.48757,-126.61,-0.46895,-129.21,-0.01862
0.41309,-0.51471,-129.19,-0.50394,-130.63,-0.01077
0.45898,-0.48972,-131.36,-0.49805,-131.3,0.00833
0.50488,-0.51977,-131.63,-0.47752,-132.05,-0.04225
0.55078,-0.52292,-133.48,-0.51709,-134.48,-0.00583
0.59668,-0.50638,-133.93,-0.48156,-134.83,-0.02482
0.64258,-0.5259,-136.23,-0.50602,-136.85,-0.01988
0.68848,-0.51977,-135.77,-0.51965,-138.28,-0.00012
0.73438,-0.52566,-139.02,-0.48763,-137.9,-0.03803
0.78027,-0.53108,-137.9,-0.53167,-140.74,0.00059
0.82617,-0.51971,-140.75,-0.48918,-140.02,-0.03053
0.87207,-0.54572,-139.64,-0.5231,-142.64,-0.02262
0.91797,-0.51108,-143.22,-0.50555,-141.82,-0.00553
0.96387,-0.54822,-142.26,-0.51084,-144.22,-0.03738
1.0098,-0.51608,-144.8,-0.53001,-143.73,0.01393
1.0557,-0.55226,-143.48,-0.50775,-145.76,-0.04451
1.1016,-0.53149,-145.39,-0.5425,-145.7,0.01101
1.1475,-0.56381,-145.8,-0.50501,-148.22,-0.0588
1.1934,-0.52435,-148.6,-0.55714,-148.81,0.03279
1.2393,-0.58755,-149.25,-0.51358,-151.58,-0.07397
1.2852,-0.5131,-150.76,-0.54917,-152.3,0.03607
1.3311,-0.60648,-152.84,-0.54697,-153.03,-0.05951
1.377,-0.50989,-152.99,-0.51108,-155.64,0.00119
1.4229,-0.58821,-154.8,-0.58993,-155.26,0.00172
1.4688,-0.52768,-155.59,-0.46651,-157.05,-0.06117
1.5146,-0.55452,-157.18,-0.60451,-156.95,0.04999
1.5605,-0.57315,-155.94,-0.48079,-159.21,-0.09236
1.6064,-0.51471,-158.18,-0.5594,-158.93,0.04469
1.6523,-0.5916,-157.25,-0.53215,-160.88,-0.05945
1.6982,-0.5109,-159.71,-0.50733,-159.21,-0.00357
1.7441,-0.57875,-158.19,-0.5678,-162.97,-0.01095
1.79,-0.53042,-160.63,-0.46478,-160.38,-0.06564
1.8359,-0.54988,-158.78,-0.58095,-163.23,0.03107
1.8818,-0.56345,-161.21,-0.46276,-160.53,-0.10069
1.9277,-0.52102,-159.67,-0.56934,-162.72,0.04832
1.9736,-0.55905,-160.86,-0.46085,-161.89,-0.0982
2.0195,-0.51061,-160.09,-0.55798,-163.32,0.04737
2.0654,-0.56643,-161.57,-0.46383,-162.91,-0.1026
2.1113,-0.50989,-161.45,-0.5522,-162.31,0.04231
2.1572,-0.55905,-161.48,-0.46764,-163.43,-0.09141
2.2031,-0.49745,-160.79,-0.54125,-161.52,0.0438
2.249,-0.56173,-161.64,-0.4671,-164.13,-0.09463
2.2949,-0.49305,-163.36,-0.52959,-160.86,0.03654
2.3408,-0.55702,-161.44,-0.47561,-163.96,-0.08141
2.3867,-0.49656,-164.29,-0.50513,-161.46,0.00857
2.4326,-0.55423,-161.47,-0.49109,-164.03,-0.06314
2.4785,-0.48686,-164.18,-0.46794,-161.4,-0.01892
2.5244,-0.54363,-161.4,-0.51852,-163.96,-0.02511
2.5703,-0.49448,-163.74,-0.45752,-162.18,-0.03696
2.6162,-0.52548,-161.51,-0.5068,-164.02,-0.01868
2.6621,-0.52001,-164.05,-0.47698,-162.91,-0.04303
2.708,-0.49608,-161.44,-0.48359,-162.57,-0.01249
2.7539,-0.52286,-163.96,-0.49073,-163.57,-0.03213
2.7998,-0.49585,-162.41,-0.47222,-162.94,-0.02363
2.8457,-0.51995,-162.55,-0.46782,-164.42,-0.05213
2.8916,-0.51061,-162.05,-0.49222,-162.12,-0.01839
2.9375,-0.48775,-162.61,-0.46948,-164.38,-0.01827
2.9834,-0.51156,-161.96,-0.46014,-161.32,-0.05142
3.0293,-0.49894,-161.33,-0.47793,-163.96,-0.02101
3.0752,-0.47579,-162.54,-0.46692,-161.42,-0.00887
3.1211,-0.49722,-160.52,-0.46442,-163.77,-0.0328
3.167,-0.47823,-161.54,-0.44312,-160.69,-0.03511
3.2129,-0.47841,-159.66,-0.4677,-162.31,-0.01071
3.2588,-0.4774,-160.65,-0.45341,-159.5,-0.02399
3.3047,-0.47674,-158.15,-0.44592,-160.39,-0.03082
3.3506,-0.4652,-159.07,-0.43253,-157.57,-0.03267
3.3965,-0.44794,-155.84,-0.43241,-157.48,-0.01553
3.4424,-0.45103,-156.77,-0.41789,-155.56,-0.03314
3.4883,-0.43669,-153.45,-0.41765,-153.54,-0.01904
3.5342,-0.45246,-153.57,-0.40914,-152.5,-0.04332
3.5801,-0.42324,-150.26,-0.39575,-149.81,-0.02749
3.626,-0.42997,-149.15,-0.39337,-149.63,-0.0366
3.6719,-0.40712,-146.42,-0.38355,-145.62,-0.02357
3.7178,-0.40527,-145.49,-0.38426,-144.51,-0.02101
3.7637,-0.40206,-143.23,-0.36111,-140.59,-0.04095
3.8096,-0.397,-140.3,-0.37105,-140.26,-0.02595
3.8555,-0.39902,-139.18,-0.3573,-136.98,-0.04172
3.9014,-0.3817,-136.05,-0.35838,-136.73,-0.02332
3.9473,-0.38039,-135.76,-0.34671,-132.22,-0.03368
3.9932,-0.36361,-132.04,-0.3382,-132.08,-0.02541
4.0391,-0.36034,-131.64,-0.33374,-128.83,-0.0266
4.085,-0.34183,-128.69,-0.32892,-127.78,-0.01291
4.1309,-0.34683,-125.96,-0.31535,-124.98,-0.03148
4.1768,-0.32636,-122.9,-0.31654,-122.78,-0.00982
4.2227,-0.33035,-123.19,-0.30291,-121.39,-0.02744
4.2686,-0.32041,-119.91,-0.2891,-118.68,-0.03131
4.3145,-0.31172,-119.45,-0.29041,-117.06,-0.02131
4.3604,-0.3069,-115.6,-0.26953,-113.97,-0.03737
4.4062,-0.28726,-114.42,-0.27881,-113.92,-0.00845
4.4521,-0.2869,-111.9,-0.25739,-109.64,-0.02951
4.498,-0.26518,-109.92,-0.25893,-109.73,-0.00625
4.5439,-0.26709,-107.61,-0.23745,-105.51,-0.02964
4.5898,-0.25774,-105.6,-0.24281,-105.65,-0.01493
4.6357,-0.25471,-103.75,-0.21495,-101.21,-0.03976
4.6816,-0.22638,-100.5,-0.21364,-100.45,-0.01274
4.7275,-0.22061,-99.778,-0.19597,-96.434,-0.02464
4.7734,-0.19532,-96.341,-0.17824,-95.886,-0.01708
4.8193,-0.19216,-95.684,-0.17103,-92.568,-0.02113
4.8652,-0.17062,-91.683,-0.15824,-90.705,-0.01238
4.9111,-0.15931,-90.689,-0.14669,-87.631,-0.01262
4.957,-0.1508,-87.76,-0.12212,-86.109,-0.02868
5.0029,-0.11962,-85.845,-0.1148,-83.418,-0.00482
5.0488,-0.12819,-82.569,-0.094801,-80.923,-0.033389
5.0947,-0.10206,-81.617,-0.10141,-79.241,-0.00065
5.1406,-0.099205,-77.202,-0.069509,-75.763,-0.029696
5.1865,-0.06814,-76.126,-0.060582,-74.449,-0.007558
5.2324,-0.01946,-72.306,-0.0091052,-70.448,-0.0103548
5.2783,0.0085101,-70.36,0.008153,-69.972,0.0003571
5.3242,0.010831,-67.622,0.011902,-64.828,-0.001071
5.3701,0.01101,-65.428,0.010652,-64.388,0.000358
5.416,0.022376,-62.639,0.005237,-59.875,0.017139
5.4619,0.010117,-59.114,0.026423,-58.907,-0.016306
5.5078,0.021305,-57.587,0.005237,-54.596,0.016068
5.5537,0.0022614,-52.976,0.017853,-52.174,-0.0155916
5.5996,0.017734,-51.951,0.0074389,-49.001,0.0102951
5.6455,0.005594,-47.205,0.017199,-47.231,-0.011605
5.6914,0.016306,-46.9,0.0038087,-43.572,0.0124973
5.7373,0.0050584,-40.995,0.020829,-40.814,-0.0157706
5.7832,0.015651,-40.612,0.0036302,-38.935,0.0120208
5.8291,0.014402,-35.529,0.014937,-34.613,-0.000535
5.875,0.011724,-33.858,0.0059511,-32.962,0.0057729
5.9209,0.010652,-29.319,0.016187,-27.875,-0.005535
5.9668,0.01095,-28.346,0.0074984,-27.145,0.0034516
6.0127,0.012319,-24.226,0.0067248,-22.653,0.0055942
6.0586,0.0068438,-21.618,0.020115,-20.081,-0.0132712
6.1045,0.022852,-17.741,0.01458,-15.609,0.008272
6.1504,0.0076174,-15.557,0.027613,-14.305,-0.0199956
6.1963,0.029279,-12.302,0.0060701,-8.9691,0.0232089
6.2422,0.0030351,-8.7103,0.02559,-8.5136,-0.0225549
6.2881,0.016842,-6.2985,0.0077364,-3.7781,0.0091056
6.334,0.012854,-1.2783,0.024102,-1.1593,-0.011248
6.3799,0.012914,0.18632,0.011486,3.3847,0.001428
6.4258,0.014045,4.4095,0.023626,5.5429,-0.009581
6.4717,0.0086886,6.0553,0.015116,8.0427,-0.0064274
6.5176,0.019044,10.796,0.012735,11.738,0.006309
6.5635,0.0122,12.292,0.010236,13.611,0.001964
6.6094,0.019639,16.644,0.016961,17.219,0.002678
6.6553,0.0074984,17.291,0.017318,18.896,-0.0098196
6.7012,0.022971,22.156,0.002678,23.46,0.020293
