Time (ms),A4-A5 (I),A2-A3 (V)
0,-0.41969,-150.9
0.010324,-0.40636,-150.24
0.020647,-0.39874,-152.06
0.030971,-0.39232,-148.23
0.041295,-0.40731,-148.05
0.051618,-0.39351,-149.58
0.061942,-0.40541,-148.5
0.072266,-0.39684,-146.47
0.082589,-0.40041,-149.29
0.092913,-0.39517,-147.69
0.10324,-0.38684,-145.35
0.11356,-0.36756,-146.14
0.12388,-0.39089,-145.62
0.13421,-0.39969,-145.44
0.14453,-0.3816,-142.58
0.15485,-0.37684,-143.78
0.16518,-0.3866,-145.35
0.1755,-0.38351,-141.4
0.18583,-0.36018,-141.23
0.19615,-0.38232,-143.12
0.20647,-0.38255,-142.46
0.2168,-0.37779,-139.7
0.22712,-0.37446,-141.48
0.23744,-0.37637,-141.86
0.24777,-0.37851,-139.76
0.25809,-0.35423,-136.58
0.26842,-0.35613,-137.94
0.27874,-0.36708,-138.89
0.28906,-0.36446,-135.04
0.29939,-0.35161,-136.93
0.30971,-0.37018,-137.67
0.32003,-0.36827,-136.91
0.33036,-0.3447,-134.22
0.34068,-0.35208,-135.91
0.351,-0.35684,-135.67
0.36133,-0.36184,-133.88
0.37165,-0.35208,-132.95
0.38198,-0.34494,-132.68
0.3923,-0.35042,-133.51
0.40262,-0.34589,-132.06
0.41295,-0.34137,-132.56
0.42327,-0.35399,-133.04
0.43359,-0.34804,-131.19
0.44392,-0.32661,-130.88
0.45424,-0.33233,-132.08
0.46456,-0.34732,-129.68
0.47489,-0.33042,-128.34
0.48521,-0.32852,-128.03
0.49554,-0.33423,-131.19
0.50586,-0.3447,-130.24
0.51618,-0.3228,-126.72
0.52651,-0.31209,-128.25
0.53683,-0.33161,-128.54
0.54715,-0.32947,-125.17
0.55748,-0.32328,-124.65
0.5678,-0.31899,-124.8
0.57812,-0.33113,-124.92
0.58845,-0.3159,-123.22
0.59877,-0.30423,-123.49
0.6091,-0.32376,-125.27
0.61942,-0.3228,-122.68
0.62974,-0.29924,-122.44
0.64007,-0.30209,-123.08
0.65039,-0.31352,-122.91
0.66071,-0.30447,-121.42
0.67104,-0.30685,-121.38
0.68136,-0.30423,-121.94
0.69169,-0.31757,-120.84
0.70201,-0.29828,-117.99
0.71233,-0.29447,-119.93
0.72266,-0.30209,-121.09
0.73298,-0.30447,-118.11
0.7433,-0.27876,-116.68
0.75363,-0.29257,-117.61
0.76395,-0.30542,-116.8
0.77427,-0.2909,-114.96
0.7846,-0.27829,-116.62
0.79492,-0.29471,-116.99
0.80525,-0.28876,-114.94
0.81557,-0.27971,-114.24
0.82589,-0.27186,-115.29
0.83622,-0.28281,-116.16
0.84654,-0.28852,-112.11
0.85686,-0.27043,-111.4
0.86719,-0.27114,-113.68
0.87751,-0.28519,-112.23
0.88783,-0.27281,-110.2
0.89816,-0.259,-112.02
