Time (ms),A4-A5 (I),A2-A3 (V)
0,0,-79.022
0.010324,0.0080939,-81.093
0.020647,-0.010236,-79.913
0.030971,-0.0083319,-79.002
0.041295,0.012379,-81.3
0.051618,-0.0033328,-82.873
0.061942,-0.019044,-81.755
0.072266,0.0011903,-81.238
0.082589,0.00857,-84.943
0.092913,-0.004523,-84.24
0.10324,-0.012855,-82.894
0.11356,0.00095222,-85.668
0.12388,0.0066655,-87.448
0.13421,-0.0064275,-84.24
0.14453,-0.00023806,-85.42
0.15485,0.00857,-86.434
0.16518,0.0073797,-88.711
0.1755,-0.016426,-87.117
0.18583,0.00071417,-88.836
0.19615,0.010474,-90.864
0.20647,-0.010951,-89.415
0.2168,-0.0064275,-90.14
0.22712,0.0097603,-92.314
0.23744,0.0033328,-92.355
0.24777,-0.0071417,-90.347
0.25809,-0.0054753,-92.438
0.26842,0.0095222,-94.446
0.27874,0.0014283,-94.591
0.28906,-0.010236,-92.396
0.29939,0.0066655,-95.585
0.30971,0.012617,-97.075
0.32003,-0.017616,-95.129
0.33036,0.00023806,-95.419
0.34068,0.010474,-98.172
0.351,-0.0026186,-98.069
0.36133,-0.024758,-96.413
0.37165,0.0071417,-99.125
0.38198,0.0038089,-100.57
0.3923,-0.0059514,-100.08
0.40262,-0.0092842,-99.56
0.41295,0.012379,-101.69
0.42327,-0.0014283,-101.71
0.43359,-0.0016664,-99.27
0.44392,0.0016664,-100.68
0.45424,0.0016664,-104.09
0.46456,-0.010236,-103.82
0.47489,-0.0073797,-102.6
0.48521,-0.0040469,-105.44
0.49554,0.0011903,-106.56
0.50586,-0.015236,-104.38
0.51618,-0.0097603,-104.92
0.52651,0.0071417,-106.74
0.53683,-0.0080939,-107.01
0.54715,-0.012617,-105.52
0.55748,-0.0073797,-107.12
0.5678,0.014283,-109.54
0.57812,-0.004523,-107.88
0.58845,-0.016426,-108.01
0.59877,0.0028567,-110.78
0.6091,-0.0049992,-111.01
0.61942,-0.011903,-107.55
0.62974,0.0014283,-109.81
0.64007,0.010236,-112
0.65039,-0.004523,-112.25
0.66071,-0.01595,-111.13
0.67104,-0.0076178,-113.49
0.68136,0.008808,-114.96
0.69169,-0.0038089,-112.4
0.70201,-0.010712,-113.41
0.71233,0.010951,-114.82
0.72266,0.014283,-115.42
0.73298,-0.00857,-114.24
0.7433,-0.0040469,-115.96
0.75363,0.0026186,-117.96
0.76395,-0.0011903,-116.66
0.77427,-0.00857,-116.33
0.7846,0.0038089,-119.02
0.79492,0.0014283,-119.97
0.80525,-0.0071417,-117.07
0.81557,-0.0069036,-118.77
0.82589,0.022377,-121.32
0.83622,0.013093,-119.48
0.84654,-0.0092842,-118.27
0.85686,-0.0028567,-122.17
