Time (ms),A4-A5 (I),A2-A3 (V)
0,-0.36082,-102.38
0.046875,-0.39759,-103.46
0.09375,-0.40706,-106.26
0.14062,-0.41057,-108.57
0.1875,-0.4255,-110.54
0.23438,-0.43104,-113.64
0.28125,-0.44532,-114.31
0.32812,-0.44627,-118.21
0.375,-0.46442,-117.93
0.42188,-0.45603,-122.1
0.46875,-0.47537,-122.25
0.51562,-0.48216,-125.56
0.5625,-0.48603,-125.88
0.60938,-0.46895,-129.21
0.65625,-0.50394,-130.63
0.70312,-0.49805,-131.3
0.75,-0.47752,-132.05
0.79688,-0.51709,-134.48
0.84375,-0.48156,-134.83
0.89062,-0.50602,-136.85
0.9375,-0.51965,-138.28
0.98438,-0.48763,-137.9
1.0312,-0.53167,-140.74
1.0781,-0.48918,-140.02
1.125,-0.5231,-142.64
1.1719,-0.50555,-141.82
1.2188,-0.51084,-144.22
1.2656,-0.53001,-143.73
1.3125,-0.50775,-145.76
1.3594,-0.5425,-145.7
1.4062,-0.50501,-148.22
1.4531,-0.55714,-148.81
1.5,-0.51358,-151.58
1.5469,-0.54917,-152.3
1.5938,-0.54697,-153.03
1.6406,-0.51108,-155.64
1.6875,-0.58993,-155.26
1.7344,-0.46651,-157.05
1.7812,-0.60451,-156.95
1.8281,-0.48079,-159.21
1.875,-0.5594,-158.93
1.9219,-0.53215,-160.88
1.9688,-0.50733,-159.21
2.0156,-0.5678,-162.97
2.0625,-0.46478,-160.38
2.1094,-0.58095,-163.23
2.1562,-0.46276,-160.53
2.2031,-0.56934,-162.72
2.25,-0.46085,-161.89
2.2969,-0.55798,-163.32
2.3438,-0.46383,-162.91
2.3906,-0.5522,-162.31
2.4375,-0.46764,-163.43
2.4844,-0.54125,-161.52
2.5312,-0.4671,-164.13
2.5781,-0.52959,-160.86
2.625,-0.47561,-163.96
2.6719,-0.50513,-161.46
2.7188,-0.49109,-164.03
2.7656,-0.46794,-161.4
2.8125,-0.51852,-163.96
2.8594,-0.45752,-162.18
2.9062,-0.5068,-164.02
2.9531,-0.47698,-162.91
3,-0.48359,-162.57
3.0469,-0.49073,-163.57
3.0938,-0.47222,-162.94
3.1406,-0.46782,-164.42
3.1875,-0.49222,-162.12
3.2344,-0.46948,-164.38
3.2812,-0.46014,-161.32
3.3281,-0.47793,-163.96
3.375,-0.46692,-161.42
3.4219,-0.46442,-163.77
3.4688,-0.44312,-160.69
3.5156,-0.4677,-162.31
3.5625,-0.45341,-159.5
3.6094,-0.44592,-160.39
3.6562,-0.43253,-157.57
3.7031,-0.43241,-157.48
3.75,-0.41789,-155.56
3.7969,-0.41765,-153.54
3.8438,-0.40914,-152.5
3.8906,-0.39575,-149.81
3.9375,-0.39337,-149.63
3.9844,-0.38355,-145.62
4.0312,-0.38426,-144.51
4.0781,-0.36111,-140.59
4.125,-0.37105,-140.26
4.1719,-0.3573,-136.98
4.2188,-0.35838,-136.73
4.2656,-0.34671,-132.22
4.3125,-0.3382,-132.08
4.3594,-0.33374,-128.83
4.4062,-0.32892,-127.78
4.4531,-0.31535,-124.98
4.5,-0.31654,-122.78
4.5469,-0.30291,-121.39
4.5938,-0.2891,-118.68
4.6406,-0.29041,-117.06
4.6875,-0.26953,-113.97
4.7344,-0.27881,-113.92
4.7812,-0.25739,-109.64
4.8281,-0.25893,-109.73
4.875,-0.23745,-105.51
4.9219,-0.24281,-105.65
4.9688,-0.21495,-101.21
5.0156,-0.21364,-100.45
5.0625,-0.19597,-96.434
5.1094,-0.17824,-95.886
5.1562,-0.17103,-92.568
5.2031,-0.15824,-90.705
5.25,-0.14669,-87.631
5.2969,-0.12212,-86.109
5.3438,-0.1148,-83.418
5.3906,-0.094801,-80.923
5.4375,-0.10141,-79.241
5.4844,-0.069509,-75.763
5.5312,-0.060582,-74.449
5.5781,-0.0091052,-70.448
5.625,0.008153,-69.972
5.6719,0.011902,-64.828
5.7188,0.010652,-64.388
5.7656,0.005237,-59.875
5.8125,0.026423,-58.907
5.8594,0.005237,-54.596
5.9062,0.017853,-52.174
5.9531,0.0074389,-49.001
6,0.017199,-47.231
6.0469,0.0038087,-43.572
6.0938,0.020829,-40.814
6.1406,0.0036302,-38.935
6.1875,0.014937,-34.613
6.2344,0.0059511,-32.962
6.2812,0.016187,-27.875
6.3281,0.0074984,-27.145
6.375,0.0067248,-22.653
6.4219,0.020115,-20.081
6.4688,0.01458,-15.609
6.5156,0.027613,-14.305
6.5625,0.0060701,-8.9691
6.6094,0.02559,-8.5136
6.6562,0.0077364,-3.7781
6.7031,0.024102,-1.1593
6.75,0.011486,3.3847
6.7969,0.023626,5.5429
6.8438,0.015116,8.0427
6.8906,0.012735,11.738
6.9375,0.010236,13.611
6.9844,0.016961,17.219
7.0312,0.017318,18.896
7.0781,0.002678,23.46
7.125,0.017199,23.714
7.1719,0.0089267,29.169
7.2188,0.015175,29.071
7.2656,0.0031541,33.563
7.3125,0.014818,34.489
7.3594,0.012795,39.261
7.4062,0.017199,39.939
7.4531,0.0076174,42.894
7.5,0.017377,45.145
7.5469,0.0068438,47.764
7.5938,0.0098788,49.772
7.6406,0.010533,51.801
7.6875,0.007915,55.336
7.7344,0.02434,55.807
7.7812,0.016366,60.118
7.8281,0.037373,60.496
7.875,0.0122,65.433
7.9219,0.06207,65.475
7.9688,0.12027,70.05
8.0156,0.15872,69.734
8.0625,0.16235,74.283
8.1094,0.19728,75.292
8.1562,0.20954,78.486
8.2031,0.23001,81.094
8.25,0.24965,83.863
8.2969,0.28339,86.182
8.3438,0.30214,88.376
8.3906,0.30595,91.295
8.4375,0.32606,92.516
8.4844,0.33695,96.76
8.5312,0.36581,97.2
8.5781,0.35766,100.84
8.625,0.38867,102.19
8.6719,0.38075,106.61
8.7188,0.4214,105.98
8.7656,0.41253,111.21
8.8125,0.43205,111.51
8.8594,0.42658,114.25
8.9062,0.45169,116.09
8.9531,0.45044,119.22
9,0.45395,121.15
9.0469,0.46889,122.24
9.0938,0.47353,124.93
9.1406,0.49341,125.02
9.1875,0.47359,129.03
9.2344,0.48936,129.08
9.2812,0.50174,132.07
9.3281,0.50043,131.94
9.375,0.4843,134.53
9.4219,0.52245,133.11
9.4688,0.47662,136.23
9.5156,0.53334,136.44
9.5625,0.509,139.49
9.6094,0.4987,138.84
9.6562,0.53197,141.02
9.7031,0.47448,141.39
9.75,0.55464,142.27
