Time (ms),A0 (I),A4-A5 (I),A2-A3 (V)
0,1.7903,-0.45254,-119
0.0105,1.7895,-0.4535,-120.97
0.021,1.7911,-0.47373,-120.78
0.0315,1.7919,-0.44421,-122.58
0.042,1.7905,-0.45849,-122.27
0.0525,1.7903,-0.48206,-121.92
0.063,1.7897,-0.42993,-122.15
0.0735,1.7903,-0.4604,-123.31
0.084,1.7899,-0.49158,-123.82
0.0945,1.7893,-0.44183,-122.95
0.105,1.7889,-0.48325,-123.57
0.1155,1.7895,-0.47064,-124.9
0.126,1.7893,-0.48111,-124.07
0.1365,1.7895,-0.48635,-124.3
0.147,1.7891,-0.4354,-126.27
0.1575,1.7887,-0.48349,-126.74
0.168,1.7891,-0.48778,-125.89
0.1785,1.7885,-0.44992,-126.8
0.189,1.7895,-0.4973,-128.09
0.1995,1.7881,-0.47444,-127.49
0.21,1.7879,-0.49563,-126.16
0.2205,1.7883,-0.48278,-129.29
0.231,1.7881,-0.45302,-130.61
0.2415,1.7881,-0.51491,-127.86
0.252,1.7887,-0.46825,-130.53
0.2625,1.7879,-0.47492,-129.06
0.273,1.7883,-0.5073,-129.06
0.2835,1.7881,-0.4673,-127.65
0.294,1.7887,-0.51206,-130.03
0.3045,1.7889,-0.45397,-131.52
0.315,1.7875,-0.51063,-130.26
0.3255,1.7877,-0.50587,-131.23
0.336,1.7879,-0.47016,-131.86
0.3465,1.7887,-0.52563,-132.85
0.357,1.7887,-0.48016,-133.26
0.3675,1.7879,-0.50682,-132.97
0.378,1.7881,-0.48325,-133.35
0.3885,1.7883,-0.49539,-133.18
0.399,1.7883,-0.53396,-133.06
0.4095,1.7883,-0.44469,-133.64
0.42,1.7883,-0.51634,-133.59
0.4305,1.7887,-0.48373,-133.68
0.441,1.7885,-0.4892,-132.93
0.4515,1.7883,-0.50777,-135.02
0.462,1.7891,-0.46397,-135.89
0.4725,1.7887,-0.54015,-134.4
0.483,1.7891,-0.45492,-134.88
0.4935,1.7891,-0.51515,-137.2
0.504,1.7889,-0.50468,-136.53
0.5145,1.7889,-0.49039,-135.27
0.525,1.7897,-0.52158,-138
0.5355,1.7893,-0.47206,-136.68
0.546,1.7891,-0.553,-137.26
0.5565,1.7903,-0.4704,-137.34
0.567,1.7895,-0.50015,-137.98
0.5775,1.7895,-0.52348,-138.15
0.588,1.7903,-0.47921,-137.24
0.5985,1.7903,-0.53777,-138.67
0.609,1.7901,-0.45445,-140.32
0.6195,1.7901,-0.54919,-138.65
0.63,1.7905,-0.48254,-138.67
0.6405,1.7905,-0.5142,-140.53
0.651,1.7905,-0.51896,-139.99
0.6615,1.7907,-0.4923,-138.87
0.672,1.7913,-0.55895,-140.18
0.6825,1.7919,-0.4535,-140.51
0.693,1.7921,-0.54919,-139.89
0.7035,1.7919,-0.48968,-139.89
0.714,1.7919,-0.50777,-142.15
0.7245,1.7919,-0.51015,-141.01
0.735,1.7919,-0.49492,-139.99
0.7455,1.7927,-0.548,-141.46
0.756,1.7929,-0.45778,-141.96
0.7665,1.7929,-0.55848,-142.12
0.777,1.7935,-0.48159,-141.3
0.7875,1.7935,-0.52801,-142.66
0.798,1.7937,-0.50372,-143.62
0.8085,1.7937,-0.49873,-142.79
0.819,1.7935,-0.54729,-141.79
0.8295,1.7943,-0.46111,-144.69
0.84,1.7947,-0.55324,-143.62
0.8505,1.7953,-0.48063,-142.66
0.861,1.7959,-0.55372,-144.44
0.8715,1.7951,-0.48754,-143.9
0.882,1.7959,-0.51253,-142.6
0.8925,1.7961,-0.55181,-143.68
0.903,1.7959,-0.46825,-144.77
0.9135,1.7963,-0.55824,-144.92
0.924,1.7971,-0.47468,-143.47
0.9345,1.7971,-0.56443,-144.67
0.945,1.7969,-0.47302,-145.11
0.9555,1.7975,-0.53467,-145.11
0.966,1.7984,-0.54039,-145.27
0.9765,1.7988,-0.49301,-145.73
0.987,1.7979,-0.55229,-146.24
0.9975,1.7992,-0.47397,-143.24
1.008,1.7994,-0.58538,-145.95
1.0185,1.7992,-0.47968,-147.69
1.029,1.8004,-0.55895,-146.89
1.0395,1.8004,-0.52158,-146.78
1.05,1.8022,-0.52325,-148.52
1.0605,1.8006,-0.53967,-148.96
1.071,1.8016,-0.48278,-147.67
1.0815,1.8022,-0.58704,-149.49
1.092,1.8026,-0.4573,-149.95
1.1025,1.8026,-0.58585,-149.27
1.113,1.803,-0.49087,-146.35
1.1235,1.8048,-0.57705,-149.37
1.134,1.8048,-0.4942,-150.57
1.1445,1.8048,-0.52063,-150.18
1.155,1.8052,-0.57467,-149.78
1.1655,1.8054,-0.49111,-152.08
1.176,1.8052,-0.57514,-152.19
1.1865,1.8062,-0.49087,-150.82
1.197,1.8072,-0.61347,-151.75
1.2075,1.807,-0.45921,-153.37
1.218,1.8076,-0.58062,-153.86
1.2285,1.8074,-0.49468,-152.41
1.239,1.8084,-0.56657,-153.01
1.2495,1.8084,-0.51848,-153.84
1.26,1.809,-0.52563,-153.51
1.2705,1.8094,-0.57371,-153.88
1.281,1.8096,-0.48444,-154.63
1.2915,1.8104,-0.58871,-155.25
1.302,1.8112,-0.48873,-154.55
1.3125,1.8112,-0.61323,-155.81
1.323,1.8114,-0.45635,-157.3
1.3335,1.8118,-0.59085,-156
1.344,1.8129,-0.47492,-155.23
1.3545,1.8129,-0.59204,-157.71
1.365,1.8139,-0.48492,-156.91
1.3755,1.8139,-0.543,-156.31
1.386,1.8141,-0.54467,-157.36
1.3965,1.8147,-0.51349,-158.23
1.407,1.8143,-0.55395,-157.22
1.4175,1.8161,-0.4992,-157.07
1.428,1.8165,-0.5968,-158.69
1.4385,1.8171,-0.45183,-158.46
1.449,1.8177,-0.60133,-159.29
1.4595,1.8177,-0.45802,-159.76
