Time (ms),A2-A3 (V)
0,-102.75
0.045898,-102.67
0.091797,-97.485
0.1377,-97.63
0.18359,-93.934
0.22949,-92.304
0.27539,-90.089
0.32129,-87.926
0.36719,-85.131
0.41309,-82.833
0.45898,-80.38
0.50488,-76.648
0.55078,-75.701
0.59668,-71.556
0.64258,-70.531
0.68848,-65.821
0.73438,-65.775
0.78027,-60.786
0.82617,-60.755
0.87207,-55.284
0.91797,-53.69
0.96387,-50.73
1.0098,-48.629
1.0557,-45.032
1.1016,-41.88
1.1475,-39.944
1.1934,-35.773
1.2393,-33.832
1.2852,-29.298
1.3311,-28.201
1.377,-22.969
1.4229,-22.353
1.4688,-16.649
1.5146,-15.775
1.5605,-11.055
1.6064,-9.5487
1.6523,-5.3411
1.6982,-2.6912
1.7441,0.98334
1.79,4.394
1.8359,7.1525
1.8818,10.76
1.9277,12.064
1.9736,16.608
2.0195,17.86
2.0654,22.239
2.1113,22.663
2.1572,27.658
2.2031,27.451
2.249,32.719
2.2949,33.335
2.3408,37.18
2.3867,38.459
2.4326,41.678
2.4785,43.603
2.5244,45.487
2.5703,49.669
2.6162,50.104
2.6621,54.761
2.708,55.144
2.7539,59.362
2.7998,59.709
2.8457,64.248
2.8916,64.269
2.9375,68.539
2.9834,70.122
3.0293,73.305
3.0752,74.811
3.1211,78.061
3.167,80.432
3.2129,81.824
3.2588,86.296
3.3047,87.186
3.3506,91.864
3.3965,91.233
3.4424,96.595
3.4883,96.61
3.5342,101.37
3.5801,101.2
3.626,105.34
3.6719,105.8
3.7178,109.94
3.7637,111.52
3.8096,113.95
3.8555,116.23
3.9014,118.22
3.9473,121.4
3.9932,121.25
4.0391,125.72
4.085,125.23
4.1309,130.87
4.1768,129.45
4.2227,132.13
4.2686,132.15
4.3145,136.17
4.3604,134.59
4.4062,138.23
4.4521,137.69
4.498,140.59
4.5439,141.08
4.5898,141.95
4.6357,143.72
4.6816,143.53
4.7275,145.66
4.7734,144.15
4.8193,147.02
4.8652,146.57
4.9111,150.24
4.957,149.39
5.0029,152.54
5.0488,152.21
5.0947,155.85
5.1406,155.38
5.1865,158.39
5.2324,157.05
5.2783,159.09
5.3242,160.05
5.3701,160.33
5.416,161.38
5.4619,159.57
5.5078,162.34
5.5537,160.92
5.5996,164.05
5.6455,161.64
5.6914,164.65
5.7373,162.39
5.7832,163.88
5.8291,162.51
5.875,164.63
5.9209,163.8
5.9668,164.13
6.0127,164.21
6.0586,164.03
6.1045,164.46
6.1504,163.7
6.1963,165.81
6.2422,163.26
6.2881,163.45
6.334,164.08
6.3799,165.02
6.4258,162.19
6.4717,165.83
6.5176,163.84
6.5635,165.21
6.6094,164.24
6.6553,163.82
6.7012,164.49
6.7471,164.37
6.793,165.58
6.8389,163.45
6.8848,164.47
6.9307,162.4
6.9766,163.89
7.0225,162.15
7.0684,162.32
7.1143,159.19
7.1602,161.4
7.2061,157.24
7.252,158.5
7.2979,155.64
7.3438,154.88
7.3896,152.87
7.4355,151.21
7.4814,147.42
7.5273,145.96
7.5732,144.77
7.6191,141.2
7.665,141.67
7.7109,136.5
7.7568,137.3
7.8027,132.83
7.8486,132.63
7.8945,128.48
7.9404,127.54
7.9863,123.95
8.0322,123.38
8.0781,120.58
8.124,118.26
8.1699,115.86
8.2158,113.74
8.2617,112.57
8.3076,109.22
8.3535,108.46
8.3994,104.5
8.4453,104.27
8.4912,100.17
8.5371,99.56
8.583,95.208
8.6289,95.337
8.6748,91.264
8.7207,89.582
8.7666,86.451
8.8125,83.977
8.8584,81.871
8.9043,79.531
8.9502,77.43
8.9961,74.387
9.042,72.544
9.0879,68.642
9.1338,67.265
9.1797,63.239
9.2256,62.421
9.2715,57.82
9.3174,57.08
9.3633,51.936
9.4092,50.926
9.4551,47.055
9.501,45.083
9.5469,41.336
9.5928,38.759
9.6387,35.483
9.6846,32.45
9.7305,31.027
9.7764,26.007
9.8223,24.966
9.8682,19.558
9.9141,18.89
9.96,13.58
10.006,12.726
10.052,6.9041
10.098,5.6464
10.144,1.0713
10.189,-0.25877
10.235,-4.1404
10.281,-7.2042
10.327,-10.496
10.373,-13.689
10.419,-15.361
10.465,-19.925
10.511,-20.417
10.557,-25.908
10.603,-25.624
10.648,-31.104
10.694,-31.487
10.74,-36.182
10.786,-36.182
10.832,-40.436
10.878,-41.103
10.924,-44.323
10.97,-47.418
11.016,-49.746
11.062,-52.06
11.107,-54.042
11.153,-57.184
11.199,-58.69
11.245,-63.016
11.291,-62.514
11.337,-67.302
11.383,-67.752
11.429,-72.482
11.475,-71.882
11.521,-76.509
11.566,-77.828
11.612,-81.28
11.658,-83.615
11.704,-85.695
11.75,-89.447
11.796,-90.721
11.842,-94.131
11.888,-94.851
11.934,-100.03
11.979,-99.322
12.025,-104.41
12.071,-104.4
12.117,-109.13
12.163,-109.98
12.209,-113.5
12.255,-113.95
12.301,-117.56
12.347,-119.91
12.393,-121.94
12.438,-124.11
12.484,-125.26
12.53,-127.61
12.576,-127.47
12.622,-131.9
12.668,-131.84
12.714,-134.03
12.76,-134.24
12.806,-137.84
12.852,-136.58
12.897,-139.78
12.943,-139.08
12.989,-142.42
13.035,-142.2
13.081,-143.58
13.127,-144.18
13.173,-144.88
13.219,-145.99
13.265,-146.53
13.311,-148.6
13.356,-147.9
13.402,-151.54
13.448,-150.68
13.494,-154.33
13.54,-153.78
13.586,-156.37
13.632,-156.63
13.678,-159.49
13.724,-158.36
13.77,-160.16
13.815,-159.75
13.861,-161.19
13.907,-161.43
13.953,-161.36
13.999,-162.6
14.045,-161.23
14.091,-164.63
14.137,-162.72
14.183,-164.4
14.229,-162.79
14.274,-164.55
14.32,-163.26
14.366,-165.04
14.412,-163.8
14.458,-164.52
14.504,-163.31
14.55,-164.52
14.596,-163.98
14.642,-164.73
14.688,-164.37
14.733,-163.92
14.779,-165.01
14.825,-163.75
14.871,-165.27
14.917,-163.2
14.963,-165.54
15.009,-163.72
15.055,-165.05
15.101,-163.72
15.146,-165.44
15.192,-163.3
15.238,-165.68
15.284,-163.26
15.33,-164.07
15.376,-162.51
15.422,-163.04
15.468,-161.51
15.514,-162.22
15.56,-160.52
15.605,-159.16
15.651,-158.5
15.697,-156.43
15.743,-156.57
15.789,-152.67
15.835,-153.5
15.881,-148.84
15.927,-148.16
15.973,-145.27
16.019,-144.85
16.064,-139.84
16.11,-140.4
16.156,-135.94
16.202,-135.4
16.248,-132.4
16.294,-131.65
16.34,-129.13
16.386,-126.8
16.432,-125.1
16.478,-121.93
16.523,-120.59
16.569,-117.13
16.615,-116.71
16.661,-112.23
16.707,-112.02
16.753,-107.79
16.799,-108.08
16.845,-103.49
16.891,-103.63
16.937,-99.239
16.982,-97.868
17.028,-94.892
17.074,-93.484
17.12,-91.005
17.166,-88.873
17.212,-87.341
17.258,-82.849
17.304,-81.865
17.35,-78.237
17.396,-77.301
17.441,-72.529
17.487,-72.606
17.533,-67.245
17.579,-66.888
17.625,-62.369
17.671,-60.553
17.717,-57.096
17.763,-54.606
17.809,-52.308
17.854,-48.634
17.9,-47.48
17.946,-42.723
17.992,-41.279
18.038,-36.746
18.084,-36.026
18.13,-30.256
18.176,-30.199
18.222,-24.371
18.268,-23.667
18.313,-18.031
18.359,-16.939
18.405,-12.726
18.451,-10.247
18.497,-6.8161
18.543,-3.333
18.589,-1.3715
18.635,3.4676
18.681,4.6062
18.727,8.9484
18.772,10.134
18.818,15.495
18.864,15.614
18.91,21.018
18.956,22.027
19.002,26.095
19.048,27.445
19.094,30.711
19.14,32.776
19.186,35.121
19.231,37.786
19.277,39.856
19.323,43.298
19.369,43.562
19.415,48.748
19.461,49.369
19.507,53.83
19.553,53.918
19.599,58.343
19.645,59.073
19.69,63.187
19.736,63.751
19.782,67.705
19.828,68.404
19.874,72.161
19.92,73.962
19.966,76.245
20.012,79.593
20.058,80.665
20.104,85.043
20.149,86.057
20.195,90.638
20.241,90.017
20.287,95.208
20.333,95.751
20.379,100.26
20.425,100.34
20.471,103.89
20.517,105.24
20.562,109.06
20.608,110.55
20.654,112.85
20.7,115.46
20.746,116.64
20.792,120.7
20.838,119.86
20.884,125.19
20.93,124.38
20.976,128.76
21.021,128.15
21.067,131.9
21.113,131.8
21.159,134.76
21.205,135.52
21.251,137.52
21.297,138.25
21.343,138.53
21.389,141.06
21.435,140.66
21.48,144.11
21.526,142.25
21.572,145.06
21.618,144.01
21.664,146.92
21.71,145.88
21.756,149.27
21.802,148.58
21.848,151.64
21.894,151.55
21.939,154.38
21.985,155.85
22.031,156.01
22.077,158.37
22.123,157.18
22.169,159.85
22.215,159.16
22.261,162.01
22.307,160.04
22.353,162.78
22.398,160.92
22.444,162.68
22.49,162.18
22.536,163.24
22.582,163.3
22.628,164.11
22.674,163.8
22.72,163.22
22.766,163.6
22.812,163.5
22.857,164.63
22.903,163.86
22.949,164.87
22.995,163.43
23.041,165.29
23.087,162.64
23.133,165.44
23.179,163.23
23.225,165.08
23.271,162.81
23.316,165.22
23.362,163.82
23.408,164.29
23.454,165.05
23.5,163.74
23.546,165.22
23.592,164.05
23.638,165.71
23.684,163.51
23.729,165.29
23.775,161.72
23.821,164.65
23.867,161.48
23.913,162.11
23.959,161.6
24.005,160.99
24.051,159.24
24.097,157.54
24.143,156.98
24.188,154.86
24.234,153.55
24.28,150.6
24.326,150.93
24.372,145.84
24.418,146.73
24.464,141.36
24.51,141.63
24.556,137.72
24.602,137.65
24.647,133.86
24.693,132.93
24.739,129.11
24.785,128.3
24.831,125.56
24.877,123.62
24.923,122.18
24.969,118.49
25.015,118.17
25.061,114.38
25.106,114.43
25.152,109.38
25.198,110.16
25.244,104.81
25.29,105.52
25.336,100.5
25.382,100.38
25.428,96.677
25.474,95.756
25.52,92.34
25.565,90.151
25.611,88.309
25.657,84.225
25.703,83.889
25.749,80.411
25.795,79.215
25.841,75.008
25.887,74.578
25.933,68.782
25.979,69.097
26.024,63.938
26.07,63.322
26.116,59.683
26.162,58.41
26.208,53.97
26.254,51.004
26.3,48.991
26.346,45.29
26.392,43.934
26.438,38.806
26.483,38.469
26.529,33.299
26.575,32.222
26.621,27.404
26.667,26.7
26.713,20.935
26.759,19.589
26.805,15.94
26.851,13.285
26.896,9.6574
26.942,6.5935
26.988,3.8609
27.034,-0.50202
27.08,-1.9822
27.126,-6.9092
27.172,-7.758
27.218,-13.244
27.264,-13.844
27.31,-19.227
27.355,-19.61
27.401,-24.335
27.447,-25.913
27.493,-28.889
27.539,-30.758
27.585,-33.392
27.631,-36.037
27.677,-37.605
27.723,-41.74
27.769,-42.402
27.814,-47.438
27.86,-46.983
27.906,-52.169
27.952,-52.091
27.998,-56.645
28.044,-57.184
28.09,-61.738
28.136,-62.318
28.182,-65.402
28.228,-66.986
28.273,-69.729
28.319,-72.498
28.365,-74.123
28.411,-77.621
28.457,-78.6
28.503,-83.765
28.549,-83.511
28.595,-88.154
28.641,-88.806
28.687,-94.364
28.732,-93.707
28.778,-98.365
28.824,-98.986
28.87,-102.68
28.916,-104.31
28.962,-106.81
29.008,-109.53
29.054,-110.87
29.1,-115.02
29.146,-115.39
29.191,-119.17
29.237,-118.85
29.283,-124.22
29.329,-123.43
29.375,-127.38
29.421,-126.5
29.467,-131.61
29.513,-132.17
29.559,-133.4
29.604,-134.44
