Time (ms),A2-A3 (V)
0,0.1146
0.068182,0.17682
0.13636,0.19193
0.20455,0.20775
0.27273,0.17787
0.34091,0.22216
0.40909,0.18807
0.47727,0.17893
0.54545,0.18912
0.61364,0.20353
0.68182,0.15959
0.75,0.16205
0.81818,0.20107
0.88636,0.17365
0.95455,0.17436
1.0227,0.21548
1.0909,0.19756
1.1591,0.17049
1.2273,0.18947
1.2955,0.18525
1.3636,0.18068
1.4318,0.19931
1.5,0.17436
1.5682,0.18877
1.6364,0.19615
1.7045,0.19615
1.7727,0.20002
1.8409,0.15748
1.9091,0.19791
1.9773,0.51744
2.0455,0.83628
2.1136,0.95123
2.1818,0.89568
2.25,0.76386
2.3182,0.66403
2.3864,0.57017
2.4545,0.46788
2.5227,0.3909
2.5909,0.35328
2.6591,0.30969
2.7273,0.2893
2.7955,0.28825
2.8636,0.2313
2.9318,0.2306
3,0.22779
3.0682,0.20775
3.1364,0.21548
3.2045,0.19685
3.2727,0.21302
3.3409,0.20529
3.4091,0.18209
3.4773,0.18596
3.5455,0.26716
3.6136,0.51709
3.6818,0.7143
3.75,0.69883
3.8182,0.67352
3.8864,0.58177
3.9545,0.51533
4.0227,0.45558
4.0909,0.40953
4.1591,0.33114
4.2273,0.28684
4.2955,0.26646
4.3636,0.25486
4.4318,0.26786
4.5,0.22462
4.5682,0.23376
4.6364,0.19967
4.7045,0.2299
4.7727,0.19299
4.8409,0.20529
4.9091,0.21654
4.9773,0.1842
5.0455,0.19369
5.1136,0.2183
5.1818,0.19299
5.25,0.19158
5.3182,0.1849
5.3864,0.22041
5.4545,0.19404
5.5227,0.15397
5.5909,0.021443
5.6591,-0.12057
5.7273,-0.13393
5.7955,-0.084366
5.8636,-0.0084366
5.9318,0.063274
6,0.055189
6.0682,0.13147
6.1364,0.15151
6.2045,0.15608
6.2727,0.16908
6.3409,0.19017
6.4091,0.20705
6.4773,0.19017
6.5455,0.22462
6.6136,0.17436
6.6818,0.21232
6.75,0.18314
6.8182,0.22603
6.8864,0.1958
6.9545,0.17787
