Time (ms),A2-A3 (V)
0,0.02988
0.068182,0.041128
0.13636,0.026013
0.20455,0.049213
0.27273,0.061165
0.34091,0.066087
0.40909,0.30864
0.47727,0.36031
0.54545,0.32973
0.61364,0.22603
0.68182,0.19088
0.75,0.16416
0.81818,0.11354
0.88636,0.073117
0.95455,0.084014
1.0227,0.077335
1.0909,0.058353
1.1591,0.056244
1.2273,0.062923
1.2955,0.041831
1.3636,0.083663
1.4318,0.048862
1.5,0.049916
1.5682,0.048159
1.6364,0.055541
1.7045,0.010897
1.7727,0.079093
1.8409,0.04148
1.9091,0.065032
1.9773,0.15502
2.0455,0.27208
2.1136,0.26927
2.1818,0.23412
2.25,0.18877
2.3182,0.18912
2.3864,0.11987
2.4545,0.10054
2.5227,0.092802
2.5909,0.072414
2.6591,0.080148
2.7273,0.049213
2.7955,0.07382
2.8636,0.071008
2.9318,0.050971
3,0.041128
3.0682,0.036207
3.1364,0.038668
3.2045,0.043589
3.2727,0.04605
3.3409,0.056595
3.4091,0.043941
3.4773,0.054486
3.5455,0.059408
3.6136,0.036559
3.6818,0.06222
3.75,0.036559
3.8182,0.039371
3.8864,0.023552
3.9545,0.077335
4.0227,0.22638
4.0909,0.29809
4.1591,0.23869
4.2273,0.18666
4.2955,0.16065
4.3636,0.12444
4.4318,0.091748
4.5,0.10018
4.5682,0.058353
4.6364,0.088233
4.7045,0.045698
4.7727,0.068899
4.8409,0.039371
4.9091,0.06222
4.9773,0.049565
5.0455,0.021091
5.1136,0.062923
5.1818,0.041128
5.25,0.055541
5.3182,0.043238
5.3864,0.079445
5.4545,0.065735
5.5227,0.057298
5.5909,0.084717
5.6591,0.066087
5.7273,0.061517
5.7955,0.06679
5.8636,0.052026
5.9318,0.037613
6,-0.047807
6.0682,-0.049213
6.1364,-0.05308
6.2045,-0.050268
6.2727,0.022849
6.3409,0.0116
6.4091,0.05765
6.4773,0.042183
6.5455,0.077335
6.6136,0.016873
6.6818,0.061868
6.75,0.071711
6.8182,0.057298
6.8864,0.050268
