Time (ms),A2-A3 (V)
0,0.49339
0.023539,0.45429
0.047078,0.51442
0.070617,0.54432
0.094156,0.44543
0.11769,0.46993
0.14123,0.54484
0.16477,0.47028
0.18831,0.46594
0.21185,0.54536
0.23539,0.47063
0.25893,0.46663
0.28247,0.54814
0.30601,0.45499
0.32955,0.47011
0.35308,0.52763
0.37662,0.46611
0.40016,0.45221
0.4237,0.53441
0.44724,0.49791
0.47078,0.44908
0.49432,0.52155
0.51786,0.48801
0.5414,0.43378
0.56494,0.53198
0.58847,0.46107
0.61201,0.43239
0.63555,0.51077
0.65909,0.51547
0.68263,0.43726
0.70617,0.50765
0.72971,0.50365
0.75325,0.46611
0.77679,0.50521
0.80032,0.51616
0.82386,0.44195
0.8474,0.51182
0.87094,0.52068
0.89448,0.48731
0.91802,0.49061
0.94156,0.53858
0.9651,0.46142
0.98864,0.49287
1.0122,0.51355
1.0357,0.43639
1.0593,0.45533
1.0828,0.54796
1.1063,0.46889
1.1299,0.48019
1.1534,0.5219
1.1769,0.48523
1.2005,0.47306
1.224,0.53458
1.2476,0.48662
1.2711,0.47619
1.2946,0.54223
1.3182,0.48088
1.3417,0.47706
1.3653,0.5106
1.3888,0.49409
1.4123,0.44265
1.4359,0.5292
1.4594,0.49461
1.483,0.46298
1.5065,0.50573
1.53,0.51355
1.5536,0.44525
1.5771,0.50243
1.6006,0.4887
1.6242,0.45846
1.6477,0.47671
1.6713,0.51616
1.6948,0.44525
1.7183,0.4708
1.7419,0.50695
1.7654,0.44664
1.789,0.51251
1.8125,0.53041
1.836,0.49183
1.8596,0.45168
1.8831,0.52728
1.9067,0.44786
1.9302,0.47184
1.9537,0.53962
1.9773,0.48453
2.0008,0.48245
2.0244,0.51182
2.0479,0.47567
2.0714,0.46107
2.095,0.54536
2.1185,0.48505
2.142,0.5066
2.1656,0.51077
2.1891,0.51477
2.2127,0.45429
2.2362,0.50556
2.2597,0.51651
2.2833,0.45394
2.3068,0.51929
2.3304,0.51547
2.3539,0.4463
2.3774,0.50765
2.401,0.48922
2.4245,0.46124
2.4481,0.50295
2.4716,0.53111
2.4951,0.47289
2.5187,0.50417
2.5422,0.52294
2.5657,0.46037
2.5893,0.49079
2.6128,0.53267
2.6364,0.46281
2.6599,0.50156
2.6834,0.53337
2.707,0.47341
2.7305,0.47706
2.7541,0.56274
2.7776,0.48505
2.8011,0.4887
2.8247,0.53667
2.8482,0.50017
2.8718,0.44213
2.8953,0.54327
2.9188,0.49704
2.9424,0.46003
2.9659,0.59211
2.9894,0.4927
3.013,0.45412
3.0365,0.54727
3.0601,0.52276
3.0836,0.46715
3.1071,0.50817
3.1307,0.49896
3.1542,0.44108
3.1778,0.5073
3.2013,0.53389
3.2248,0.46576
3.2484,0.54744
3.2719,0.53006
3.2955,0.47688
3.319,0.53406
3.3425,0.53198
3.3661,0.46263
3.3896,0.47376
3.4131,0.53337
3.4367,0.45933
3.4602,0.49948
3.4838,0.54014
3.5073,0.43917
3.5308,0.48731
3.5544,0.54866
3.5779,0.44664
3.6015,0.44942
3.625,0.56204
3.6485,0.46785
3.6721,0.47688
3.6956,0.52659
3.7192,0.46576
3.7427,0.48922
3.7662,0.53841
3.7898,0.48123
3.8133,0.46611
3.8369,0.57838
3.8604,0.49791
3.8839,0.46315
3.9075,0.54779
3.931,0.47706
3.9545,0.43935
3.9781,0.54379
4.0016,0.50643
4.0252,0.47028
4.0487,0.50765
4.0722,0.52833
4.0958,0.46003
4.1193,0.53945
4.1429,0.51929
4.1664,0.47184
4.1899,0.51147
4.2135,0.53024
4.237,0.52607
4.2606,0.5066
4.2841,0.54988
4.3076,0.45412
4.3312,0.52224
4.3547,0.5292
4.3782,0.48609
4.4018,0.45307
4.4253,0.5252
4.4489,0.49061
4.4724,0.49218
4.4959,0.5464
4.5195,0.47862
4.543,0.48922
4.5666,0.54397
4.5901,0.49531
4.6136,0.47636
4.6372,0.53128
4.6607,0.50469
4.6843,0.492
4.7078,0.56343
4.7313,0.4927
4.7549,0.47602
4.7784,0.50904
4.8019,0.52051
4.8255,0.45481
4.849,0.53145
4.8726,0.48505
4.8961,0.48384
4.9196,0.53354
4.9432,0.49444
4.9667,0.49722
4.9903,0.51755
5.0138,0.52103
5.0373,0.47219
5.0609,0.5179
5.0844,0.53041
5.108,0.50973
5.1315,0.52155
5.155,0.5398
5.1786,0.46472
5.2021,0.50782
5.2256,0.5431
