Time (ms),A2-A3 (V)
0,0.55579
0.023438,0.54014
0.046875,0.5789
0.070312,0.61122
0.09375,0.55839
0.11719,0.51547
0.14062,0.61957
0.16406,0.57942
0.1875,0.57004
0.21094,0.6041
0.23438,0.57716
0.25781,0.5471
0.28125,0.62252
0.30469,0.58064
0.32812,0.54466
0.35156,0.5756
0.375,0.58794
0.39844,0.51859
0.42188,0.60618
0.44531,0.60427
0.46875,0.55683
0.49219,0.61296
0.51562,0.622
0.53906,0.53667
0.5625,0.58915
0.58594,0.61053
0.60938,0.5676
0.63281,0.55492
0.65625,0.63851
0.67969,0.55231
0.70312,0.57786
0.72656,0.64285
0.75,0.56395
0.77344,0.53493
0.79688,0.65884
0.82031,0.55318
0.84375,0.56465
0.86719,0.62235
0.89062,0.56204
0.91406,0.54727
0.9375,0.6359
0.96094,0.5935
0.98438,0.53858
1.0078,0.61366
1.0312,0.6041
1.0547,0.55092
1.0781,0.62078
1.1016,0.58985
1.125,0.5431
1.1484,0.59524
1.1719,0.59524
1.1953,0.55961
1.2188,0.57925
1.2422,0.62061
1.2656,0.5855
1.2891,0.59228
1.3125,0.61696
1.3359,0.54449
1.3594,0.58394
1.3828,0.61209
1.4062,0.56465
1.4297,0.55874
1.4531,0.63364
1.4766,0.55683
1.5,0.55752
1.5234,0.62026
1.5469,0.57734
1.5703,0.56343
1.5938,0.63938
1.6172,0.5471
1.6406,0.51616
1.6641,0.57803
1.6875,0.53111
1.7109,0.47619
1.7344,0.5676
1.7578,0.48922
1.7812,0.44525
1.8047,0.50382
1.8281,0.47063
1.8516,0.43361
1.875,0.43135
1.8984,0.45516
1.9219,0.4131
1.9453,0.39868
1.9688,0.41814
1.9922,0.34376
2.0156,0.34828
2.0391,0.38738
2.0625,0.31126
2.0859,0.30761
2.1094,0.34011
2.1328,0.2838
2.1562,0.2666
2.1797,0.32256
2.2031,0.26694
2.2266,0.23462
2.25,0.29006
2.2734,0.23288
2.2969,0.20195
2.3203,0.2546
2.3438,0.20733
2.3672,0.18856
2.3906,0.27025
2.4141,0.23792
2.4375,0.16423
2.4609,0.21985
2.4844,0.24227
2.5078,0.14042
2.5312,0.18491
2.5547,0.23862
2.5781,0.17727
2.6016,0.18474
2.625,0.21568
2.6484,0.12287
2.6719,0.16736
2.6953,0.23219
2.7188,0.13955
2.7422,0.11036
2.7656,0.20785
2.7891,0.13278
2.8125,0.1326
2.8359,0.15937
2.8594,0.12287
2.8828,0.10341
2.9062,0.17483
2.9297,0.11418
2.9531,0.077859
2.9766,0.14564
3,0.11992
3.0234,0.047966
3.0469,0.12061
3.0703,0.080987
3.0938,0.063086
3.1172,0.11036
3.1406,0.13069
3.1641,0.03528
3.1875,0.042927
3.2109,0.086896
3.2344,0.016858
3.2578,0.014772
3.2812,0.05961
3.3047,-0.035106
3.3281,-0.0038234
3.3516,0.049878
3.375,-0.0066041
3.3984,0.0010427
3.4219,0.047445
3.4453,-0.031109
3.4688,-0.003302
3.4922,0.057699
3.5156,-0.011123
3.5391,-0.037887
3.5625,0.0683
3.5859,0.0059089
3.6094,-0.027459
3.6328,0.037018
