Time (ms),A2-A3 (V)
0,1.186
0.022949,1.1884
0.045898,1.167
0.068848,1.0959
0.091797,1.1846
0.11475,1.1535
0.1377,1.0817
0.16064,1.1722
0.18359,1.0966
0.20654,1.0537
0.22949,1.1389
0.25244,1.1413
0.27539,1.0335
0.29834,1.0973
0.32129,1.1361
0.34424,1.0666
0.36719,1.0914
0.39014,1.1199
0.41309,1.0116
0.43604,1.06
0.45898,1.0952
0.48193,1.0214
0.50488,1.0215
0.52783,1.0704
0.55078,0.996
0.57373,1.0231
0.59668,1.085
0.61963,1.0169
0.64258,1.0301
0.66553,1.0971
0.68848,1.0335
0.71143,1.0573
0.73438,1.1237
0.75732,1.0608
0.78027,1.0473
0.80322,1.1126
0.82617,1.0779
0.84912,1.0551
0.87207,1.1255
0.89502,1.0577
0.91797,1.0553
0.94092,1.1083
0.96387,1.0864
0.98682,1.0429
1.0098,1.1439
1.0327,1.0998
1.0557,1.117
1.0786,1.167
1.1016,1.19
1.1245,1.1479
1.1475,1.2117
1.1704,1.2235
1.1934,1.1879
1.2163,1.2379
1.2393,1.2756
1.2622,1.2503
1.2852,1.2661
1.3081,1.3109
1.3311,1.2784
1.354,1.3302
1.377,1.3988
1.3999,1.39
1.4229,1.414
1.4458,1.4948
1.4688,1.4887
1.4917,1.532
1.5146,1.5825
1.5376,1.5763
1.5605,1.5431
1.5835,1.6479
1.6064,1.6602
1.6294,1.6373
1.6523,1.7602
1.6753,1.7237
1.6982,1.7271
1.7212,1.8215
1.7441,1.8133
1.7671,1.8043
1.79,1.8827
1.813,1.915
1.8359,1.8806
1.8589,1.9456
1.8818,1.9404
1.9048,1.9558
1.9277,2.0149
1.9507,2.0513
1.9736,2.0195
1.9966,2.0749
2.0195,2.1283
2.0425,2.0711
2.0654,2.111
2.0884,2.1587
2.1113,2.0716
2.1343,2.1237
2.1572,2.1611
2.1802,2.0666
2.2031,2.0845
2.2261,2.1302
2.249,2.0518
2.272,2.0139
2.2949,2.0961
2.3179,2.0339
2.3408,2.0262
2.3638,2.1112
2.3867,2.0603
2.4097,2.0384
2.4326,2.0839
2.4556,2.0273
2.4785,2.028
2.5015,2.0942
2.5244,2.0354
2.5474,2.0617
2.5703,2.1277
2.5933,2.1175
2.6162,2.1232
2.6392,2.2393
2.6621,2.1955
2.6851,2.1854
2.708,2.2682
2.731,2.3106
2.7539,2.2789
2.7769,2.3446
2.7998,2.4232
2.8228,2.3955
2.8457,2.4418
2.8687,2.4962
2.8916,2.4736
2.9146,2.5066
2.9375,2.617
2.9604,2.5947
2.9834,2.6635
3.0063,2.7087
3.0293,2.6879
3.0522,2.7073
3.0752,2.7852
3.0981,2.733
3.1211,2.7212
3.144,2.7836
3.167,2.731
3.1899,2.749
3.2129,2.7748
3.2358,2.7537
3.2588,2.7289
3.2817,2.8121
3.3047,2.7475
3.3276,2.7202
3.3506,2.8325
3.3735,2.7654
3.3965,2.7058
3.4194,2.7934
3.4424,2.7685
3.4653,2.7103
3.4883,2.793
3.5112,2.7892
3.5342,2.7311
3.5571,2.777
3.5801,2.7711
3.603,2.7195
3.626,2.7841
3.6489,2.7834
3.6719,2.753
3.6948,2.7725
3.7178,2.7829
3.7407,2.704
3.7637,2.7509
3.7866,2.7834
3.8096,2.7313
3.8325,2.784
3.8555,2.8123
3.8784,2.7101
3.9014,2.7633
3.9243,2.7951
3.9473,2.7518
3.9702,2.772
3.9932,2.784
4.0161,2.7562
4.0391,2.7699
4.062,2.8099
4.085,2.7624
4.1079,2.7581
4.1309,2.8026
4.1538,2.7821
4.1768,2.7548
4.1997,2.8062
4.2227,2.7652
4.2456,2.7284
4.2686,2.7621
4.2915,2.7647
4.3145,2.7468
4.3374,2.7864
4.3604,2.8125
4.3833,2.7537
4.4062,2.772
4.4292,2.7989
4.4521,2.7635
4.4751,2.7629
4.498,2.8062
4.521,2.7494
4.5439,2.7716
4.5669,2.8212
4.5898,2.7668
4.6128,2.7454
4.6357,2.8215
4.6587,2.7509
4.6816,2.7405
4.7046,2.8186
4.7275,2.7678
4.7505,2.7513
4.7734,2.7982
4.7964,2.7503
4.8193,2.7165
4.8423,2.7753
4.8652,2.7266
4.8882,2.6663
4.9111,2.692
4.9341,2.6658
4.957,2.5827
4.98,2.6355
5.0029,2.5009
5.0259,2.5071
5.0488,2.5999
5.0718,2.5361
5.0947,2.4618
5.1177,2.4913
5.1406,2.4963
5.1636,2.4207
5.1865,2.4373
5.2095,2.436
5.2324,2.3641
5.2554,2.3663
5.2783,2.3938
5.3013,2.3526
5.3242,2.3312
5.3472,2.3474
5.3701,2.2829
5.3931,2.3059
5.416,2.3304
5.439,2.2169
5.4619,2.227
5.4849,2.2664
5.5078,2.1962
5.5308,2.1806
5.5537,2.2054
5.5767,2.2007
5.5996,2.1545
5.6226,2.2259
5.6455,2.1665
5.6685,2.1201
5.6914,2.1974
5.7144,2.1357
5.7373,2.0777
5.7603,2.1561
5.7832,2.1058
5.8062,2.0608
5.8291,2.1312
5.8521,2.1359
5.875,2.065
5.8979,2.1211
5.9209,2.1333
5.9438,2.0365
5.9668,2.1194
5.9897,2.1455
6.0127,2.0706
6.0356,2.0648
6.0586,2.094
6.0815,2.02
6.1045,2.077
6.1274,2.1152
6.1504,2.0116
6.1733,2.0438
6.1963,2.1338
6.2192,2.0405
6.2422,2.0702
6.2651,2.1303
6.2881,2.057
6.311,2.0533
6.334,2.1258
6.3569,2.0707
6.3799,2.0438
6.4028,2.1324
6.4258,2.0462
6.4487,2.0553
6.4717,2.0852
6.4946,2.0912
6.5176,2.0556
6.5405,2.1121
6.5635,2.0956
6.5864,2.0295
6.6094,2.0777
6.6323,2.0801
6.6553,2.0269
6.6782,2.0864
6.7012,2.1006
6.7241,2.0408
6.7471,2.0773
6.77,2.1206
6.793,2.0645
6.8159,2.0565
6.8389,2.1361
6.8618,2.0264
6.8848,2.0532
6.9077,2.0799
6.9307,2.0233
6.9536,2.0648
6.9766,2.109
6.9995,2.0573
7.0225,2.0612
7.0454,2.1371
7.0684,2.0321
7.0913,2.0662
7.1143,2.0985
7.1372,2.069
7.1602,2.0509
7.1831,2.101
7.2061,2.0704
7.229,2.0245
7.252,2.1312
7.2749,2.0525
7.2979,1.9984
7.3208,2.0711
7.3438,2.061
7.3667,2.016
7.3896,2.0812
7.4126,2.0021
7.4355,2.0127
7.4585,2.0664
7.4814,2.0488
7.5044,1.9991
7.5273,2.0787
7.5503,2.0831
7.5732,2.0096
7.5962,2.05
7.6191,2.0443
7.6421,2.0217
7.665,2.0106
7.688,2.0871
7.7109,2.0412
7.7339,2.049
7.7568,2.1176
7.7798,2.0311
7.8027,2.0506
7.8257,2.0989
7.8486,2.0196
7.8716,2.0146
7.8945,2.0992
7.9175,2.0377
7.9404,2.041
7.9634,2.1143
7.9863,2.0189
8.0093,2.0443
8.0322,2.0838
8.0552,2.0504
8.0781,2.0566
8.1011,2.1475
8.124,2.1128
8.147,2.0855
8.1699,2.1265
8.1929,2.1208
8.2158,2.0669
8.2388,2.1077
8.2617,2.0951
8.2847,2.0812
8.3076,2.127
8.3306,2.1508
8.3535,2.0876
8.3765,2.114
8.3994,2.1538
8.4224,2.101
8.4453,2.1076
8.4683,2.1628
8.4912,2.1166
8.5142,2.1069
8.5371,2.1731
8.5601,2.114
8.583,2.1105
8.606,2.1601
8.6289,2.117
8.6519,2.1031
8.6748,2.1467
8.6978,2.0808
8.7207,2.1203
8.7437,2.1936
8.7666,2.1065
8.7896,2.0563
8.8125,2.1552
8.8354,2.0879
8.8584,2.0709
8.8813,2.1701
8.9043,2.1135
8.9272,2.0931
8.9502,2.2072
8.9731,2.1387
8.9961,2.0466
9.019,2.1448
9.042,2.1079
9.0649,2.0606
9.0879,2.1531
9.1108,2.1246
9.1338,2.0773
9.1567,2.1614
9.1797,2.1569
9.2026,2.0794
9.2256,2.1649
9.2485,2.1477
9.2715,2.0845
9.2944,2.1143
9.3174,2.1291
9.3403,2.1069
9.3633,2.1192
9.3862,2.1715
9.4092,2.0921
9.4321,2.1522
9.4551,2.1924
9.478,2.1163
9.501,2.1519
9.5239,2.2023
9.5469,2.1194
9.5698,2.1425
9.5928,2.2099
9.6157,2.1708
9.6387,2.1658
9.6616,2.1849
9.6846,2.1924
9.7075,2.1797
9.7305,2.2532
9.7534,2.1712
9.7764,2.192
9.7993,2.2489
9.8223,2.2621
9.8452,2.2092
9.8682,2.314
9.8911,2.2963
9.9141,2.2701
9.937,2.3776
9.96,2.3156
9.9829,2.3007
10.006,2.3842
10.029,2.3875
10.052,2.3323
10.075,2.4034
10.098,2.4324
10.121,2.3886
10.144,2.4485
10.167,2.4658
10.189,2.4652
10.212,2.4306
10.235,2.5202
10.258,2.4748
10.281,2.4854
10.304,2.5633
10.327,2.4958
10.35,2.5139
10.373,2.6206
10.396,2.5365
10.419,2.5551
10.442,2.6448
10.465,2.6008
10.488,2.6227
10.511,2.6835
10.534,2.6109
10.557,2.621
10.58,2.6769
10.603,2.6418
10.625,2.5822
10.648,2.6634
10.671,2.6251
10.694,2.5493
10.717,2.581
10.74,2.5712
10.763,2.4842
10.786,2.5584
10.809,2.4916
10.832,2.5003
10.855,2.5639
10.878,2.5507
10.901,2.4903
10.924,2.5836
10.947,2.5838
10.97,2.5156
10.993,2.5806
11.016,2.6194
11.039,2.5702
11.062,2.6055
11.084,2.6434
11.107,2.5627
11.13,2.6236
11.153,2.7075
11.176,2.6512
11.199,2.658
11.222,2.7607
11.245,2.6943
11.268,2.7233
11.291,2.7892
11.314,2.7329
11.337,2.7237
11.36,2.8097
11.383,2.7372
11.406,2.7294
11.429,2.841
11.452,2.7788
11.475,2.723
11.498,2.7852
11.521,2.7626
11.543,2.7541
11.566,2.789
11.589,2.7794
11.612,2.7436
11.635,2.7914
11.658,2.7867
11.681,2.7172
11.704,2.764
11.727,2.8045
11.75,2.7532
11.773,2.8038
11.796,2.8175
11.819,2.7669
11.842,2.7697
11.865,2.7822
11.888,2.7459
11.911,2.7716
11.934,2.8173
11.957,2.7242
11.979,2.7602
12.002,2.8007
12.025,2.741
12.048,2.7666
12.071,2.8043
12.094,2.7461
12.117,2.7763
12.14,2.8142
12.163,2.7593
12.186,2.7617
12.209,2.8201
12.232,2.7683
12.255,2.712
12.278,2.8015
12.301,2.797
12.324,2.7476
12.347,2.7756
12.37,2.7643
12.393,2.7226
12.416,2.7662
12.438,2.7548
12.461,2.7216
12.484,2.7768
12.507,2.7881
12.53,2.7297
12.553,2.7741
12.576,2.8198
12.599,2.7678
12.622,2.7344
12.645,2.7888
12.668,2.752
12.691,2.7687
12.714,2.8288
12.737,2.7226
12.76,2.7614
12.783,2.798
12.806,2.773
12.829,2.7259
12.852,2.785
12.875,2.752
12.897,2.7085
12.92,2.777
12.943,2.7537
12.966,2.7252
12.989,2.7998
13.012,2.7576
13.035,2.7105
13.058,2.7906
13.081,2.7854
13.104,2.6943
13.127,2.8024
13.15,2.7673
13.173,2.7047
13.196,2.7961
13.219,2.7996
13.242,2.6873
13.265,2.7756
13.288,2.7767
13.311,2.696
13.333,2.7541
13.356,2.7989
13.379,2.7421
13.402,2.7332
13.425,2.7768
13.448,2.7221
13.471,2.7497
13.494,2.7782
13.517,2.7151
13.54,2.7499
13.563,2.804
13.586,2.7002
13.609,2.7303
13.632,2.7589
13.655,2.6957
13.678,2.6938
13.701,2.7529
13.724,2.6981
13.747,2.6585
13.77,2.7363
13.792,2.6641
13.815,2.6463
13.838,2.6776
13.861,2.6263
13.884,2.5443
13.907,2.6081
13.93,2.5848
13.953,2.5389
13.976,2.5806
13.999,2.5549
14.022,2.5099
14.045,2.5068
14.068,2.5419
14.091,2.4595
14.114,2.4958
14.137,2.4845
14.16,2.4183
14.183,2.4465
14.206,2.4666
14.229,2.3924
14.251,2.4098
14.274,2.4289
14.297,2.3895
14.32,2.3796
14.343,2.444
14.366,2.3526
14.389,2.2786
14.412,2.3707
14.435,2.3116
14.458,2.288
14.481,2.3307
14.504,2.2735
14.527,2.211
14.55,2.2643
14.573,2.2054
14.596,2.17
14.619,2.2012
14.642,2.1992
14.665,2.1498
14.688,2.1868
14.71,2.1641
14.733,2.0971
14.756,2.1618
14.779,2.1307
14.802,2.0493
14.825,2.0843
14.848,2.089
14.871,1.9837
14.894,2.0375
14.917,2.0335
14.94,1.9098
14.963,1.9546
14.986,2.0116
15.009,1.9313
15.032,1.9253
15.055,1.9578
15.078,1.8597
15.101,1.8966
15.124,1.9444
15.146,1.8159
15.169,1.8248
15.192,1.8771
15.215,1.8139
15.238,1.7947
15.261,1.8316
15.284,1.7523
15.307,1.7393
15.33,1.8038
15.353,1.7141
15.376,1.7131
15.399,1.7777
15.422,1.6858
15.445,1.6477
15.468,1.7468
