Time (ms),A2-A3 (V)
0,-0.8846
0.023438,-0.90632
0.046875,-0.85523
0.070312,-0.91484
0.09375,-0.89607
0.11719,-0.80761
0.14062,-0.83524
0.16406,-0.82256
0.1875,-0.71915
0.21094,-0.74609
0.23438,-0.78328
0.25781,-0.64668
0.28125,-0.68804
0.30469,-0.71515
0.32812,-0.64355
0.35156,-0.64929
0.375,-0.68265
0.39844,-0.58516
0.42188,-0.62356
0.44531,-0.65485
0.46875,-0.60479
0.49219,-0.60184
0.51562,-0.65658
0.53906,-0.61418
0.5625,-0.57994
0.58594,-0.65137
0.60938,-0.6074
0.63281,-0.57716
0.65625,-0.63382
0.67969,-0.58637
0.70312,-0.55387
0.72656,-0.61609
0.75,-0.63451
0.77344,-0.53076
0.79688,-0.61296
0.82031,-0.58881
0.84375,-0.5391
0.86719,-0.58881
0.89062,-0.58516
0.91406,-0.5471
0.9375,-0.56569
0.96094,-0.58672
0.98438,-0.5146
1.0078,-0.56726
1.0312,-0.58307
1.0547,-0.52137
1.0781,-0.55266
1.1016,-0.59663
1.125,-0.51772
1.1484,-0.55492
1.1719,-0.57525
1.1953,-0.52033
1.2188,-0.52068
1.2422,-0.58359
1.2656,-0.52572
1.2891,-0.53823
1.3125,-0.55665
1.3359,-0.55127
1.3594,-0.49878
1.3828,-0.55526
1.4062,-0.51877
1.4297,-0.46715
1.4531,-0.5179
1.4766,-0.50121
1.5,-0.45568
1.5234,-0.50765
1.5469,-0.51321
1.5703,-0.44664
1.5938,-0.47793
1.6172,-0.49444
1.6406,-0.40841
1.6641,-0.45811
1.6875,-0.4927
1.7109,-0.40667
1.7344,-0.43813
1.7578,-0.47567
1.7812,-0.42301
1.8047,-0.46368
1.8281,-0.50226
1.8516,-0.45568
1.875,-0.48071
1.8984,-0.51077
1.9219,-0.4602
1.9453,-0.4171
1.9688,-0.51981
1.9922,-0.46715
2.0156,-0.44369
2.0391,-0.49079
2.0625,-0.4894
2.0859,-0.4032
2.1094,-0.51755
2.1328,-0.50452
2.1562,-0.43795
2.1797,-0.49478
2.2031,-0.50417
2.2266,-0.46611
2.25,-0.52867
2.2734,-0.55874
2.2969,-0.49583
2.3203,-0.56639
2.3438,-0.58585
2.3672,-0.54292
2.3906,-0.6001
2.4141,-0.64407
2.4375,-0.5961
2.4609,-0.60288
2.4844,-0.69343
2.5078,-0.64007
2.5312,-0.67796
2.5547,-0.7334
2.5781,-0.7148
2.6016,-0.70976
2.625,-0.79979
2.6484,-0.78901
2.6719,-0.81074
2.6953,-0.8408
2.7188,-0.89937
2.7422,-0.87521
2.7656,-0.97949
2.7891,-0.99791
2.8125,-0.97879
2.8359,-1.0389
2.8594,-1.0765
2.8828,-1.0789
2.9062,-1.1429
2.9297,-1.1703
2.9531,-1.1413
2.9766,-1.2079
3,-1.2489
3.0234,-1.2224
3.0469,-1.2508
3.0703,-1.3337
3.0938,-1.288
3.1172,-1.3125
3.1406,-1.4032
3.1641,-1.3837
3.1875,-1.3809
3.2109,-1.4432
3.2344,-1.4369
3.2578,-1.4067
3.2812,-1.4875
3.3047,-1.4901
3.3281,-1.4501
3.3516,-1.5111
3.375,-1.491
3.3984,-1.4319
3.4219,-1.5236
3.4453,-1.4967
3.4688,-1.4162
3.4922,-1.4725
3.5156,-1.4701
3.5391,-1.4093
3.5625,-1.4451
3.5859,-1.4809
3.6094,-1.3949
3.6328,-1.4265
3.6562,-1.4741
3.6797,-1.3985
3.7031,-1.4357
3.7266,-1.4621
3.75,-1.4322
3.7734,-1.4419
3.7969,-1.4983
3.8203,-1.4366
3.8438,-1.4574
3.8672,-1.5271
3.8906,-1.4315
3.9141,-1.4602
3.9375,-1.513
3.9609,-1.4856
3.9844,-1.4543
4.0078,-1.5304
4.0312,-1.4906
4.0547,-1.4529
4.0781,-1.5214
4.1016,-1.4991
4.125,-1.4428
4.1484,-1.5056
4.1719,-1.4743
4.1953,-1.4496
4.2188,-1.4972
4.2422,-1.5163
4.2656,-1.4418
4.2891,-1.5165
4.3125,-1.5292
4.3359,-1.4392
4.3594,-1.4981
4.3828,-1.5283
4.4062,-1.4691
4.4297,-1.4958
4.4531,-1.5139
4.4766,-1.5024
4.5,-1.4659
4.5234,-1.516
4.5469,-1.4826
4.5703,-1.447
4.5938,-1.5056
4.6172,-1.5026
4.6406,-1.4819
4.6641,-1.5129
4.6875,-1.5255
4.7109,-1.4619
4.7344,-1.5356
4.7578,-1.4889
4.7812,-1.4604
4.8047,-1.5052
4.8281,-1.4892
4.8516,-1.4479
4.875,-1.5047
4.8984,-1.5429
4.9219,-1.4315
4.9453,-1.4638
4.9688,-1.533
4.9922,-1.4324
5.0156,-1.4901
5.0391,-1.5202
5.0625,-1.4694
5.0859,-1.4751
5.1094,-1.5389
5.1328,-1.4571
5.1562,-1.4696
5.1797,-1.5325
5.2031,-1.4691
5.2266,-1.4512
5.25,-1.5222
5.2734,-1.4743
5.2969,-1.4409
5.3203,-1.4991
5.3438,-1.4816
5.3672,-1.4263
5.3906,-1.533
5.4141,-1.4911
5.4375,-1.4218
5.4609,-1.5245
5.4844,-1.517
5.5078,-1.4519
5.5312,-1.5016
5.5547,-1.4962
5.5781,-1.4343
5.6016,-1.4903
5.625,-1.5111
5.6484,-1.4496
5.6719,-1.5059
5.6953,-1.5111
5.7188,-1.4557
5.7422,-1.4814
5.7656,-1.5281
5.7891,-1.4671
5.8125,-1.4821
5.8359,-1.5226
5.8594,-1.455
5.8828,-1.4574
5.9062,-1.5104
5.9297,-1.443
5.9531,-1.4529
5.9766,-1.4903
6,-1.4718
6.0234,-1.4251
6.0469,-1.5287
6.0703,-1.4859
6.0938,-1.447
6.1172,-1.5375
6.1406,-1.5064
6.1641,-1.4512
6.1875,-1.5144
6.2109,-1.4852
6.2344,-1.4357
6.2578,-1.4844
6.2812,-1.5047
6.3047,-1.4439
6.3281,-1.4953
6.3516,-1.5228
6.375,-1.4571
6.3984,-1.4711
6.4219,-1.5101
6.4453,-1.4489
6.4688,-1.4892
6.4922,-1.5021
6.5156,-1.4534
6.5391,-1.48
6.5625,-1.5174
6.5859,-1.455
6.6094,-1.464
6.6328,-1.5064
6.6562,-1.4877
6.6797,-1.4694
6.7031,-1.4845
6.7266,-1.4769
6.75,-1.4416
6.7734,-1.5113
6.7969,-1.505
6.8203,-1.4114
6.8438,-1.4717
6.8672,-1.4647
6.8906,-1.4037
6.9141,-1.4213
6.9375,-1.447
6.9609,-1.3551
6.9844,-1.3747
7.0078,-1.4096
7.0312,-1.3099
7.0547,-1.3213
7.0781,-1.3425
7.1016,-1.2821
7.125,-1.2793
7.1484,-1.308
7.1719,-1.2318
7.1953,-1.2414
7.2188,-1.2555
7.2422,-1.2087
7.2656,-1.1752
7.2891,-1.2435
7.3125,-1.1724
7.3359,-1.1029
7.3594,-1.134
7.3828,-1.0999
7.4062,-1.0351
7.4297,-1.1133
7.4531,-1.0952
7.4766,-1.012
7.5,-1.0733
7.5234,-1.0945
7.5469,-0.97567
7.5703,-1.0693
7.5938,-1.06
7.6172,-0.9748
7.6406,-1.0063
7.6641,-1.0544
7.6875,-0.95429
7.7109,-1.0116
7.7344,-1.0504
7.7578,-0.96315
7.7812,-0.99669
7.8047,-1.032
7.8281,-0.95394
7.8516,-1.0002
7.875,-1.0306
7.8984,-0.95985
7.9219,-0.98418
7.9453,-1.0384
7.9688,-1.0017
7.9922,-0.97984
8.0156,-1.0334
8.0391,-0.99843
8.0625,-0.96976
8.0859,-1.0455
8.1094,-0.98296
8.1328,-0.95551
8.1562,-1.0252
8.1797,-1.0273
8.2031,-0.95568
8.2266,-1.0382
8.25,-1.0247
8.2734,-0.94577
8.2969,-1.0165
8.3203,-1.0374
8.3438,-0.94855
8.3672,-1.001
8.3906,-1.0196
8.4141,-0.95655
8.4375,-0.98036
8.4609,-1.0175
8.4844,-0.96002
8.5078,-0.99704
8.5312,-1.0381
8.5547,-0.94073
8.5781,-0.98018
8.6016,-1.0066
8.625,-0.98105
8.6484,-0.97445
8.6719,-0.98592
8.6953,-0.92926
8.7188,-0.9211
8.7422,-0.98314
8.7656,-0.90476
8.7891,-0.92144
8.8125,-0.95968
8.8359,-0.94873
8.8594,-0.9204
8.8828,-0.98001
8.9062,-0.97323
8.9297,-0.92405
8.9531,-0.97619
8.9766,-0.95429
9,-0.91553
9.0234,-0.97792
9.0469,-0.98488
9.0703,-0.94247
9.0938,-0.99148
9.1172,-0.98331
9.1406,-0.93569
9.1641,-0.96767
9.1875,-1.012
9.2109,-0.9496
9.2344,-0.94386
9.2578,-1.0113
9.2812,-0.93482
9.3047,-0.97775
9.3281,-1.0132
9.3516,-0.97289
9.375,-0.98488
9.3984,-1.0332
9.4219,-1.0064
9.4453,-1.0129
9.4688,-1.0714
9.4922,-1.0191
9.5156,-0.99982
9.5391,-1.0598
9.5625,-1.078
9.5859,-1.0214
9.6094,-1.098
9.6328,-1.0775
9.6562,-1.0043
9.6797,-1.1072
9.7031,-1.0985
9.7266,-1.0509
9.75,-1.0869
9.7734,-1.0994
9.7969,-1.044
9.8203,-1.1177
9.8438,-1.1272
9.8672,-1.0617
9.8906,-1.1137
9.9141,-1.1557
9.9375,-1.0236
9.9609,-1.1152
9.9844,-1.1331
10.008,-1.0673
10.031,-1.1015
10.055,-1.1608
10.078,-1.0368
10.102,-1.0933
10.125,-1.118
10.148,-1.0881
10.172,-1.0737
10.195,-1.1552
10.219,-1.0537
10.242,-1.0403
10.266,-1.1112
10.289,-1.0848
10.312,-1.0532
10.336,-1.1399
10.359,-1.0766
10.383,-1.0573
10.406,-1.1387
10.43,-1.1267
10.453,-1.0506
10.477,-1.131
10.5,-1.139
10.523,-1.0662
10.547,-1.1241
10.57,-1.109
10.594,-1.0606
10.617,-1.143
10.641,-1.1269
10.664,-1.0937
10.688,-1.1496
10.711,-1.143
10.734,-1.0971
10.758,-1.1185
10.781,-1.1533
10.805,-1.1065
10.828,-1.123
10.852,-1.1658
10.875,-1.13
10.898,-1.143
10.922,-1.17
10.945,-1.1481
10.969,-1.1453
10.992,-1.1861
11.016,-1.1712
11.039,-1.1828
11.062,-1.2388
11.086,-1.2009
11.109,-1.2167
11.133,-1.2541
11.156,-1.2643
11.18,-1.2066
11.203,-1.3014
11.227,-1.3208
11.25,-1.261
11.273,-1.3154
11.297,-1.3827
11.32,-1.3349
11.344,-1.3837
11.367,-1.4466
11.391,-1.4105
11.414,-1.4282
11.438,-1.4795
11.461,-1.4374
11.484,-1.4185
11.508,-1.5003
11.531,-1.4353
11.555,-1.4665
11.578,-1.5144
11.602,-1.448
11.625,-1.4345
11.648,-1.5205
11.672,-1.464
11.695,-1.4517
11.719,-1.5344
11.742,-1.4586
11.766,-1.4362
11.789,-1.5024
11.812,-1.4875
11.836,-1.4393
11.859,-1.5321
11.883,-1.4788
11.906,-1.4275
11.93,-1.5175
11.953,-1.4901
11.977,-1.4249
12,-1.4941
12.023,-1.5023
12.047,-1.4418
12.07,-1.5205
12.094,-1.4889
12.117,-1.3891
12.141,-1.4913
12.164,-1.5036
12.188,-1.4463
12.211,-1.4809
12.234,-1.509
12.258,-1.4244
12.281,-1.4652
12.305,-1.5078
12.328,-1.4049
12.352,-1.4552
12.375,-1.508
12.398,-1.4098
12.422,-1.4908
12.445,-1.5175
12.469,-1.4541
12.492,-1.4557
12.516,-1.4998
12.539,-1.4685
12.562,-1.4666
12.586,-1.5049
12.609,-1.4864
12.633,-1.4635
12.656,-1.5242
12.68,-1.471
12.703,-1.4506
12.727,-1.5208
12.75,-1.4887
12.773,-1.4718
12.797,-1.5057
12.82,-1.5156
12.844,-1.4609
12.867,-1.4925
12.891,-1.4911
12.914,-1.4446
12.938,-1.4845
12.961,-1.5471
12.984,-1.4103
13.008,-1.4614
13.031,-1.509
13.055,-1.4718
13.078,-1.4579
13.102,-1.5264
13.125,-1.4211
13.148,-1.4899
13.172,-1.5092
13.195,-1.4678
13.219,-1.4574
13.242,-1.4866
13.266,-1.4925
13.289,-1.4473
13.312,-1.5069
13.336,-1.4877
13.359,-1.4395
13.383,-1.5544
13.406,-1.4981
13.43,-1.4383
13.453,-1.5288
13.477,-1.5268
13.5,-1.447
13.523,-1.4838
13.547,-1.5076
13.57,-1.3938
13.594,-1.5311
13.617,-1.5281
13.641,-1.435
13.664,-1.5014
13.688,-1.5189
13.711,-1.4534
13.734,-1.5174
13.758,-1.5278
13.781,-1.4479
13.805,-1.488
13.828,-1.5434
13.852,-1.4503
13.875,-1.4764
13.898,-1.5351
13.922,-1.4718
13.945,-1.4731
13.969,-1.5129
13.992,-1.4642
14.016,-1.4711
14.039,-1.5264
14.062,-1.46
14.086,-1.4692
14.109,-1.5049
14.133,-1.4738
14.156,-1.4612
14.18,-1.5221
14.203,-1.493
14.227,-1.443
14.25,-1.5141
14.273,-1.4864
14.297,-1.4324
14.32,-1.4823
14.344,-1.508
14.367,-1.4419
14.391,-1.4996
14.414,-1.5042
14.438,-1.4552
14.461,-1.4852
