Time (ms),A2-A3 (V)
0,-5.0082
0.023438,-5.0134
0.046875,-4.9972
0.070312,-4.9633
0.09375,-4.9908
0.11719,-5.0297
0.14062,-4.9475
0.16406,-4.9866
0.1875,-5.0516
0.21094,-4.9633
0.23438,-4.9706
0.25781,-5.0234
0.28125,-4.9692
0.30469,-4.9942
0.32812,-5.0264
0.35156,-4.9847
0.375,-4.9484
0.39844,-5.009
0.42188,-4.9769
0.44531,-4.9412
0.46875,-4.9955
0.49219,-4.9755
0.51562,-4.932
0.53906,-5.0248
0.5625,-4.9925
0.58594,-4.9286
0.60938,-5.0387
0.63281,-5.0054
0.65625,-4.9557
0.67969,-5.0099
0.70312,-5.0068
0.72656,-4.9685
0.75,-4.9979
0.77344,-5.0401
0.79688,-4.9553
0.82031,-4.9803
0.84375,-5.0036
0.86719,-4.9458
0.89062,-4.9727
0.91406,-5.0245
0.9375,-4.887
0.96094,-4.9793
0.98438,-5.0137
1.0078,-4.9796
1.0312,-4.9609
1.0547,-5.0172
1.0781,-4.977
1.1016,-4.9341
1.125,-5.0198
1.1484,-4.9871
1.1719,-4.9505
1.1953,-5.0276
1.2188,-4.9671
1.2422,-4.9557
1.2656,-5.02
1.2891,-4.9956
1.3125,-4.9367
1.3359,-5.0015
1.3594,-4.9988
1.3828,-4.9405
1.4062,-5.0085
1.4297,-5.0095
1.4531,-4.9275
1.4766,-4.9734
1.5,-4.9967
1.5234,-4.9564
1.5469,-4.9939
1.5703,-4.9925
1.5938,-4.9407
1.6172,-4.9619
1.6406,-5.0116
1.6641,-4.9386
1.6875,-4.9859
1.7109,-5.024
1.7344,-4.9779
1.7578,-4.9734
1.7812,-4.997
1.8047,-4.9979
1.8281,-4.9654
1.8516,-4.9944
1.875,-4.9908
1.8984,-4.9609
1.9219,-4.9833
1.9453,-4.9932
1.9688,-4.9623
1.9922,-5.0207
2.0156,-5.0102
2.0391,-4.9331
2.0625,-5.0363
2.0859,-4.9988
2.1094,-4.9609
2.1328,-5.0429
2.1562,-5.0313
2.1797,-4.9449
2.2031,-5.0002
2.2266,-5.0188
2.25,-4.9581
2.2734,-4.9838
2.2969,-5.0387
2.3203,-4.9631
2.3438,-4.9706
2.3672,-5.0387
2.3906,-4.9435
2.4141,-4.9569
2.4375,-5.0295
2.4609,-4.9597
2.4844,-4.9477
2.5078,-5.0346
2.5312,-4.963
2.5547,-4.9529
2.5781,-5.0116
2.6016,-4.9899
2.625,-4.9498
2.6484,-4.9744
2.6719,-4.9856
2.6953,-4.9414
2.7188,-5.0088
2.7422,-4.9936
2.7656,-4.9635
2.7891,-4.9315
2.8125,-5.0068
2.8359,-4.9388
2.8594,-5.02
2.8828,-4.972
2.9062,-4.9067
2.9297,-4.9228
2.9531,-4.9404
2.9766,-4.858
3,-4.8324
3.0234,-4.875
3.0469,-4.7704
3.0703,-4.7369
3.0938,-4.8024
3.1172,-4.696
3.1406,-4.6627
3.1641,-4.7025
3.1875,-4.6494
3.2109,-4.605
3.2344,-4.6175
3.2578,-4.5709
3.2812,-4.5228
3.3047,-4.566
3.3281,-4.5382
3.3516,-4.505
3.375,-4.4583
3.3984,-4.5104
3.4219,-4.3761
3.4453,-4.4969
3.4688,-4.4246
3.4922,-4.3404
3.5156,-4.3964
3.5391,-4.3613
3.5625,-4.313
3.5859,-4.3291
3.6094,-4.3218
3.6328,-4.244
3.6562,-4.2675
3.6797,-4.3057
3.7031,-4.2045
3.7266,-4.2271
3.75,-4.2713
3.7734,-4.1595
3.7969,-4.2184
3.8203,-4.2386
3.8438,-4.0747
3.8672,-4.1625
3.8906,-4.1694
3.9141,-4.167
3.9375,-4.1213
3.9609,-4.1823
3.9844,-4.0799
4.0078,-4.0622
4.0312,-4.1166
4.0547,-4.0905
4.0781,-4.0518
4.1016,-4.078
4.125,-4.0488
4.1484,-4.0043
4.1719,-4.0572
4.1953,-4.0182
4.2188,-3.9821
4.2422,-4.0179
4.2656,-3.9892
4.2891,-3.9598
4.3125,-3.987
4.3359,-3.9699
4.3594,-3.9289
4.3828,-3.9598
4.4062,-3.9425
4.4297,-3.7966
4.4531,-3.8868
4.4766,-3.9468
4.5,-3.8521
4.5234,-3.8592
4.5469,-3.8768
4.5703,-3.7822
4.5938,-3.8045
4.6172,-3.8396
4.6406,-3.7542
4.6641,-3.7819
4.6875,-3.7377
4.7109,-3.7188
4.7344,-3.7165
4.7578,-3.7532
4.7812,-3.6952
4.8047,-3.6385
4.8281,-3.6776
4.8516,-3.638
4.875,-3.6084
4.8984,-3.6368
4.9219,-3.5917
4.9453,-3.5386
4.9688,-3.5407
4.9922,-3.5761
5.0156,-3.5062
5.0391,-3.5332
5.0625,-3.5233
5.0859,-3.4593
5.1094,-3.4816
5.1328,-3.4866
5.1562,-3.4148
5.1797,-3.4371
5.2031,-3.4482
5.2266,-3.3603
5.25,-3.3853
5.2734,-3.4185
5.2969,-3.3418
5.3203,-3.3401
5.3438,-3.3559
5.3672,-3.2925
5.3906,-3.3283
5.4141,-3.3286
5.4375,-3.2636
5.4609,-3.2348
5.4844,-3.2723
5.5078,-3.2249
5.5312,-3.2011
5.5547,-3.241
5.5781,-3.1915
5.6016,-3.1465
5.625,-3.1959
5.6484,-3.1875
5.6719,-3.0763
5.6953,-3.1691
5.7188,-3.1434
5.7422,-3.1123
5.7656,-3.1201
5.7891,-3.1479
5.8125,-3.0342
5.8359,-3.0985
5.8594,-3.0575
5.8828,-2.9922
5.9062,-3.02
5.9297,-3.0137
5.9531,-2.9254
5.9766,-2.9244
6,-2.9684
6.0234,-2.869
6.0469,-2.8571
6.0703,-2.9143
6.0938,-2.8259
6.1172,-2.8498
6.1406,-2.8695
6.1641,-2.8398
6.1875,-2.8107
6.2109,-2.8594
6.2344,-2.8031
6.2578,-2.7831
6.2812,-2.8326
6.3047,-2.8203
6.3281,-2.8013
6.3516,-2.7925
6.375,-2.7913
6.3984,-2.7254
6.4219,-2.8302
6.4453,-2.7878
6.4688,-2.7089
6.4922,-2.7457
6.5156,-2.7989
6.5391,-2.732
6.5625,-2.8307
6.5859,-2.7934
6.6094,-2.7127
6.6328,-2.7902
6.6562,-2.8119
6.6797,-2.6642
6.7031,-2.7461
6.7266,-2.7911
6.75,-2.7464
6.7734,-2.7452
6.7969,-2.8088
6.8203,-2.6854
6.8438,-2.7511
6.8672,-2.7904
6.8906,-2.7541
6.9141,-2.7419
6.9375,-2.7953
6.9609,-2.7482
6.9844,-2.7153
7.0078,-2.8012
7.0312,-2.7355
7.0547,-2.7087
7.0781,-2.7808
7.1016,-2.7141
7.125,-2.7035
7.1484,-2.7861
7.1719,-2.7529
7.1953,-2.6766
7.2188,-2.731
7.2422,-2.7402
7.2656,-2.6715
7.2891,-2.7021
7.3125,-2.7219
7.3359,-2.6512
7.3594,-2.6842
7.3828,-2.7068
7.4062,-2.642
7.4297,-2.6491
7.4531,-2.6972
7.4766,-2.6562
7.5,-2.6668
7.5234,-2.7
7.5469,-2.6564
7.5703,-2.6371
7.5938,-2.6712
7.6172,-2.6317
7.6406,-2.6665
7.6641,-2.6953
7.6875,-2.6434
7.7109,-2.6441
7.7344,-2.6931
7.7578,-2.6891
7.7812,-2.6216
7.8047,-2.6854
7.8281,-2.6927
7.8516,-2.6166
7.875,-2.7061
7.8984,-2.704
7.9219,-2.6569
7.9453,-2.6932
7.9688,-2.7647
7.9922,-2.6919
8.0156,-2.7784
8.0391,-2.7475
8.0625,-2.7172
8.0859,-2.7845
8.1094,-2.81
8.1328,-2.7433
8.1562,-2.8095
8.1797,-2.8537
8.2031,-2.8196
8.2266,-2.8517
8.25,-2.9227
8.2734,-2.8693
8.2969,-2.9162
8.3203,-2.9845
8.3438,-2.9536
8.3672,-2.9797
8.3906,-3.0549
8.4141,-3.045
8.4375,-3.0666
8.4609,-3.1726
8.4844,-3.1437
8.5078,-3.1216
8.5312,-3.2285
8.5547,-3.2226
8.5781,-3.2054
8.6016,-3.3166
8.625,-3.3385
8.6484,-3.2984
8.6719,-3.3815
8.6953,-3.4272
8.7188,-3.3644
8.7422,-3.4381
8.7656,-3.4824
8.7891,-3.4272
8.8125,-3.5089
8.8359,-3.5492
8.8594,-3.5005
8.8828,-3.5659
8.9062,-3.6432
8.9297,-3.6105
8.9531,-3.6434
8.9766,-3.7162
9,-3.6276
9.0234,-3.6781
9.0469,-3.7638
9.0703,-3.6859
9.0938,-3.7004
9.1172,-3.7525
9.1406,-3.7065
9.1641,-3.6846
9.1875,-3.7308
9.2109,-3.6964
9.2344,-3.63
9.2578,-3.7151
9.2812,-3.6571
9.3047,-3.5984
9.3281,-3.6687
9.3516,-3.67
9.375,-3.5872
9.3984,-3.6163
9.4219,-3.6538
9.4453,-3.5653
9.4688,-3.664
9.4922,-3.6769
9.5156,-3.6442
9.5391,-3.6707
9.5625,-3.7099
9.5859,-3.6651
9.6094,-3.7351
9.6328,-3.793
9.6562,-3.7602
9.6797,-3.7961
9.7031,-3.8543
9.7266,-3.8514
9.75,-3.8994
