Time (ms),A2-A3 (V)
0,-0.012687
0.023438,0.021029
0.046875,0.013382
0.070312,0.069864
0.09375,0.028502
0.11719,-0.0064303
0.14062,0.10619
0.16406,0.014772
0.1875,-0.0026069
0.21094,0.0683
0.23438,0.037713
0.25781,-0.019986
0.28125,0.071776
0.30469,0.057177
0.32812,-0.014598
0.35156,0.077163
0.375,0.036322
0.39844,-0.018596
0.42188,0.057351
0.44531,0.041015
0.46875,-0.0060827
0.49219,0.048488
0.51562,0.046055
0.53906,0.0069517
0.5625,0.029718
0.58594,0.062913
0.60938,-0.0079944
0.63281,0.04032
0.65625,0.070733
0.67969,-0.008342
0.70312,0.027633
0.72656,0.043448
0.75,0.014598
0.77344,-0.019986
0.79688,0.073688
0.82031,-0.0015641
0.84375,0.030066
0.86719,0.056308
0.89062,0.021203
0.91406,-0.0062565
0.9375,0.071081
0.96094,0.0048662
0.98438,0.013034
1.0078,0.083246
1.0312,0.035801
1.0547,-0.0066041
1.0781,0.052659
1.1016,0.047098
1.125,0.00034758
1.1484,0.034063
1.1719,0.013382
1.1953,-0.015641
1.2188,0.042927
1.2422,0.051964
1.2656,-0.023636
1.2891,0.02798
1.3125,0.045881
1.3359,-0.0045186
1.3594,0.026938
1.3828,0.049357
1.4062,0.0048662
1.4297,0.026069
1.4531,0.064477
1.4766,-0.0046924
1.5,0.0022593
1.5234,0.074904
1.5469,0.0081682
1.5703,0.0019117
1.5938,0.062391
1.6172,0.00069517
1.6406,-0.0069517
1.6641,0.077859
1.6875,0.023809
1.7109,-0.010775
1.7344,0.056308
1.7578,0.0066041
1.7812,-0.015641
1.8047,0.078032
1.8281,0.0043448
1.8516,-0.018943
1.875,0.05544
1.8984,0.053875
1.9219,-0.014946
1.9453,0.039277
1.9688,0.047619
1.9922,-0.023636
2.0156,0.037191
2.0391,0.055092
2.0625,-0.028849
2.0859,0.038234
2.1094,0.042753
2.1328,-0.016684
2.1562,0.030587
2.1797,0.073514
2.2031,-0.003302
2.2266,0.017901
2.25,0.050226
2.2734,-0.039103
2.2969,-0.0029545
2.3203,0.063955
2.3438,-0.027111
2.3672,-0.010775
2.3906,0.086896
2.4141,-0.012165
2.4375,0.00052137
2.4609,0.046576
2.4844,0.014772
2.5078,-0.0052137
2.5312,0.055613
2.5547,-0.0064303
2.5781,-0.0039972
2.6016,0.056656
2.625,0.0093847
2.6484,-0.032151
2.6719,0.050573
2.6953,0.018769
2.7188,-0.024852
2.7422,0.037365
2.7656,-0.011296
2.7891,-0.027807
2.8125,0.036322
2.8359,0.063781
2.8594,-0.026938
2.8828,0.01512
2.9062,0.025547
2.9297,0.014077
2.9531,0.011644
2.9766,0.021898
3,0.012687
3.0234,0.020855
3.0469,0.05961
3.0703,0.010254
3.0938,0.072123
3.1172,0.17362
3.1406,0.13625
3.1641,0.183
3.1875,0.27511
3.2109,0.26521
3.2344,0.34984
3.2578,0.43639
3.2812,0.41606
3.3047,0.46802
3.3281,0.57108
3.3516,0.59141
3.375,0.62495
3.3984,0.73323
3.4219,0.74452
3.4453,0.75408
3.4688,0.88686
3.4922,0.93917
3.5156,0.91432
3.5391,1.0813
3.5625,1.121
3.5859,1.121
3.6094,1.2807
3.6328,1.3368
3.6562,1.3919
3.6797,1.5539
