Time (ms),A2-A3 (V)
0,4.0547
0.023438,3.9821
0.046875,4.0212
0.070312,4.0043
0.09375,3.858
0.11719,3.8556
0.14062,3.8542
0.16406,3.7485
0.1875,3.7247
0.21094,3.7421
0.23438,3.6404
0.25781,3.6642
0.28125,3.6526
0.30469,3.5759
0.32812,3.5415
0.35156,3.5931
0.375,3.4871
0.39844,3.5294
0.42188,3.5533
0.44531,3.4927
0.46875,3.4685
0.49219,3.5323
0.51562,3.5066
0.53906,3.4704
0.5625,3.5525
0.58594,3.444
0.60938,3.4593
0.63281,3.5186
0.65625,3.5028
0.67969,3.4207
0.70312,3.5009
0.72656,3.448
0.75,3.4541
0.77344,3.5057
0.79688,3.5229
0.82031,3.4426
0.84375,3.4889
0.86719,3.4925
0.89062,3.4843
0.91406,3.447
0.9375,3.4936
0.96094,3.4423
0.98438,3.4538
1.0078,3.5155
1.0312,3.4593
1.0547,3.3983
1.0781,3.5069
1.1016,3.4642
1.125,3.426
1.1484,3.4805
1.1719,3.4432
1.1953,3.4237
1.2188,3.4784
1.2422,3.4261
1.2656,3.4037
1.2891,3.4454
1.3125,3.4708
1.3359,3.3844
1.3594,3.475
1.3828,3.3964
1.4062,3.4039
1.4297,3.4379
1.4531,3.4849
1.4766,3.4096
1.5,3.4411
1.5234,3.4663
1.5469,3.4275
1.5703,3.402
1.5938,3.4871
1.6172,3.3966
1.6406,3.4105
1.6641,3.4743
1.6875,3.3886
1.7109,3.4419
1.7344,3.4572
1.7578,3.4331
1.7812,3.4061
1.8047,3.4704
1.8281,3.3879
1.8516,3.4072
1.875,3.5042
1.8984,3.4025
1.9219,3.3905
1.9453,3.4562
1.9688,3.4416
1.9922,3.3766
2.0156,3.4273
2.0391,3.4214
2.0625,3.3815
2.0859,3.426
2.1094,3.4593
2.1328,3.366
2.1562,3.4645
2.1797,3.4598
2.2031,3.3658
2.2266,3.4649
2.25,3.4346
2.2734,3.419
2.2969,3.4027
2.3203,3.4551
2.3438,3.4058
