Time (ms),A2-A3 (V)
0,0.32395
0.023438,0.37678
0.046875,0.31439
0.070312,0.35645
0.09375,0.33351
0.11719,0.26451
0.14062,0.27164
0.16406,0.25582
0.1875,0.19777
0.21094,0.21846
0.23438,0.21568
0.25781,0.13851
0.28125,0.16389
0.30469,0.18787
0.32812,0.10132
0.35156,0.08203
0.375,0.13226
0.39844,0.021898
0.42188,0.030587
0.44531,0.076468
0.46875,0.023114
0.49219,-0.0039972
0.51562,0.039277
0.53906,0.011644
0.5625,-0.02155
0.58594,0.028154
0.60938,0.042753
0.63281,-0.028154
0.65625,0.025895
0.67969,0.024852
0.70312,-0.043622
0.72656,0.064824
0.75,0.028502
0.77344,-0.080118
0.79688,0.00504
0.82031,0.037713
0.84375,-0.041015
0.86719,0.015815
0.89062,0.027807
0.91406,-0.018596
0.9375,-0.0012165
0.96094,0.034585
0.98438,-0.012165
1.0078,0.024331
1.0312,0.052659
1.0547,-0.047445
1.0781,-0.0067779
1.1016,0.047098
1.125,-0.03806
1.1484,-0.017553
1.1719,0.053354
1.1953,-0.027459
1.2188,-0.025026
1.2422,0.012165
1.2656,0.028154
1.2891,-0.028849
1.3125,0.042231
1.3359,-0.016336
1.3594,-0.029545
1.3828,0.031282
1.4062,-0.0093847
1.4297,-0.024505
1.4531,0.048662
1.4766,0.011818
1.5,-0.037365
1.5234,0.060827
1.5469,0.023636
1.5703,-0.030935
1.5938,0.023636
1.6172,0.023462
1.6406,-0.032847
1.6641,-0.00086896
1.6875,0.029371
1.7109,0.018769
1.7344,-0.0022593
1.7578,0.042579
1.7812,-0.02016
1.8047,-0.012339
1.8281,0.047445
1.8516,-0.02155
1.875,-0.039972
1.8984,0.036844
1.9219,-0.019986
1.9453,-0.017553
1.9688,0.031282
1.9922,0.019291
2.0156,-0.034063
2.0391,0.010775
2.0625,-0.02016
2.0859,-0.036844
2.1094,0.04171
2.1328,0.022419
2.1562,-0.041884
2.1797,0.04032
2.2031,0.0013903
2.2266,-0.055092
2.25,0.024678
2.2734,0.010949
2.2969,-0.031282
2.3203,0.01512
2.3438,0.026938
2.3672,-0.028676
2.3906,0.022419
2.4141,0.029545
2.4375,-0.010601
2.4609,0.003302
2.4844,0.04032
2.5078,-0.031804
2.5312,-0.0057351
2.5547,0.036844
2.5781,-0.066041
2.6016,-0.0060827
2.625,0.045186
2.6484,-0.027807
2.6719,-0.0069517
2.6953,0.051095
2.7188,-0.015294
2.7422,0.01651
2.7656,0.051269
2.7891,-0.0064303
2.8125,-0.015641
2.8359,0.036149
2.8594,0.0010427
2.8828,-0.03302
2.9062,0.037018
2.9297,0.029718
2.9531,-0.044317
2.9766,0.037018
3,-0.01373
3.0234,-0.042405
3.0469,0.042231
3.0703,0.034237
3.0938,-0.0059089
3.1172,0.016336
3.1406,0.020855
3.1641,-0.022245
3.1875,-0.0093847
3.2109,0.027459
3.2344,0.0055613
3.2578,0.0015641
3.2812,0.042058
3.3047,-0.019638
3.3281,-0.01008
3.3516,0.036322
3.375,-0.012513
3.3984,-0.074209
3.4219,0.046924
3.4453,-0.018248
3.4688,-0.024852
3.4922,0.032325
3.5156,-0.023636
3.5391,-0.037887
3.5625,0.029545
3.5859,0.032151
3.6094,-0.047445
3.6328,0.013903
3.6562,0.0022593
3.6797,-0.034063
3.7031,0.041189
3.7266,-0.017032
3.75,-0.041015
3.7734,0.00034758
3.7969,0.035106
3.8203,-0.032673
3.8438,0.026764
3.8672,0.03163
3.8906,-0.047793
3.9141,-0.0022593
3.9375,0.059784
3.9609,0.00034758
3.9844,0.0067779
4.0078,0.044664
4.0312,-0.0079944
4.0547,-0.0090372
4.0781,0.057351
4.1016,-0.020681
4.125,-0.02155
4.1484,0.051095
4.1719,-0.0055613
4.1953,-0.046402
4.2188,0.049357
4.2422,0.003302
4.2656,-0.031804
4.2891,0.052833
4.3125,-0.017379
4.3359,-0.028502
4.3594,0.084984
4.3828,0.0095585
4.4062,-0.031109
4.4297,0.047271
4.4531,0.023983
4.4766,-0.026938
4.5,0.039624
4.5234,0.020507
4.5469,-0.036149
4.5703,0.028849
4.5938,0.025026
4.6172,0.082725
4.6406,0.2447
4.6641,0.33229
4.6875,0.3024
4.7109,0.30987
4.7344,0.37504
4.7578,0.30848
4.7812,0.35453
4.8047,0.39433
4.8281,0.32916
4.8516,0.35818
4.875,0.3926
4.8984,0.35575
4.9219,0.42475
4.9453,0.49218
4.9688,0.44699
4.9922,0.51686
5.0156,0.56274
5.0391,0.53371
5.0625,0.55179
5.0859,0.57282
5.1094,0.54953
5.1328,0.52798
5.1562,0.58689
5.1797,0.55057
5.2031,0.50191
5.2266,0.5683
5.25,0.5245
5.2734,0.50087
5.2969,0.53215
5.3203,0.54188
5.3438,0.50591
5.3672,0.54119
5.3906,0.55544
5.4141,0.48679
5.4375,0.51564
5.4609,0.54883
5.4844,0.51825
5.5078,0.50434
5.5312,0.55127
5.5547,0.47115
5.5781,0.504
5.6016,0.56135
5.625,0.48592
5.6484,0.43848
5.6719,0.56065
5.6953,0.51269
5.7188,0.49739
5.7422,0.54657
5.7656,0.49722
5.7891,0.48905
5.8125,0.54119
5.8359,0.50956
5.8594,0.49322
5.8828,0.54744
5.9062,0.51216
5.9297,0.44021
5.9531,0.54727
5.9766,0.51477
6,0.45394
6.0234,0.55214
6.0469,0.53476
6.0703,0.49235
6.0938,0.55283
6.1172,0.55266
6.1406,0.47845
6.1641,0.53493
6.1875,0.57751
6.2109,0.46924
6.2344,0.51216
6.2578,0.55631
6.2812,0.48349
6.3047,0.52468
6.3281,0.58133
6.3516,0.46594
6.375,0.52659
6.3984,0.57455
6.4219,0.50625
6.4453,0.48731
6.4688,0.56117
6.4922,0.48488
6.5156,0.50886
6.5391,0.57994
6.5625,0.50608
6.5859,0.51164
6.6094,0.58012
6.6328,0.51998
6.6562,0.48992
6.6797,1.0341
6.7031,1.2616
6.7266,1.4008
6.75,1.5301
6.7734,1.4538
6.7969,1.3922
6.8203,1.3985
6.8438,1.2878
6.8672,1.1489
6.8906,1.1323
6.9141,1.0999
6.9375,0.95655
6.9609,0.93535
6.9844,0.91345
7.0078,0.79961
7.0312,0.81578
7.0547,0.79944
7.0781,0.69795
7.1016,0.67049
7.125,0.70333
7.1484,0.63816
7.1719,0.64494
7.1953,0.66319
7.2188,0.58724
7.2422,0.60219
7.2656,0.60931
7.2891,0.58203
7.3125,0.56117
7.3359,0.62183
7.3594,0.54084
7.3828,0.53945
7.4062,0.6001
7.4297,0.57664
7.4531,0.50191
7.4766,0.56726
7.5,0.53788
7.5234,0.48314
7.5469,0.53076
7.5703,0.49757
7.5938,0.42735
7.6172,0.47549
7.6406,0.45412
7.6641,0.33385
7.6875,0.39451
7.7109,0.32812
7.7344,0.27251
7.7578,0.29701
7.7812,0.25095
7.8047,0.16267
7.8281,0.17744
7.8516,0.18022
7.875,0.070212
7.8984,0.075599
7.9219,0.086548
7.9453,0.053354
7.9688,0.026938
7.9922,0.072123
8.0156,0.011296
8.0391,0.0036496
8.0625,0.052485
8.0859,-0.028328
8.1094,-0.03528
8.1328,0.058742
8.1562,-0.013903
8.1797,-0.009211
8.2031,0.04171
8.2266,-0.015467
8.25,-0.025895
8.2734,0.040667
8.2969,-0.019638
8.3203,-0.01373
8.3438,0.071081
8.3672,-0.0027807
8.3906,-0.030935
8.4141,0.034932
8.4375,0.011296
8.4609,-0.036844
8.4844,0.065867
8.5078,0.023636
8.5312,-0.039277
8.5547,0.028154
8.5781,0.040493
8.6016,-0.047271
8.625,0.024331
8.6484,0.0086896
8.6719,0.0022593
8.6953,0.023809
8.7188,0.043969
8.7422,-0.022245
8.7656,0.008342
8.7891,0.03302
8.8125,-0.063434
8.8359,-0.0055613
8.8594,0.058394
8.8828,-0.031804
8.9062,-0.0069517
8.9297,0.037365
8.9531,-0.016858
8.9766,0
9,0.040146
9.0234,-0.024505
9.0469,-0.0038234
9.0703,0.03667
9.0938,0.0090372
9.1172,-0.023114
9.1406,0.050052
9.1641,-0.017727
9.1875,-0.026416
9.2109,0.051269
9.2344,0.029197
9.2578,-0.029545
9.2812,0.034237
9.3047,-0.0060827
9.3281,-0.060653
9.3516,0.014598
9.375,0.0015641
9.3984,-0.019291
9.4219,0.0039972
9.4453,0.044491
9.4688,-0.023983
9.4922,-0.010254
9.5156,0.031109
9.5391,0.0027807
9.5625,-0.0055613
9.5859,0.05179
9.6094,-0.033368
9.6328,-0.013208
9.6562,0.039451
9.6797,-0.024331
9.7031,-0.013034
9.7266,0.039972
9.75,-0.017901
9.7734,-0.0022593
9.7969,0.012687
9.8203,-0.026764
9.8438,0.0027807
9.8672,0.039798
9.8906,0.019986
9.9141,-0.051095
9.9375,0.047966
9.9609,0.0072992
9.9844,-0.032673
10.008,0.11575
10.031,0.016336
10.055,-0.038929
10.078,0.025721
10.102,0.011818
10.125,-0.022767
10.148,0.041362
10.172,-0.0095585
10.195,-0.018422
10.219,0.0060827
10.242,0.064303
10.266,-0.03667
10.289,0.015294
10.312,0.0020855
10.336,-0.035627
10.359,0.0036496
10.383,0.043448
10.406,-0.0090372
10.43,0.02294
10.453,0.067084
10.477,-0.040667
10.5,-0.008342
10.523,0.067779
10.547,-0.0067779
10.57,-0.014251
10.594,0.056135
10.617,-0.012165
10.641,-0.0093847
10.664,0.051095
10.688,-0.016163
10.711,-0.052137
10.734,0.090198
10.758,-0.011818
10.781,-0.049878
10.805,0.07699
10.828,-0.00017379
10.852,-0.038929
10.875,0.029718
10.898,0.022767
10.922,-0.045533
10.945,0.04171
10.969,0.0052137
10.992,-0.033194
11.016,0.015989
11.039,0.029371
11.062,-0.038756
