Time (ms),A2-A3 (V)
0,0.018209
0.023539,-0.022111
0.047078,-0.013074
0.070617,0.019773
0.094156,-0.0064695
0.11769,-0.00056056
0.14123,0.024292
0.16477,-0.021937
0.18831,-3.9182e-05
0.21185,0.082164
0.23539,-0.017071
0.25893,-0.048353
0.28247,0.025334
0.30601,-0.030105
0.32955,-0.0040364
0.35308,0.041671
0.37662,-0.0042102
0.40016,0.026377
0.4237,0.035241
0.44724,-0.0036888
0.47078,-0.0082074
0.49432,0.034545
0.51786,0.021337
0.5414,-0.014638
0.56494,0.043061
0.58847,0.023596
0.61201,-3.9182e-05
0.63555,0.014038
0.65909,0.033329
0.68263,-0.038447
0.70617,0.028984
0.72971,0.036805
0.75325,-0.0082074
0.77679,0.021163
0.80032,0.038716
0.82386,-0.01794
0.8474,0.0037842
0.87094,0.029853
0.89448,-0.0066433
0.91802,0.003958
0.94156,0.055227
0.9651,-0.0010819
0.98864,0.0032629
1.0122,0.044104
1.0357,-0.013769
1.0593,-0.0057743
1.0828,0.046537
1.1063,0.0003084
1.1299,-0.017245
1.1534,0.037326
1.1769,-0.013074
1.2005,-0.0050791
1.224,0.067218
1.2476,0.0010036
1.2711,-0.046789
1.2946,0.030374
1.3182,0.011605
1.3417,-0.029584
1.3653,0.054184
1.3888,0.016992
1.4123,-0.024891
1.4359,0.041671
1.4594,0.014559
1.483,-0.037231
1.5065,0.04532
1.53,-0.015854
1.5536,-0.023153
1.5771,0.032634
1.6006,0.036457
1.6242,-0.021763
1.6477,0.015081
1.6713,0.04532
1.6948,-0.0040364
1.7183,0.01873
1.7419,0.056964
1.7654,-0.014811
1.789,-0.0029936
1.8125,0.058876
1.836,-0.01794
1.8596,0.0023939
1.8831,0.051751
1.9067,-0.014985
1.9302,-0.00090814
1.9537,0.062004
1.9773,-0.014811
2.0008,0.021163
2.0244,0.062352
2.0479,-0.022458
2.0714,0.004827
2.095,0.049491
2.1185,-0.020025
2.142,-0.01568
2.1656,0.057486
2.1891,0.073822
2.2127,0.024292
2.2362,0.11588
2.2597,0.051751
2.2833,-0.011509
2.3068,0.060093
2.3304,0.023249
2.3539,-0.0019509
2.3774,0.055574
2.401,0.0055221
2.4245,-0.031669
2.4481,0.047232
2.4716,0.044104
2.4951,-0.031148
2.5187,0.046537
2.5422,0.031417
2.5657,-0.013595
2.5893,0.027072
2.6128,0.04028
2.6364,0.020468
2.6599,-0.024544
2.6834,0.050708
2.707,-0.013074
2.7305,0.02099
2.7541,0.05262
2.7776,-0.019156
2.8011,0.011605
2.8247,0.044799
2.8482,-0.010988
2.8718,-0.058433
2.8953,0.060093
2.9188,-0.016028
2.9424,0.010388
2.9659,0.053662
2.9894,-0.0038626
3.013,-0.0099453
3.0365,0.023423
3.0601,-0.0087288
3.0836,-0.018809
3.1071,0.053662
3.1307,0.015254
3.1542,-0.030626
3.1778,0.017688
3.2013,0.02238
3.2248,-0.038795
3.2484,0.07921
3.2719,0.0375
3.2955,-0.021416
3.319,0.046885
3.3425,0.024465
3.3661,-0.029931
3.3896,0.029853
3.4131,0.031243
3.4367,-0.010293
3.4602,0.018383
3.4838,0.058876
3.5073,-0.027672
3.5308,-0.0031674
3.5544,0.046016
3.5779,0.0046532
3.6015,0.014038
3.625,0.052272
3.6485,-0.033233
3.6721,0.0058697
3.6956,0.05262
3.7192,-0.011509
3.7427,0.00048219
3.7662,0.071911
3.7898,-0.0083812
3.8133,-0.01933
3.8369,0.063916
3.8604,-0.029062
3.8839,-0.021242
3.9075,0.044451
3.931,0.0070863
3.9545,-0.008555
3.9781,0.063395
4.0016,0.025161
4.0252,-0.024544
4.0487,0.062526
4.0722,-0.015333
4.0958,-0.021242
4.1193,0.053662
4.1429,0.030896
4.1664,-0.033755
4.1899,0.032112
4.2135,0.023075
4.237,-0.032538
4.2606,0.012821
4.2841,0.040628
4.3076,-0.031148
4.3312,0.027072
4.3547,0.050013
4.3782,-0.024196
4.4018,0.011257
4.4253,0.043756
4.4489,-0.024022
4.4724,-0.0042102
4.4959,0.038021
4.5195,-0.041228
4.543,0.0034366
4.5666,0.055922
4.5901,-0.021937
4.6136,-0.00056056
4.6372,0.054705
4.6607,-0.01933
4.6843,-0.043661
4.7078,0.059224
4.7313,-0.012378
4.7549,-0.017245
4.7784,0.063916
4.8019,-0.010119
4.8255,-0.013943
4.849,0.044973
4.8726,0.014733
4.8961,-0.0029936
4.9196,0.077819
4.9432,0.014907
4.9667,-0.029584
4.9903,0.025334
5.0138,0.015776
5.0373,-0.043661
5.0609,0.051056
5.0844,-0.024544
5.108,-0.036188
5.1315,0.042192
5.155,0.035936
5.1786,-0.021416
5.2021,0.030201
5.2256,0.032286
5.2492,-0.037404
5.2727,0.023423
5.2963,0.032807
5.3198,-0.011336
5.3433,-0.00021297
5.3669,0.064611
5.3904,-0.0036888
5.414,0.00082978
5.4375,0.050708
5.461,-0.027498
5.4846,-0.0026461
5.5081,0.072258
5.5317,-0.027151
5.5552,-0.037752
5.5787,0.067392
5.6023,-0.018461
5.6258,0.036283
5.6494,0.037152
5.6729,-0.018982
5.6964,-0.0094239
5.72,0.04532
5.7435,0.012995
5.767,-0.0057743
5.7906,0.096415
5.8141,0.04393
5.8377,-0.025934
5.8612,0.058007
5.8847,0.034198
5.9083,-0.032712
5.9318,0.039238
5.9554,-0.034797
5.9789,-0.035319
6.0024,0.024813
6.026,0.028463
6.0495,-0.0075122
6.0731,0.036978
6.0966,0.034719
6.1201,-0.022284
6.1437,-0.0052529
6.1672,0.03246
6.1907,-0.019156
6.2143,0.033676
6.2378,0.052272
6.2614,-0.0064695
6.2849,0.016819
6.3084,0.040628
6.332,-0.027846
6.3555,0.01595
6.3791,0.040802
6.4026,-0.027672
6.4261,-0.041749
6.4497,0.044625
6.4732,-0.028193
6.4968,0.0015249
6.5203,0.056964
6.5438,-0.0083812
6.5674,0.0027415
6.5909,0.036978
6.6144,0.013864
6.638,-0.0062957
6.6615,0.053315
6.6851,-0.016376
6.7086,-0.014638
6.7321,0.071389
6.7557,0.008129
6.7792,-0.0090763
6.8028,0.024292
6.8263,0.033329
6.8498,-0.030626
6.8734,0.039411
6.8969,0.019078
6.9205,-0.040185
6.944,0.071737
6.9675,0.051577
6.9911,-0.018809
7.0146,0.026203
7.0381,0.025856
7.0617,-0.028715
7.0852,0.021859
7.1088,0.036283
7.1323,-0.012378
7.1558,0.017688
7.1794,0.028289
7.2029,-0.040359
7.2265,0.022554
7.25,0.038716
7.2735,-0.026455
7.2971,0.019773
7.3206,0.054531
7.3442,-0.017245
7.3677,-3.9182e-05
7.3912,0.051056
7.4148,-0.0056005
7.4383,0.022032
7.4619,0.045842
7.4854,0.0056959
7.5089,-0.0052529
7.5325,0.048449
7.556,-0.0099453
7.5795,-0.016376
7.6031,-0.036709
7.6266,-0.13021
7.6502,-0.17522
7.6737,-0.13942
7.6972,-0.19138
7.7208,-0.2503
7.7443,-0.15993
7.7679,-0.18061
7.7914,-0.21502
7.8149,-0.11353
7.8385,-0.15888
7.862,-0.18061
7.8856,-0.14429
7.9091,-0.13299
7.9326,-0.15558
7.9562,-0.10171
7.9797,-0.098231
8.0032,-0.12708
8.0268,-0.10379
8.0503,-0.09267
8.0739,-0.10049
8.0974,-0.084502
8.1209,-0.050265
8.1445,-0.1031
8.168,-0.084676
8.1916,-0.040185
8.2151,-0.1057
8.2386,-0.094408
8.2622,-0.026108
8.2857,-0.075639
8.3093,-0.071294
8.3328,-0.015333
8.3563,-0.033755
8.3799,-0.073379
8.4034,-0.032017
8.4269,-0.023327
8.4505,-0.065559
8.474,-0.022284
8.4976,-0.032364
8.5211,-0.053219
8.5446,-0.023675
8.5682,-0.041923
8.5917,-0.070077
8.6153,0.00013461
8.6388,-0.01794
8.6623,-0.052003
8.6859,-0.0033412
8.7094,-0.007686
8.733,-0.052177
8.7565,-0.016549
8.78,-0.0087288
8.8036,-0.048179
8.8271,-0.0073384
8.8506,0.0030891
8.8742,-0.021589
8.8977,-0.026803
8.9213,0.011083
8.9448,-0.0066433
8.9683,-0.0097715
