Time (ms),A2-A3 (V)
0,0.014559
0.023539,-0.0099453
0.047078,0.047406
0.070617,0.0086504
0.094156,-0.018287
0.11769,0.071563
0.14123,0.0065649
0.16477,-0.025239
0.18831,0.054879
0.21185,0.0062173
0.23539,-0.014985
0.25893,0.035241
0.28247,0.015428
0.30601,-0.037231
0.32955,0.00082978
0.35308,0.025682
0.37662,-0.019504
0.40016,0.011083
0.4237,0.042018
0.44724,-0.012552
0.47078,0.015776
0.49432,0.032981
0.51786,0.016992
0.5414,0.014907
0.56494,0.05766
0.58847,-0.017418
0.61201,0.031591
0.63555,0.053836
0.65909,-0.013769
0.68263,0.0013512
0.70617,0.051056
0.72971,-0.021416
0.75325,0.0095194
0.77679,0.045494
0.80032,0.003958
0.82386,0.010215
0.8474,0.063047
0.87094,-0.0047316
0.89448,-0.017592
0.91802,0.037847
0.94156,0.027072
0.9651,-0.039837
0.98864,0.040628
1.0122,0.0084766
1.0357,0.019078
1.0593,0.054358
1.0828,0.037326
1.1063,-0.018461
1.1299,0.022554
1.1534,0.064959
1.1769,-0.025065
1.2005,0.017166
1.224,0.011083
1.2476,0.024118
1.2711,0.011257
1.2946,0.048796
1.3182,-0.025065
1.3417,0.0056959
1.3653,0.043061
1.3888,-0.0033412
1.4123,-0.0087288
1.4359,0.059745
1.4594,-0.013074
1.483,0.0018725
1.5065,0.053662
1.53,-0.018809
1.5536,0.0069125
1.5771,0.061657
1.6006,0.01595
1.6242,-0.015854
1.6477,0.029679
1.6713,0.010215
1.6948,-0.023501
1.7183,0.027072
1.7419,0.032634
1.7654,-0.018982
1.789,0.049665
1.8125,-0.0129
1.836,-0.0097715
1.8596,0.012648
1.8831,0.032981
1.9067,-0.023675
1.9302,0.0063911
1.9537,0.029158
1.9773,-0.016723
2.0008,-0.0036888
2.0244,0.044451
2.0479,-0.011509
2.0714,0.012995
2.095,0.040628
2.1185,-0.021068
2.142,0.013169
2.1656,0.057833
2.1891,-0.018982
2.2127,-0.0033412
2.2362,0.056964
2.2597,-0.0078598
2.2833,-0.021242
2.3068,0.033329
2.3304,-0.0099453
2.3539,0.0032629
2.3774,0.035241
2.401,0.0095194
2.4245,-0.031322
2.4481,0.056964
2.4716,0.014212
2.4951,-0.022458
2.5187,0.030548
2.5422,0.030548
2.5657,-0.0089026
2.5893,0.036631
2.6128,0.024639
2.6364,-0.021937
2.6599,0.010736
2.6834,0.029679
2.707,-0.016202
2.7305,0.017861
2.7541,0.046363
2.7776,-0.019678
2.8011,0.003958
2.8247,0.033155
2.8482,0.020294
2.8718,-0.0022985
2.8953,0.050708
2.9188,-0.023675
2.9424,-0.022632
2.9659,0.046885
2.9894,0.014038
3.013,-0.052872
3.0365,0.054531
3.0601,-0.014638
3.0836,0.00048219
3.1071,0.035588
3.1307,-3.9182e-05
3.1542,-0.024196
3.1778,0.031243
3.2013,0.029853
3.2248,-0.01794
3.2484,0.06913
3.2719,0.028984
3.2955,-0.014116
3.319,0.043409
3.3425,0.0043056
3.3661,-0.028889
3.3896,0.060788
3.4131,0.0067387
3.4367,-0.011336
3.4602,0.040802
3.4838,0.026203
3.5073,-0.020894
3.5308,0.025334
3.5544,0.040802
3.5779,-0.011509
3.6015,0.019078
3.625,0.042887
3.6485,0.0046532
3.6721,-0.0061219
3.6956,0.037674
3.7192,-0.058259
3.7427,0.0098669
3.7662,0.054358
3.7898,-0.017766
3.8133,-0.0054267
3.8369,0.050708
3.8604,-0.017592
3.8839,0.0050008
3.9075,0.077124
3.931,-0.014638
3.9545,-0.01568
3.9781,-0.1462
4.0016,-0.85683
4.0252,-1.4472
4.0487,-1.7953
4.0722,-2.1252
4.0958,-2.3396
4.1193,-2.3103
4.1429,-2.4168
4.1664,-2.4781
4.1899,-2.3853
4.2135,-2.361
4.237,-2.3773
4.2606,-2.2188
4.2841,-2.1935
4.3076,-2.1978
4.3312,-2.0815
4.3547,-2.0012
4.3782,-1.9856
4.4018,-1.8848
4.4253,-1.8125
4.4489,-1.8009
4.4724,-1.7124
4.4959,-1.6573
4.5195,-1.6547
4.543,-1.5742
4.5666,-1.483
4.5901,-1.5148
4.6136,-1.4385
4.6372,-1.3156
