Time (ms),A2-A3 (V)
0,0.045494
0.023539,-0.010814
0.047078,0.039759
0.070617,0.0020463
0.094156,0.01873
0.11769,0.056095
0.14123,-0.028541
0.16477,-0.0056005
0.18831,0.058876
0.21185,-0.0075122
0.23539,-0.038968
0.25893,0.055748
0.28247,-0.012726
0.30601,0.0063911
0.32955,0.054184
0.35308,0.021511
0.37662,-0.022806
0.40016,0.050187
0.4237,-0.00090814
0.44724,-0.019678
0.47078,0.081643
0.49432,-0.00021297
0.51786,-0.02941
0.5414,0.04254
0.56494,0.020816
0.58847,-0.015854
0.61201,0.058529
0.63555,-0.016202
0.65909,-0.021416
0.68263,0.035936
0.70617,0.050187
0.72971,-0.018461
0.75325,0.030027
0.77679,0.05401
0.80032,-0.023675
0.82386,0.022728
0.8474,0.034719
0.87094,-0.020199
0.89448,0.024118
0.91802,0.047753
0.94156,-0.044182
0.9651,0.013343
0.98864,0.045494
1.0122,-0.021589
1.0357,0.025508
1.0593,0.059745
1.0828,-0.02072
1.1063,-0.037231
1.1299,0.060788
1.1534,-0.015333
1.1769,-0.008555
1.2005,0.067913
1.224,0.0060435
1.2476,-0.024544
1.2711,0.096936
1.2946,-0.018982
1.3182,-0.019156
1.3417,0.067218
1.3653,0.016992
1.3888,-0.038795
1.4123,0.04532
1.4359,0.018904
1.4594,-0.042966
1.483,0.044973
1.5065,0.043235
1.53,-0.022458
1.5536,0.063569
1.5771,0.03246
1.6006,-0.026977
1.6242,0.02881
1.6477,0.031417
1.6713,0.0010036
1.6948,0.023075
1.7183,0.055053
1.7419,-0.032364
1.7654,-0.00021297
1.789,0.055053
1.8125,-0.038621
1.836,0.019425
1.8596,0.045842
1.8831,-3.9182e-05
1.9067,-0.0129
1.9302,0.065828
1.9537,-0.014811
1.9773,0.010562
2.0008,0.056269
2.0244,-0.016202
2.0479,-0.011162
2.0714,0.02603
2.095,-0.019678
2.1185,-0.019678
2.142,0.090332
2.1656,0.0041318
2.1891,-0.025587
2.2127,0.037847
2.2362,0.02238
2.2597,-0.026629
2.2833,0.043409
2.3068,-0.028715
2.3304,-0.030974
2.3539,0.047058
2.3774,0.043582
2.401,-0.028715
2.4245,0.02742
2.4481,0.004827
2.4716,-0.019156
2.4951,0.015254
2.5187,0.042018
2.5422,0.019252
2.5657,0.016123
2.5893,0.058876
2.6128,-0.04088
2.6364,0.012126
2.6599,0.050013
2.6834,-0.026282
2.707,-0.0090763
2.7305,0.058355
2.7541,-0.025413
2.7776,-0.0024723
2.8011,0.052098
2.8247,-0.010814
2.8482,-0.024718
2.8718,0.058529
2.8953,-0.025934
2.9188,-0.0033412
2.9424,0.09068
2.9659,0.026203
2.9894,-0.024022
3.013,0.038543
3.0365,0.0041318
3.0601,0.013343
3.0836,0.055053
3.1071,0.033155
3.1307,-0.010467
3.1542,0.048796
3.1778,0.03107
3.2013,-0.0068171
3.2248,0.033155
3.2484,0.035241
3.2719,-0.023153
3.2955,0.0055221
3.319,0.021163
3.3425,-0.0022985
3.3661,0.020294
3.3896,0.044451
3.4131,-0.021937
3.4367,0.021859
3.4602,0.016123
3.4838,-0.018982
3.5073,0.0037842
3.5308,0.064959
3.5544,-0.003515
3.5779,-0.0071646
3.6015,0.046363
3.625,-0.0089026
3.6485,-0.0094239
3.6721,0.063221
3.6956,0.0023939
3.7192,-0.018635
3.7427,0.040454
3.7662,0.012995
3.7898,-0.01064
3.8133,0.058529
3.8369,0.028289
3.8604,-0.019851
3.8839,0.043756
3.9075,0.025682
3.931,0.016471
3.9545,0.015428
3.9781,0.041497
4.0016,-0.0054267
4.0252,0.037152
4.0487,0.033155
4.0722,-0.0099453
4.0958,0.024813
4.1193,0.035241
4.1429,-0.01568
4.1664,0.011257
4.1899,0.028463
4.2135,-0.043487
4.237,-0.012378
4.2606,0.029505
4.2841,-0.018635
4.3076,0.011257
4.3312,0.050013
4.3547,0.00013461
4.3782,-0.0029936
4.4018,0.037847
4.4253,0.0063911
4.4489,-0.01064
4.4724,0.053662
4.4959,-0.0073384
4.5195,-0.016028
4.543,0.047232
4.5666,0.023596
4.5901,-0.015507
4.6136,0.036109
4.6372,0.0056959
4.6607,-0.017592
4.6843,0.016645
4.7078,0.024639
4.7313,-0.011683
4.7549,0.033155
4.7784,0.038369
4.8019,-0.0080336
4.8255,0.042192
4.849,0.033503
4.8726,-0.019851
4.8961,0.016123
4.9196,0.04897
4.9432,0.014212
4.9667,0.008129
4.9903,0.0375
5.0138,-0.012205
5.0373,0.004827
5.0609,0.056443
5.0844,0.0060435
5.108,-0.0036888
5.1315,0.051056
5.155,-0.011683
5.1786,0.0020463
5.2021,0.039238
5.2256,-0.026803
5.2492,-0.00090814
5.2727,0.04897
5.2963,0.021685
5.3198,-0.018809
5.3433,0.035588
5.3669,0.0055221
5.3904,-0.022806
5.414,0.031591
5.4375,0.014038
5.461,-0.025587
5.4846,0.051924
5.5081,-0.016897
5.5317,-0.013595
5.5552,0.015776
5.5787,0.021859
5.6023,-0.022806
5.6258,0.010736
5.6494,0.042192
5.6729,-0.0097715
5.6964,-0.0075122
5.72,0.038021
5.7435,-0.0061219
5.767,0.015776
5.7906,0.052098
5.8141,0.015602
5.8377,0.020816
5.8612,0.041671
5.8847,-0.017071
5.9083,0.021859
5.9318,0.038543
5.9554,0.0018725
5.9789,0.019078
6.0024,0.02742
6.026,-0.0062957
6.0495,-0.019678
6.0731,0.085292
6.0966,0.0056959
6.1201,-0.035145
6.1437,0.03107
6.1672,0.016471
6.1907,-0.021416
6.2143,0.020816
6.2378,0.003958
6.2614,-0.03584
6.2849,0.043582
6.3084,0.023075
6.332,-0.019504
6.3555,-0.0082074
6.3791,0.029505
6.4026,-0.0082074
6.4261,0.0058697
6.4497,0.032981
6.4732,0.014733
6.4968,-0.0066433
6.5203,0.0627
6.5438,-0.034276
6.5674,0.026725
6.5909,0.049491
6.6144,-0.013247
6.638,-0.061909
6.6615,0.06044
6.6851,0.0034366
6.7086,-0.013247
6.7321,0.045668
6.7557,0.021511
6.7792,-0.0049053
6.8028,0.046363
6.8263,0.02881
6.8498,-0.0073384
6.8734,0.03385
6.8969,-0.0092501
6.9205,-0.013943
6.944,0.027594
6.9675,0.027767
6.9911,-0.025934
7.0146,0.036631
7.0381,0.019773
7.0617,-0.032538
7.0852,0.060962
7.1088,0.015602
7.1323,-0.026108
7.1558,0.012995
7.1794,0.04532
7.2029,-0.022632
7.2265,0.021859
7.25,0.035067
7.2735,-0.018809
7.2971,0.011431
7.3206,0.05766
7.3442,0.0032629
7.3677,0.004827
7.3912,0.046537
7.4148,-0.021763
7.4383,-0.0016033
7.4619,0.046537
7.4854,-0.020373
7.5089,0.0030891
7.5325,0.057312
7.556,-0.0042102
7.5795,-0.0061219
7.6031,0.076429
7.6266,-0.023501
