Time (ms),A2-A3 (V)
0,0.0024607
0.070455,-0.012655
0.14091,0.018982
0.21136,0.0017576
0.28182,0.0098427
0.35227,0.022146
0.42273,0.013006
0.49318,0.0087881
0.56364,0.0080851
0.63409,-0.0070305
0.70455,0.020388
0.775,0.028473
0.84545,0.011249
0.91591,0.017576
0.98636,0.011952
1.0568,0.02531
1.1273,0.02074
1.1977,0.0084366
1.2682,0.024958
1.3386,-0.0035152
1.4091,0.0116
1.4795,0.02531
1.55,0.0091396
1.6205,0.0070305
1.6909,-0.0028122
1.7614,0.011249
1.8318,0.0087881
1.9023,0.02074
1.9727,-0.0038668
2.0432,0.012303
2.1136,-0.027419
2.1841,0.010194
2.2545,0.030231
2.325,0.025661
2.3955,0.016873
2.4659,-0.00070305
2.5364,0.0094912
2.6068,0.010897
2.6773,0.039722
2.7477,0.0091396
2.8182,-0.041831
2.8886,-0.0070305
2.9591,0.020388
3.0295,0.018631
3.1,0.010194
3.1705,-0.0049213
3.2409,0.0038668
3.3114,-0.0021091
3.3818,0.014413
3.4523,0.042183
3.5227,0.016873
3.5932,0.015467
3.6636,0.014764
3.7341,0.015116
3.8045,0.014061
3.875,0.0045698
3.9455,0.021795
4.0159,0.011952
4.0864,0.0042183
4.1568,0.014413
4.2273,0.0077335
4.2977,0.0021091
4.3682,0.016873
4.4386,0.0098427
4.5091,-0.015819
4.5795,0.028825
4.65,-0.014764
4.7205,-0
4.7909,0.04851
4.8614,0.12514
4.9318,0.084366
5.0023,0.074172
5.0727,0.05765
5.1432,0.033395
5.2136,0.040777
5.2841,0.03691
5.3545,0.014413
5.425,-0.0091396
5.4955,0.019334
5.5659,-0.0059759
5.6364,0.0024607
5.7068,0.0087881
5.7773,0.010546
5.8477,0.019685
5.9182,-0.0049213
5.9886,0.0070305
6.0591,0.0056244
6.1295,0.026364
6.2,0.033746
6.2705,0.026013
6.3409,0.015116
6.4114,0.014764
6.4818,-0.031989
6.5523,-0.019685
6.6227,-0.016522
6.6932,-0.029177
6.7636,0.0028122
6.8341,-0.0087881
6.9045,0.0056244
6.975,-0.0038668
7.0455,0.015467
7.1159,0.023201
7.1864,0.006679
7.2568,0.012303
7.3273,-0.013006
7.3977,0.010194
7.4682,-0.0077335
7.5386,0.0080851
7.6091,0.0035152
7.6795,0.0094912
7.75,-0.011952
7.8205,-0.00035152
7.8909,-0.00035152
7.9614,0.0116
8.0318,0.015467
8.1023,0.015467
8.1727,0.01617
8.2432,0.0063274
8.3136,0.0084366
8.3841,-0.010194
8.4545,-0.0010546
8.525,0.0077335
8.5955,-0.030583
