Time (ms),A2-A3 (V)
0,1.0961
0.068182,1.0064
0.13636,0.84225
0.20455,0.6563
0.27273,0.56033
0.34091,0.4721
0.40909,0.3814
0.47727,0.34766
0.54545,0.31813
0.61364,0.29141
0.68182,0.30301
0.75,0.26927
0.81818,0.2872
0.88636,0.24466
0.95455,0.2306
1.0227,0.23095
1.0909,0.26153
1.1591,0.23763
1.2273,0.22462
1.2955,0.24466
1.3636,0.21267
1.4318,0.12936
1.5,-0.14905
1.5682,-0.19158
1.6364,-0.13393
1.7045,-0.0056244
1.7727,0.060814
1.8409,0.12514
1.9091,0.15186
1.9773,0.16627
2.0455,0.21162
2.1136,0.23974
2.1818,0.22884
2.25,0.20564
2.3182,0.20107
2.3864,0.23658
2.4545,0.24818
2.5227,0.22287
2.5909,0.19158
2.6591,0.25626
2.7273,0.22884
2.7955,0.23447
2.8636,0.22638
2.9318,0.23165
3,0.21478
3.0682,0.27032
3.1364,0.23482
3.2045,0.22744
3.2727,0.23447
3.3409,0.24044
3.4091,0.219
3.4773,0.22181
3.5455,0.20986
3.6136,0.25064
3.6818,0.22462
3.75,0.25802
3.8182,0.21584
3.8864,0.2422
3.9545,0.22427
4.0227,0.22462
4.0909,0.21865
4.1591,0.22181
4.2273,0.25029
4.2955,0.22744
4.3636,0.23201
4.4318,0.20107
4.5,0.22357
4.5682,0.22181
4.6364,0.25556
4.7045,0.24782
4.7727,0.23412
4.8409,0.23271
4.9091,0.22955
4.9773,0.26399
5.0455,0.21232
5.1136,0.22005
5.1818,0.21443
5.25,0.22955
5.3182,0.25204
5.3864,0.23412
5.4545,0.23939
5.5227,0.23939
5.5909,0.24325
5.6591,0.23306
5.7273,0.2081
5.7955,0.24466
5.8636,0.18314
5.9318,0.23728
6,0.19826
6.0682,0.21197
6.1364,0.21548
6.2045,0.20002
6.2727,0.21619
6.3409,0.21091
6.4091,0.23552
6.4773,0.22462
6.5455,0.23658
6.6136,0.21548
6.6818,0.22673
6.75,0.24607
6.8182,0.23376
6.8864,0.2183
6.9545,0.25169
7.0227,0.22919
7.0909,0.21654
7.1591,0.22603
7.2273,0.18455
7.2955,0.22498
7.3636,0.21127
7.4318,0.19791
7.5,0.22111
7.5682,0.22392
7.6364,0.22322
7.7045,0.21795
7.7727,0.20494
7.8409,0.18807
7.9091,0.1965
7.9773,0.19545
8.0455,0.21127
8.1136,0.22322
8.1818,0.22427
8.25,0.18947
8.3182,0.21373
8.3864,0.23517
8.4545,0.17576
8.5227,0.20283
8.5909,0.1965
8.6591,0.24536
8.7273,0.24255
8.7955,0.21091
8.8636,0.23412
8.9318,0.20107
9,0.19721
9.0682,0.22744
9.1364,0.21162
9.2045,0.22498
9.2727,0.1842
9.3409,0.22884
9.4091,0.2074
9.4773,0.21689
9.5455,0.21232
9.6136,0.18912
9.6818,0.24325
9.75,0.21724
9.8182,0.23447
9.8864,0.18666
9.9545,0.20318
10.023,0.20388
10.091,0.22041
10.159,0.19931
10.227,0.1965
10.295,0.23165
10.364,0.20599
10.432,0.18525
10.5,0.21302
10.568,0.23095
10.636,0.19404
10.705,0.22181
10.773,0.2183
10.841,0.20107
10.909,0.2081
10.977,0.16451
11.045,0.24642
11.114,0.22392
11.182,0.19931
11.25,0.20986
11.318,0.19193
11.386,0.21267
11.455,0.19439
11.523,0.20283
11.591,0.21724
11.659,0.22638
11.727,0.2313
11.795,0.18771
11.864,0.41374
11.932,0.98708
12,1.1593
12.068,1.0721
12.136,0.86299
12.205,0.70481
12.273,0.60708
12.341,0.53291
12.409,0.44187
12.477,0.36418
12.545,0.35082
12.614,0.31567
12.682,0.27911
12.75,0.24572
12.818,0.24642
12.886,0.21935
12.955,0.23201
13.023,0.22533
13.091,0.19334
13.159,0.21478
13.227,0.21091
13.295,0.23095
13.364,0.22111
13.432,0.20845
13.5,-0.027067
13.568,-0.20424
13.636,-0.18068
13.705,-0.070656
13.773,0.021443
13.841,0.076632
13.909,0.13217
13.977,0.13709
14.045,0.19404
14.114,0.17717
14.182,0.17787
14.25,0.19439
14.318,0.2067
14.386,0.2415
14.455,0.1842
14.523,0.23201
14.591,0.20529
14.659,0.21759
14.727,0.23939
14.795,0.21935
14.864,0.22708
14.932,0.20107
15,0.21478
15.068,0.22568
15.136,0.24993
15.205,0.23587
15.273,0.22814
15.341,0.219
15.409,0.20916
15.477,0.2306
15.545,0.21162
15.614,0.21373
15.682,0.21654
15.75,0.22814
15.818,0.22708
15.886,0.2067
15.955,0.22041
16.023,0.21091
16.091,0.23201
16.159,0.22076
16.227,0.18982
16.295,0.21935
16.364,0.21232
16.432,0.22427
16.5,0.2306
16.568,0.18912
16.636,0.25099
16.705,0.22638
16.773,0.25029
16.841,0.1958
16.909,0.24255
16.977,0.24396
17.045,0.25732
17.114,0.21338
17.182,0.2661
17.25,0.21654
17.318,0.24993
17.386,0.22498
17.455,0.20705
17.523,0.23271
17.591,0.2415
17.659,0.22849
17.727,0.2429
17.795,0.25239
17.864,0.19615
17.932,0.2074
18,0.20881
18.068,0.20951
18.136,0.23306
18.205,0.22357
18.273,0.22146
18.341,0.18139
18.409,0.24466
18.477,0.24993
18.545,0.21408
18.614,0.25556
18.682,0.23798
18.75,0.2183
18.818,0.20072
18.886,0.2422
18.955,0.22287
19.023,0.2647
19.091,0.23763
19.159,0.22884
19.227,0.2197
19.295,0.21091
19.364,0.23763
19.432,0.21478
19.5,0.22603
19.568,0.23201
19.636,0.2306
19.705,0.21689
19.773,0.25556
19.841,0.2422
19.909,0.22884
19.977,0.24396
20.045,0.23095
20.114,0.22673
20.182,0.28649
20.25,0.23306
20.318,0.22744
20.386,0.2067
20.455,0.22427
20.523,0.26259
20.591,0.22392
20.659,0.219
20.727,0.22779
20.795,0.24501
20.864,0.27946
20.932,0.24185
21,0.21021
21.068,0.24572
21.136,0.22638
21.205,0.22181
21.273,0.23482
21.341,0.21548
21.409,0.23833
21.477,0.21408
21.545,0.21513
21.614,0.23095
21.682,0.23306
21.75,0.25767
21.818,0.23306
21.886,0.24396
21.955,0.22568
22.023,0.25275
22.091,0.23341
22.159,0.25204
22.227,0.23376
22.295,0.2306
22.364,0.21654
22.432,0.22251
22.5,0.23341
22.568,0.23869
22.636,0.2081
22.705,0.24853
22.773,0.21689
22.841,0.22744
22.909,0.24501
22.977,0.22779
23.045,0.22111
23.114,0.23693
23.182,0.21091
23.25,0.21338
23.318,0.21091
23.386,0.24396
23.455,0.20705
23.523,0.22322
23.591,0.19123
23.659,0.23482
23.727,0.21654
23.795,0.19721
23.864,0.27595
23.932,0.80323
24,1.1843
24.068,1.1407
24.136,0.97935
24.205,0.81202
24.273,0.68688
24.341,0.53607
24.409,0.46225
24.477,0.38316
24.545,0.37016
24.614,0.29036
24.682,0.29669
24.75,0.26856
24.818,0.28122
24.886,0.22568
24.955,0.23798
25.023,0.26118
25.091,0.23482
25.159,0.22919
25.227,0.24115
25.295,0.22673
25.364,0.18982
25.432,0.20951
25.5,0.081202
25.568,-0.16486
25.636,-0.21795
25.705,-0.14588
25.773,-0.017225
25.841,0.05308
25.909,0.11776
25.977,0.1392
26.045,0.16662
26.114,0.17154
26.182,0.1958
26.25,0.23201
26.318,0.18736
26.386,0.22673
26.455,0.18666
26.523,0.22146
26.591,0.23165
26.659,0.22779
26.727,0.20107
26.795,0.21302
26.864,0.21935
26.932,0.18139
27,0.22322
27.068,0.21408
27.136,0.19756
27.205,0.21021
27.273,0.20072
27.341,0.20599
27.409,0.21267
27.477,0.19017
27.545,0.21162
27.614,0.20283
27.682,0.21302
27.75,0.19615
27.818,0.23447
27.886,0.19299
27.955,0.21689
28.023,0.19721
28.091,0.21091
28.159,0.19896
28.227,0.21267
28.295,0.22146
28.364,0.19931
28.432,0.22251
28.5,0.21619
28.568,0.20142
28.636,0.21548
28.705,0.22708
28.773,0.19721
28.841,0.19088
28.909,0.20529
28.977,0.18842
29.045,0.22005
29.114,0.20564
29.182,0.22708
29.25,0.21021
29.318,0.20951
29.386,0.23798
29.455,0.21478
29.523,0.19334
29.591,0.19193
29.659,0.23447
29.727,0.22287
29.795,0.20283
29.864,0.2074
29.932,0.22533
