Time (ms),A2-A3 (V)
0,-0.015467
0.070455,-0.0014061
0.14091,-0.00070305
0.21136,0.0010546
0.28182,-0.81026
0.35227,-1.5442
0.42273,-1.7056
0.49318,-1.6768
0.56364,-1.5516
0.63409,-1.4307
0.70455,-1.3252
0.775,-1.1685
0.84545,-1.0809
0.91591,-0.99446
0.98636,-0.93295
1.0568,-0.8303
1.1273,-0.77687
1.1977,-0.67915
1.2682,-0.64575
1.3386,-0.62185
1.4091,-0.58318
1.4795,-0.51569
1.55,-0.51076
1.6205,-0.45417
1.6909,-0.43097
1.7614,-0.41093
1.8318,-0.37508
1.9023,-0.33746
1.9727,-0.35117
2.0432,-0.30899
2.1136,-0.28087
2.1841,-0.27454
2.2545,-0.23376
2.325,-0.22216
2.3955,-0.19404
2.4659,-0.17049
2.5364,-0.15256
2.6068,-0.18807
2.6773,-0.15045
2.7477,-0.16803
2.8182,-0.15116
2.8886,-0.17154
2.9591,-0.14869
3.0295,-0.14448
3.1,-0.12831
3.1705,-0.1262
3.2409,-0.098427
3.3114,-0.10335
3.3818,-0.13006
3.4523,-0.13112
3.5227,-0.086827
3.5932,-0.098075
3.6636,-0.088233
3.7341,-0.070305
3.8045,-0.092802
3.875,-0.084366
3.9455,-0.08753
4.0159,-0.074875
4.0864,-0.052729
4.1568,0.0049213
4.2273,0.3104
4.2977,0.16979
4.3682,0.081905
4.4386,0.029528
4.5091,-0.014764
4.5795,-0.0010546
4.65,-0.028825
4.7205,-0.0080851
4.7909,-0.013358
4.8614,0.03234
4.9318,-0.0038668
5.0023,-0.018279
5.0727,-0.0116
5.1432,-0.012655
5.2136,-0.023552
5.2841,-0.012655
5.3545,-0.020388
5.425,-0.018982
5.4955,-0.017576
5.5659,0.00070305
5.6364,-0.0017576
5.7068,-0.022849
5.7773,-0.0059759
5.8477,-0.018982
5.9182,-0.014764
5.9886,-0
6.0591,0.0031637
6.1295,-0.017576
6.2,-0.0087881
6.2705,-0.0094912
6.3409,-0.0087881
6.4114,0.0038668
6.4818,0.024958
6.5523,-0.0077335
6.6227,0.0031637
6.6932,0.011952
6.7636,-0.014413
6.8341,-0.0035152
6.9045,-0.034098
6.975,-0.012655
7.0455,-0.017225
7.1159,-0.02074
7.1864,0.013006
7.2568,-0.043238
7.3273,0.015116
7.3977,-0.0049213
7.4682,-0.0080851
7.5386,-0.036207
7.6091,-0.0024607
7.6795,0.026364
7.75,-0.017928
7.8205,-0.016873
7.8909,-0.0021091
7.9614,0.0010546
8.0318,-0.032692
8.1023,-0.0014061
8.1727,-0.031286
8.2432,-0.0045698
8.3136,-0.0049213
8.3841,-0.025661
8.4545,0.0028122
8.525,-0.0021091
8.5955,-0.02074
8.6659,-0.0098427
8.7364,-0.031637
8.8068,-0.02531
8.8773,-0.016873
8.9477,-0.0077335
9.0182,-0.0038668
9.0886,-0.031637
9.1591,-0.035504
9.2295,-0.030934
9.3,-0.016522
