Time (ms),A2-A3 (V)
0,-0.52237
0.068259,-0.46015
0.13652,-0.43062
0.20478,-0.41902
0.27304,-0.39265
0.3413,-0.36066
0.40956,-0.34906
0.47782,-0.29563
0.54608,-0.28368
0.61433,-0.22498
0.68259,-0.23552
0.75085,-0.20494
0.81911,-0.18068
0.88737,-0.18279
0.95563,-0.1726
1.0239,-0.18033
1.0922,-0.18701
1.1604,-0.15467
1.2287,-0.13147
1.2969,-0.11776
1.3652,-0.1501
1.4334,-0.13077
1.5017,-0.15713
1.57,-0.10968
1.6382,-0.11038
1.7065,-0.098075
1.7747,-0.10686
1.843,-0.10405
1.9113,-0.10054
1.9795,-0.076984
2.0478,-0.087881
2.116,-0.059408
2.1843,-0.061517
2.2526,-0.092451
2.3208,-0.061868
2.3891,-0.056244
2.4573,-0.038668
2.5256,0.26856
2.5939,0.17752
2.6621,0.04851
2.7304,0.024958
2.7986,-0.0017576
2.8669,-0.012303
2.9352,-0.015467
3.0034,0.00070305
3.0717,0.02074
3.1399,-0.01617
3.2082,-0.014413
3.2765,-0.0024607
3.3447,-0.028473
3.413,-0.0017576
3.4812,-0.016522
3.5495,-0.054135
3.6177,-0.014413
3.686,-0.0038668
3.7543,-0.0045698
3.8225,-0.01617
3.8908,-0.0098427
3.959,-0.011249
4.0273,-0.0021091
4.0956,0.0063274
4.1638,0.0077335
4.2321,-0.032692
4.3003,-0.0035152
4.3686,0.018631
4.4369,-0.03691
4.5051,-0.030231
4.5734,-0.0077335
4.6416,0.0052729
4.7099,-0.021443
4.7782,0.0017576
4.8464,-0.011952
4.9147,-0.017576
4.9829,0.0116
5.0512,-0.028122
5.1195,0.0116
5.1877,-0.036207
5.256,0.006679
5.3242,-0.013709
5.3925,-0.015467
5.4608,-0.026013
5.529,-0.0087881
5.5973,0.00035152
5.6655,0.0052729
5.7338,-0.029177
5.802,-0.016873
5.8703,-0.023552
5.9386,-0.010194
6.0068,-0.012303
6.0751,-0.011952
6.1433,-0.0035152
6.2116,0.0045698
6.2799,0.00070305
6.3481,-0.017225
6.4164,0.0045698
6.4846,-0.017576
6.5529,-0.0098427
6.6212,0.0038668
6.6894,-0.0059759
6.7577,-0.037262
6.8259,-0.0045698
6.8942,-0.0063274
6.9625,-0.0021091
7.0307,-0.022849
7.099,-0.031989
7.1672,0.0094912
7.2355,-0.017576
7.3038,-0.0056244
7.372,0.010897
7.4403,-0.0116
7.5085,-0.019334
7.5768,-0.0084366
7.6451,0.0017576
7.7133,-0.29141
7.7816,-1.2936
