Time (ms),A2-A3 (V)
0,-0.12057
0.068182,-0.040777
0.13636,-0.049565
0.20455,-0.074875
0.27273,-0.053432
0.34091,-0.026716
0.40909,-0.046753
0.47727,-0.039722
0.54545,-0.022849
0.61364,-0.031286
0.68182,-0.014764
0.75,-0.023201
0.81818,-0.023552
0.88636,-0.039371
0.95455,-0.036559
1.0227,-0.018279
1.0909,-0.016873
1.1591,-0.022498
1.2273,-0.012303
1.2955,-0.00070305
1.3636,-0.047104
1.4318,-0.0077335
1.5,-0.018982
1.5682,-0.023904
1.6364,-0.027419
1.7045,-0.021091
1.7727,-0.018982
1.8409,-0.025661
1.9091,-0.0116
1.9773,-0.017576
2.0455,-0.0045698
2.1136,-0.024958
2.1818,-0.045698
2.25,0.00070305
2.3182,0.095966
2.3864,0.061517
2.4545,0.016522
2.5227,-0.018279
2.5909,0.0070305
2.6591,-0.014413
2.7273,-0.0116
2.7955,0.013358
2.8636,-0.018279
2.9318,0.02074
3,-0.012655
3.0682,0.013358
3.1364,0.0010546
3.2045,-0.0080851
3.2727,-0.011249
3.3409,-0.0063274
3.4091,-0.0010546
3.4773,-0.018982
3.5455,-0.018631
3.6136,-0.019334
3.6818,-0.010194
3.75,0.0084366
3.8182,-0.0042183
3.8864,-0.0042183
3.9545,-0.016873
4.0227,-0.0045698
4.0909,-0.026716
4.1591,-0.023201
4.2273,-0.0056244
4.2955,-0.0010546
4.3636,-0.0080851
4.4318,-0.011952
4.5,-0.0049213
4.5682,-0.03691
4.6364,-0.043941
4.7045,-0.02531
4.7727,-0.020037
4.8409,0.023904
4.9091,-0.022146
4.9773,-0.00035152
5.0455,-0.031286
5.1136,0.0049213
5.1818,-0.010897
5.25,-0.0084366
5.3182,-0.006679
5.3864,0.035504
5.4545,-0.024958
5.5227,0.0063274
5.5909,-0.039722
5.6591,-0.038668
5.7273,0.010194
5.7955,-0.024255
5.8636,0.0087881
5.9318,0.0014061
6,0.0042183
6.0682,-0.0116
6.1364,-0.0049213
6.2045,-0.0094912
6.2727,-0.026364
6.3409,-0.0056244
6.4091,0.014413
6.4773,-0.0087881
6.5455,-0.021795
6.6136,-0.024607
6.6818,0.013006
6.75,-0.012303
6.8182,-0.02074
6.8864,0.012303
6.9545,-0
7.0227,-0.024958
7.0909,-0.022849
7.1591,-0.030231
7.2273,-0.046401
7.2955,-0.0017576
7.3636,0.0031637
7.4318,0.0087881
7.5,-0.066438
7.5682,-0.39582
7.6364,-0.48721
7.7045,-0.5062
7.7727,-0.42499
7.8409,-0.39441
7.9091,-0.30723
7.9773,-0.2763
8.0455,-0.26962
8.1136,-0.23869
8.1818,-0.20283
8.25,-0.19264
