Time (ms),A2-A3 (V)
0,0.053783
0.070455,-0.0098427
0.14091,-0.0063274
0.21136,-0.014764
0.28182,-0.018279
0.35227,-0.033043
0.42273,-0.023552
0.49318,0.012655
0.56364,-0.030934
0.63409,-0.0021091
0.70455,-0.0080851
0.775,-0.0080851
0.84545,-0.0014061
0.91591,-0.016522
0.98636,0.026013
1.0568,-0.021443
1.1273,-0.036207
1.1977,-0.022146
1.2682,-0.0052729
1.3386,-0.028473
1.4091,-0.02074
1.4795,-0.017928
1.55,-0.013006
1.6205,-0.0024607
1.6909,-0.018982
1.7614,-0.026716
1.8318,-0.024958
1.9023,-0.0049213
1.9727,-0.016522
2.0432,0.0031637
2.1136,-0.022498
2.1841,-0.016522
2.2545,-0.017928
2.325,-0.03234
2.3955,-0.0094912
2.4659,0.014413
2.5364,-0.0031637
2.6068,-0.017225
2.6773,-0.028825
2.7477,-0.0063274
2.8182,-0.034098
2.8886,0.007382
2.9591,-0.0063274
3.0295,0.0052729
3.1,0.0017576
3.1705,-0.011952
3.2409,-0.022849
3.3114,-0
3.3818,-0.011249
3.4523,-0.0063274
3.5227,-0.02777
3.5932,-0.039019
3.6636,-0
3.7341,-0.037965
3.8045,-0.023904
3.875,0.0010546
3.9455,0.0017576
4.0159,-0.0077335
4.0864,-0.0077335
4.1568,-0.020388
4.2273,-0.023904
4.2977,0.00035152
4.3682,-0.020037
4.4386,-0.022498
4.5091,-0.0077335
4.5795,-0.043238
4.65,0.018982
4.7205,0.016873
4.7909,-0.0098427
4.8614,0.0077335
4.9318,0.010897
5.0023,0.017225
5.0727,-0.020388
5.1432,-0.0116
5.2136,-0.042183
5.2841,-0.037262
5.3545,-0.0091396
5.425,-0.011249
5.4955,-0.039371
5.5659,-0.017225
5.6364,-0.0087881
5.7068,-0.010194
5.7773,-0.011249
5.8477,-0.0084366
5.9182,0.01617
5.9886,-0.019334
6.0591,-0.024607
6.1295,-0.031637
6.2,-0.0116
6.2705,-0.016522
6.3409,-0.029528
6.4114,-0.007382
6.4818,0.0084366
6.5523,-0.043589
6.6227,-0.0021091
6.6932,-0.058705
6.7636,0.014061
6.8341,-0.012303
6.9045,0.0045698
6.975,-0.023552
7.0455,0.0024607
7.1159,-0.021443
7.1864,-0.047456
7.2568,0.0045698
7.3273,0.014413
7.3977,0.028473
7.4682,-0.028122
7.5386,-0.037262
7.6091,-0.0056244
7.6795,0.0038668
7.75,0.031637
7.8205,0.0014061
7.8909,-0.0091396
7.9614,0.053432
8.0318,-0.022849
8.1023,-0.014764
8.1727,-0.013006
8.2432,-0.0091396
8.3136,-0.023201
8.3841,-0.014413
8.4545,-0.022146
8.525,-0.017576
8.5955,0.0035152
8.6659,-0.023552
8.7364,-0.028825
8.8068,-0.015116
8.8773,-0.0116
8.9477,-0.0063274
9.0182,0.00035152
9.0886,0.00035152
9.1591,-0.007382
9.2295,-0.024607
9.3,0.0010546
9.3705,-0.010897
9.4409,-0.0098427
9.5114,-0.044292
9.5818,-0.015467
9.6523,-0.023904
9.7227,0.0017576
9.7932,-0.0031637
9.8636,-0.058705
9.9341,-0.040074
10.005,0.0091396
10.075,0.024255
10.145,0.0017576
10.216,0.0080851
10.286,-0.014413
10.357,-0.017576
10.427,-0.018279
10.498,-0.023201
10.568,-0.034449
10.639,-0.0028122
10.709,-0.044292
10.78,-0.024607
10.85,-0.011249
10.92,-0.013709
10.991,-0.012303
11.061,-0.0024607
11.132,-0.00035152
11.202,-0.021795
11.273,0.010546
11.343,-0.00035152
11.414,0.0038668
11.484,0.0091396
11.555,-0.0052729
11.625,-0.026013
11.695,-0.0017576
11.766,-0.0063274
11.836,-0.0056244
11.907,-0.017225
11.977,0.0116
12.048,-0.030583
12.118,0.010546
12.189,-0.014413
12.259,-0.024607
12.33,-0.0021091
12.4,-0.013006
12.47,-0.013006
12.541,-0.014413
12.611,-0.022498
12.682,-0.024958
12.752,-0.0056244
12.823,-0
12.893,-0.028825
12.964,0.014061
13.034,-0.017928
13.105,-0.026013
13.175,-0.018631
13.245,-0.025661
13.316,-0.0087881
13.386,-0.0094912
13.457,-0.0042183
13.527,-0.022849
13.598,-0.021091
13.668,-0.0035152
13.739,-0.006679
13.809,0.0010546
13.88,0.0035152
13.95,-0.034801
14.02,0.0070305
14.091,-0.019334
14.161,0.030231
14.232,-0.052377
14.302,-0.010897
14.373,0.031286
14.443,-0.034801
14.514,-0.0038668
14.584,0.0038668
14.655,-0.036559
14.725,-0.019685
14.795,-0.037262
14.866,0.018631
14.936,-0.011952
15.007,-0.026013
15.077,-0.02074
15.148,-0.014061
15.218,-0.013709
15.289,0.016522
15.359,-0.0091396
15.43,0.0059759
15.5,-0.0059759
15.57,-0.0070305
15.641,-0.021091
15.711,-0.0080851
15.782,-0.017928
15.852,-0.0024607
15.923,-0.0049213
15.993,-0.020037
16.064,0.0056244
16.134,0.0056244
16.205,0.013358
16.275,-0.017576
16.345,-0.028122
16.416,-0.0017576
16.486,-0.0080851
16.557,-0.034098
16.627,-0.019685
16.698,-0.016873
16.768,0.0091396
16.839,0.0094912
16.909,0.014061
16.98,0.0094912
17.05,-0.044995
17.12,0.0021091
17.191,-0.011952
17.261,0.0084366
17.332,-0.024607
17.402,0.0091396
17.473,0.032692
17.543,-0.015116
17.614,-0.00070305
17.684,-0.010546
17.755,-0.016522
17.825,0.007382
17.895,-0.018631
17.966,-0.0052729
18.036,0.0084366
18.107,-0.015819
18.177,-0.041831
18.248,-0.026013
18.318,-0.023552
18.389,0.026364
18.459,0.013006
18.53,0.00070305
18.6,0.020037
18.67,0.0045698
18.741,-0.024255
18.811,-0.047456
18.882,0.018631
18.952,-0.007382
19.023,-0.0028122
19.093,0.007382
19.164,-0.031637
19.234,0.0021091
19.305,-0.0021091
19.375,0.010897
19.445,-0.012303
19.516,-0.017576
19.586,-0.0031637
19.657,-0.017576
19.727,0.022849
19.798,-0.0094912
19.868,-0.030231
19.939,-0.0014061
20.009,0.014061
20.08,0.0024607
20.15,-0.029528
20.22,-0.007382
20.291,0.0080851
20.361,-0.015467
20.432,0.0042183
20.502,-0.0116
20.573,0.010194
20.643,-0.02074
20.714,-0.016873
20.784,-0.011952
20.855,-0.013709
20.925,-0.031286
20.995,-0.043589
21.066,-0.00070305
21.136,-0.010546
21.207,-0.0021091
21.277,-0.0059759
21.348,-0.0084366
21.418,-0.028825
21.489,-0.022498
21.559,-0.015819
21.63,-0.0056244
21.7,0.0080851
21.77,-0.0056244
21.841,-0.00070305
21.911,0.0063274
21.982,-0.040777
22.052,-0.023904
22.123,0.022146
22.193,-0.033043
22.264,-0.0031637
22.334,0.0010546
22.405,-0.013006
22.475,-0.0014061
22.545,-0.0059759
22.616,-0.017928
22.686,-0.007382
22.757,-0.00035152
22.827,-0.022146
22.898,0.0049213
22.968,-0.033746
23.039,-0.016522
23.109,-0.006679
23.18,0.033395
23.25,-0.0084366
23.32,0.0024607
23.391,-0.017928
23.461,-0.0045698
23.532,-0.00035152
23.602,0.0028122
23.673,0.023552
23.743,-0.018279
23.814,-0.006679
23.884,-0.017576
23.955,-0.017225
24.025,-0.027067
24.095,-0.0080851
24.166,-0.046401
24.236,0.0080851
24.307,-0.013006
24.377,-0.0116
24.448,-0.0056244
24.518,-0.050268
24.589,0.0091396
24.659,-0.013709
24.73,-0.0056244
24.8,-0
24.87,-0.006679
24.941,-0.0028122
25.011,-0.02988
25.082,-0.0042183
25.152,-0.012303
25.223,-0.0116
25.293,-0.014413
25.364,-0.0049213
25.434,-0.02531
25.505,-0.034098
25.575,0.012655
25.645,-0.0091396
25.716,0.023552
25.786,-0.014061
25.857,0.0035152
25.927,-0.020037
25.998,-0.012655
26.068,0.0056244
26.139,0.020388
26.209,-0.019334
26.28,0.0038668
26.35,-0.0084366
26.42,-0.02074
26.491,-0.012303
26.561,-0.019685
26.632,-0.019334
26.702,0.024255
26.773,-0.0087881
26.843,-0.010546
26.914,-0.016873
26.984,-0.0098427
27.055,-0.020037
27.125,-0.010897
27.195,-0.0038668
27.266,0.0031637
27.336,-0.015819
27.407,-0.019334
27.477,-0.032692
27.548,-0.007382
27.618,0.011249
27.689,-0.0038668
27.759,-0.018982
27.83,0.0091396
27.9,-0.0070305
27.97,-0.0056244
28.041,-0.0056244
28.111,0.022849
28.182,0.0049213
28.252,-0.011249
28.323,0.0049213
28.393,-0.0052729
28.464,0.00035152
28.534,-0.014413
28.605,-0.0010546
28.675,0.00035152
28.745,0.0098427
28.816,-0.018279
28.886,-0.031989
28.957,-0.02074
29.027,0.0017576
29.098,0.047807
29.168,-0.0116
29.239,-0.0084366
29.309,-0.0038668
29.38,0.0056244
29.45,-0.033395
29.52,-0.017225
29.591,-0.0017576
29.661,0.0070305
29.732,-0.036559
29.802,0.02074
29.873,-0.0063274
29.943,-0.031286
30.014,-0.039371
30.084,-0.022498
30.155,0.02988
30.225,-0.042183
30.295,-0.017225
30.366,-0.0094912
30.436,-0.012655
30.507,-0.011952
30.577,-0.025661
30.648,-0.029177
30.718,0.00070305
30.789,-0.0087881
30.859,-0.015116
30.93,-0.0010546
