t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,6271,6272,1.263157,1.263358,-0.000201
43,-0.4960,6288,6252,1.266581,1.259330,0.007251
84,-0.4550,6338,6221,1.276653,1.253086,0.023567
125,-0.4140,6376,6190,1.284307,1.246841,0.037466
166,-0.3730,6284,6232,1.265775,1.255301,0.010474
207,-0.3320,6404,6259,1.289947,1.260740,0.029207
248,-0.2910,6320,6224,1.273027,1.253690,0.019337
289,-0.2500,6365,6204,1.282091,1.249661,0.032430
330,-0.2090,6390,6314,1.287127,1.271818,0.015309
371,-0.1680,6275,6258,1.263963,1.260538,0.003424
412,-0.1270,6313,6236,1.271617,1.256107,0.015510
453,-0.0860,6356,6216,1.280278,1.252078,0.028200
495,-0.0440,6390,6188,1.287127,1.246438,0.040689
536,-0.0030,0,6216,0.000000,1.252078,-1.252078
580,0.0410,745,6178,0.150064,1.244424,-1.094360
621,0.0820,1471,6262,0.296301,1.261344,-0.965043
662,0.1230,1980,6246,0.398828,1.258121,-0.859293
703,0.1640,2386,6224,0.480608,1.253690,-0.773082
744,0.2050,2728,6188,0.549496,1.246438,-0.696942
785,0.2460,3016,6275,0.607508,1.263963,-0.656455
826,0.2870,3340,6245,0.672771,1.257920,-0.585149
867,0.3280,3568,6226,0.718696,1.254093,-0.535396
908,0.3690,3788,6197,0.763010,1.248251,-0.485241
949,0.4100,3972,6316,0.800073,1.272221,-0.472148
991,0.4520,4193,6208,0.844589,1.250467,-0.405878
1035,0.4960,4344,6176,0.875005,1.244021,-0.369017
1076,0.5370,4575,6260,0.921535,1.260941,-0.339407
1117,0.5780,4688,6242,0.944296,1.257316,-0.313020
1158,0.6190,4800,6180,0.966856,1.244827,-0.277971
1199,0.6600,4944,6213,0.995862,1.251474,-0.255613
1240,0.7010,5014,6315,1.009962,1.272020,-0.262058
1281,0.7420,5177,6258,1.042794,1.260538,-0.217744
1322,0.7830,5253,6232,1.058103,1.255301,-0.197198
1363,0.8240,5334,6212,1.074419,1.251273,-0.176854
1405,0.8660,5392,6184,1.086101,1.245633,-0.159531
1446,0.9070,5543,6268,1.116517,1.262553,-0.146036
1487,0.9480,5592,6240,1.126387,1.256913,-0.130526
1528,0.9890,5640,6220,1.136056,1.252884,-0.116828
1569,1.0300,5682,6192,1.144516,1.247244,-0.102728
1610,1.0710,5846,6275,1.177550,1.263963,-0.086413
1651,1.1120,5832,6244,1.174730,1.257718,-0.082988
1692,1.1530,5865,6224,1.181377,1.253690,-0.072313
1734,1.1950,5890,6198,1.186413,1.248453,-0.062040
1775,1.2360,5944,6287,1.197290,1.266380,-0.069090
1816,1.2770,6032,6251,1.215016,1.259128,-0.044113
1857,1.3180,6037,6228,1.216023,1.254496,-0.038473
1898,1.3590,6055,6206,1.219648,1.250064,-0.030416
1939,1.4000,6065,6284,1.221663,1.265775,-0.044113
1980,1.4410,6169,6264,1.242611,1.261747,-0.019136
2021,1.4820,6180,6240,1.244827,1.256913,-0.012086
2062,1.5230,6196,6218,1.248050,1.252481,-0.004431
2103,1.5640,6178,6192,1.244424,1.247244,-0.002820
2144,1.6050,6314,6265,1.271818,1.261948,0.009870
2186,1.6470,6242,6156,1.257316,1.239993,0.017323
2227,1.6880,6288,6234,1.266581,1.255704,0.010877
2268,1.7290,6284,6208,1.265775,1.250467,0.015309
2309,1.7700,6272,6160,1.263358,1.240798,0.022560
2350,1.8110,6375,6266,1.284105,1.262150,0.021956
2391,1.8520,6362,6247,1.281487,1.258323,0.023164
2432,1.8930,6344,6221,1.277861,1.253086,0.024776
2473,1.9340,6336,6200,1.276250,1.248856,0.027394
2515,1.9760,6321,6287,1.273228,1.266380,0.006849
2556,2.0170,6418,6257,1.292767,1.260337,0.032430
2597,2.0580,6404,6228,1.289947,1.254496,0.035451
2638,2.0990,6384,6204,1.285918,1.249661,0.036257
2679,2.1400,6368,6168,1.282695,1.242410,0.040286
2720,2.1810,6455,6263,1.300220,1.261546,0.038674
2761,2.2220,6420,6240,1.293170,1.256913,0.036257
2802,2.2630,6416,6218,1.292364,1.252481,0.039883
2844,2.3050,6387,6192,1.286523,1.247244,0.039279
2885,2.3460,6499,6279,1.309083,1.264768,0.044314
2926,2.3870,6452,6240,1.299615,1.256913,0.042703
2967,2.4280,6428,6262,1.294781,1.261344,0.033437
3011,2.4720,6464,6249,1.302033,1.258726,0.043307
3052,2.5130,6436,6220,1.296393,1.252884,0.043509
3093,2.5540,6418,6185,1.292767,1.245834,0.046933
3134,2.5950,6511,6272,1.311500,1.263358,0.048141
3175,2.6360,6450,6192,1.299213,1.247244,0.051969
3216,2.6770,6480,6231,1.305255,1.255100,0.050156
3257,2.7180,6445,6204,1.298205,1.249661,0.048544
3298,2.7590,6416,6154,1.292364,1.239590,0.052774
3340,2.8010,6511,6272,1.311500,1.263358,0.048141
3381,2.8420,6493,6244,1.307874,1.257718,0.050156
3422,2.8830,6473,6224,1.303845,1.253690,0.050156
3463,2.9240,6454,6194,1.300018,1.247647,0.052371
3504,2.9650,6434,6303,1.295990,1.269603,0.026387
3545,3.0060,6509,6256,1.311097,1.260136,0.050961
3586,3.0470,6489,6233,1.307068,1.255503,0.051566
3627,3.0880,6460,6208,1.301227,1.250467,0.050760
3669,3.1300,6434,6160,1.295990,1.240798,0.055191
3710,3.1710,6517,6265,1.312708,1.261948,0.050760
3751,3.2120,6497,6234,1.308680,1.255704,0.052976
3792,3.2530,6464,6216,1.302033,1.252078,0.049954
3833,3.2940,6441,6189,1.297400,1.246640,0.050760
3874,3.3350,6456,6279,1.300421,1.264768,0.035653
3915,3.3760,6498,6250,1.308881,1.258927,0.049954
3956,3.4170,6476,6225,1.304450,1.253891,0.050559
4000,3.4610,6516,6249,1.312507,1.258726,0.053781
4042,3.5030,6464,6226,1.302033,1.254093,0.047940
4083,3.5440,6436,6203,1.296393,1.249460,0.046933
4124,3.5850,6405,6316,1.290148,1.272221,0.017927
4165,3.6260,6478,6223,1.304853,1.253488,0.051364
4206,3.6670,6501,6251,1.309485,1.259128,0.050357
4247,3.7080,6445,6220,1.298205,1.252884,0.045321
4288,3.7490,6426,6186,1.294378,1.246036,0.048343
4329,3.7900,6516,6269,1.312507,1.262754,0.049753
4370,3.8310,6469,6254,1.303040,1.259733,0.043307
4412,3.8730,6447,6219,1.298608,1.252683,0.045926
4453,3.9140,6420,6202,1.293170,1.249258,0.043911
4494,3.9550,6396,6312,1.288335,1.271415,0.016920
4535,3.9960,6480,6253,1.305255,1.259531,0.045724
4576,4.0370,6457,6234,1.300623,1.255704,0.044919
4617,4.0780,6429,6215,1.294983,1.251877,0.043106
4658,4.1190,6400,6180,1.289141,1.244827,0.044314
4699,4.1600,6512,6273,1.311701,1.263560,0.048141
4741,4.2020,6462,6242,1.301630,1.257316,0.044314
4782,4.2430,6433,6226,1.295788,1.254093,0.041696
4823,4.2840,6413,6196,1.291760,1.248050,0.043710
