Time (ms),A2-A3 (V)
0,0.0045698
0.068259,0.0017576
0.13652,-0.01617
0.20478,-0.018631
0.27304,-0.034098
0.3413,-0.033395
0.40956,-0.0080851
0.47782,0.00035152
0.54608,-0.00035152
0.61433,0.0045698
0.68259,-0.033043
0.75085,0.0080851
0.81911,-0.04851
0.88737,0.011249
0.95563,-0.055189
1.0239,-0.035855
1.0922,-0.045698
1.1604,0.0080851
1.2287,-0.018279
1.2969,-0.0084366
1.3652,-0.023552
1.4334,-0.020388
1.5017,-0.02777
1.57,-0.020388
1.6382,-0.045698
1.7065,0.00070305
1.7747,-0.0049213
1.843,-0.010194
1.9113,-0.018631
1.9795,0.0017576
2.0478,-0.037965
2.116,-0.0116
2.1843,-0.021091
2.2526,-0.027067
2.3208,-0.035152
2.3891,-0.0024607
2.4573,0.0091396
2.5256,0.013358
2.5939,-0.011952
2.6621,0.011249
2.7304,-0.0087881
2.7986,-0.030231
2.8669,-0.017576
2.9352,0.0087881
3.0034,-0.029528
3.0717,-0.0098427
3.1399,-0.018631
3.2082,-0.040074
3.2765,-0.043238
3.3447,-0.022498
3.413,-0.0010546
3.4812,-0.031989
3.5495,-0.039371
3.6177,-0.031637
3.686,-0.027067
3.7543,0.0038668
3.8225,-0.012303
3.8908,0.0035152
3.959,-0.022849
4.0273,-0.0087881
4.0956,-0.021091
4.1638,-0.012303
4.2321,-0.02074
4.3003,-0.013006
4.3686,-0.040074
4.4369,-0.00070305
4.5051,-0.011952
4.5734,-0.0059759
4.6416,-0.026716
4.7099,-0.012655
4.7782,-0.020037
4.8464,-0.021795
4.9147,0.014764
4.9829,-0.0045698
5.0512,-0.02074
5.1195,0.0024607
5.1877,-0.03691
5.256,-0.020388
5.3242,0.0116
5.3925,-0.017225
5.4608,-0.033746
5.529,-0.0094912
5.5973,-0.02988
5.6655,-0.0035152
5.7338,-0.02988
5.802,0.011952
5.8703,-0.014061
5.9386,-0.0038668
6.0068,-0.016522
6.0751,-0.010194
6.1433,-0.022146
6.2116,-0.0091396
6.2799,0.15889
6.3481,0.30477
6.4164,0.37402
6.4846,0.33184
6.5529,0.30196
6.6212,0.22673
6.6894,0.14483
6.7577,0.10862
6.8259,0.060462
6.8942,0.10932
6.9625,0.036207
7.0307,0.024255
7.099,0.033746
7.1672,-0.0049213
7.2355,0.006679
7.3038,0.00035152
7.372,0.037613
7.4403,0.0028122
7.5085,-0.013358
7.5768,-0.029177
7.6451,-0.010897
7.7133,-0.00035152
7.7816,-0.0094912
7.8498,-0.050268
7.9181,-0.12268
7.9863,-0.17717
8.0546,-0.092451
