t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,6280,6209,1.264970,1.250668,0.014301
43,-0.4960,6318,6172,1.272624,1.243216,0.029409
84,-0.4550,6203,6265,1.249460,1.261948,-0.012489
125,-0.4140,6244,6241,1.257718,1.257114,0.000604
166,-0.3730,6294,6225,1.267790,1.253891,0.013899
207,-0.3320,6248,6212,1.258524,1.251273,0.007251
248,-0.2910,6329,6284,1.274840,1.265775,0.009064
289,-0.2500,6199,6265,1.248654,1.261948,-0.013294
330,-0.2090,6217,6244,1.252280,1.257718,-0.005439
371,-0.1680,6264,6220,1.261747,1.252884,0.008863
412,-0.1270,6291,6198,1.267185,1.248453,0.018733
454,-0.0850,6325,6314,1.274034,1.271818,0.002216
495,-0.0440,6185,6256,1.245834,1.260136,-0.014301
536,-0.0030,0,6320,0.000000,1.273027,-1.273027
580,0.0410,712,6260,0.143417,1.260941,-1.117524
621,0.0820,1376,6237,0.277165,1.256308,-0.979143
662,0.1230,1872,6216,0.377074,1.252078,-0.875005
703,0.1640,2264,6160,0.456034,1.240798,-0.784765
744,0.2050,2623,6260,0.528346,1.260941,-0.732595
785,0.2460,2904,6242,0.584948,1.257316,-0.672368
826,0.2870,3160,6216,0.636513,1.252078,-0.615565
867,0.3280,3384,6194,0.681633,1.247647,-0.566014
909,0.3700,3711,6275,0.747500,1.263963,-0.516462
950,0.4110,3816,6246,0.768650,1.258121,-0.489471
991,0.4520,4086,6279,0.823036,1.264768,-0.441732
1035,0.4960,4162,6254,0.838345,1.259733,-0.421388
1076,0.5370,4296,6228,0.865336,1.254496,-0.389159
1117,0.5780,4416,6206,0.889507,1.250064,-0.360557
1158,0.6190,4513,6256,0.909046,1.260136,-0.351090
1199,0.6600,4648,6316,0.936239,1.272221,-0.335982
1240,0.7010,4784,6246,0.963633,1.258121,-0.294488
1281,0.7420,4864,6224,0.979747,1.253690,-0.273943
1322,0.7830,4928,6200,0.992639,1.248856,-0.256217
1363,0.8240,4994,6303,1.005933,1.269603,-0.263670
1405,0.8660,5134,6260,1.034133,1.260941,-0.226808
1446,0.9070,5184,6223,1.044204,1.253488,-0.209284
1487,0.9480,5218,6208,1.051053,1.250467,-0.199414
1528,0.9890,5264,6184,1.060319,1.245633,-0.185314
1569,1.0300,5391,6272,1.085900,1.263358,-0.177458
1610,1.0710,5416,6245,1.090936,1.257920,-0.166984
1651,1.1120,5436,6216,1.094964,1.252078,-0.157114
1692,1.1530,5457,6200,1.099194,1.248856,-0.149661
1734,1.1950,5480,6303,1.103827,1.269603,-0.165775
1775,1.2360,5585,6256,1.124977,1.260136,-0.135158
1816,1.2770,5602,6226,1.128401,1.254093,-0.125691
1857,1.3180,5608,6201,1.129610,1.249057,-0.119447
1898,1.3590,5618,6258,1.131624,1.260538,-0.128914
1939,1.4000,5721,6260,1.152371,1.260941,-0.108570
1980,1.4410,5712,6244,1.150559,1.257718,-0.107160
2021,1.4820,5724,6222,1.152976,1.253287,-0.100311
2062,1.5230,5724,6200,1.152976,1.248856,-0.095880
2103,1.5640,5720,6312,1.152170,1.271415,-0.119246
2144,1.6050,5812,6248,1.170701,1.258524,-0.087823
2186,1.6470,5768,6303,1.161838,1.269603,-0.107764
2227,1.6880,5810,6218,1.170298,1.252481,-0.082183
2268,1.7290,5796,6196,1.167478,1.248050,-0.080571
2309,1.7700,5784,6303,1.165061,1.269603,-0.104541
2350,1.8110,5877,6265,1.183794,1.261948,-0.078154
2391,1.8520,5858,6229,1.179967,1.254697,-0.074730
2432,1.8930,5844,6213,1.177147,1.251474,-0.074327
2473,1.9340,5840,6184,1.176341,1.245633,-0.069291
2515,1.9760,5919,6276,1.192254,1.264164,-0.071910
2556,2.0170,5896,6240,1.187621,1.256913,-0.069291
2597,2.0580,5878,6220,1.183996,1.252884,-0.068888
2638,2.0990,5870,6200,1.182384,1.248856,-0.066471
2679,2.1400,5864,6314,1.181176,1.271818,-0.090643
2720,2.1810,5922,6253,1.192858,1.259531,-0.066673
2761,2.2220,5907,6238,1.189837,1.256510,-0.066673
2802,2.2630,5892,6209,1.186816,1.250668,-0.063853
2844,2.3050,5870,6172,1.182384,1.243216,-0.060831
2885,2.3460,5937,6262,1.195880,1.261344,-0.065464
2926,2.3870,5916,6240,1.191650,1.256913,-0.065263
2967,2.4280,5896,6267,1.187621,1.262351,-0.074730
3011,2.4720,5916,6241,1.191650,1.257114,-0.065464
3052,2.5130,5897,6221,1.187823,1.253086,-0.065263
3093,2.5540,5874,6194,1.183190,1.247647,-0.064457
3134,2.5950,5976,6267,1.203736,1.262351,-0.058616
3175,2.6360,5898,6202,1.188024,1.249258,-0.061234
3216,2.6770,5920,6244,1.192456,1.257718,-0.065263
3257,2.7180,5880,6210,1.184398,1.250870,-0.066471
3298,2.7590,5849,6189,1.178154,1.246640,-0.068486
3340,2.8010,5850,6279,1.178356,1.264768,-0.086413
3381,2.8420,5894,6256,1.187218,1.260136,-0.072917
3422,2.8830,5866,6236,1.181578,1.256107,-0.074528
3463,2.9240,5836,6213,1.175536,1.251474,-0.075938
3504,2.9650,5810,6197,1.170298,1.248251,-0.077953
3545,3.0060,5887,6269,1.185808,1.262754,-0.076946
3586,3.0470,5852,6236,1.178758,1.256107,-0.077348
3627,3.0880,5826,6226,1.173521,1.254093,-0.080571
3669,3.1300,5802,6200,1.168687,1.248856,-0.080168
