t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,6314,6272,1.271818,1.263358,0.008460
43,-0.4960,6179,6268,1.244626,1.262553,-0.017927
84,-0.4550,6202,6244,1.249258,1.257718,-0.008460
125,-0.4140,6234,6224,1.255704,1.253690,0.002014
166,-0.3730,6268,6205,1.262553,1.249863,0.012690
207,-0.3320,6306,6194,1.270207,1.247647,0.022560
248,-0.2910,6175,6275,1.243820,1.263963,-0.020143
289,-0.2500,6204,6251,1.249661,1.259128,-0.009467
330,-0.2090,6232,6226,1.255301,1.254093,0.001209
371,-0.1680,6267,6211,1.262351,1.251071,0.011280
412,-0.1270,6290,6180,1.266984,1.244827,0.022157
454,-0.0850,6207,6279,1.250266,1.264768,-0.014503
495,-0.0440,6198,6254,1.248453,1.259733,-0.011280
536,-0.0030,1124,6166,0.226405,1.242007,-1.015602
580,0.0410,2751,6267,0.554129,1.262351,-0.708222
621,0.0820,3688,6248,0.742868,1.258524,-0.515656
662,0.1230,4332,6222,0.872587,1.253287,-0.380700
703,0.1640,4788,6209,0.964439,1.250668,-0.286230
744,0.2050,5120,6172,1.031313,1.243216,-0.211903
785,0.2460,5439,6273,1.095569,1.263560,-0.167991
827,0.2880,5612,6248,1.130416,1.258524,-0.128108
868,0.3290,5730,6189,1.154184,1.246640,-0.092456
909,0.3700,5869,6220,1.182183,1.252884,-0.070701
950,0.4110,5908,6192,1.190038,1.247244,-0.057206
991,0.4520,6019,6224,1.212397,1.253690,-0.041293
1035,0.4960,6048,6200,1.218238,1.248856,-0.030617
1076,0.5370,6080,6209,1.224684,1.250668,-0.025984
1117,0.5780,6207,6265,1.250266,1.261948,-0.011683
1158,0.6190,6209,6252,1.250668,1.259330,-0.008661
1199,0.6600,6214,6228,1.251676,1.254496,-0.002820
1240,0.7010,6210,6208,1.250870,1.250467,0.000403
1282,0.7430,6208,6172,1.250467,1.243216,0.007251
1323,0.7840,6319,6272,1.272825,1.263358,0.009467
1364,0.8250,6292,6240,1.267387,1.256913,0.010474
1405,0.8660,6280,6218,1.264970,1.252481,0.012489
1446,0.9070,6268,6201,1.262553,1.249057,0.013496
1487,0.9480,6256,6161,1.260136,1.241000,0.019136
1528,0.9890,6351,6264,1.279271,1.261747,0.017524
1569,1.0300,6321,6242,1.273228,1.257316,0.015913
1611,1.0720,6304,6224,1.269804,1.253690,0.016114
1652,1.1130,6288,6211,1.266581,1.251071,0.015510
1693,1.1540,6272,6162,1.263358,1.241201,0.022157
1734,1.1950,6367,6269,1.282494,1.262754,0.019740
1775,1.2360,6336,6248,1.276250,1.258524,0.017726
1816,1.2770,6316,6228,1.272221,1.254496,0.017726
1857,1.3180,6296,6196,1.268193,1.248050,0.020143
1898,1.3590,6328,6211,1.274638,1.251071,0.023567
1940,1.4010,6260,6287,1.260941,1.266380,-0.005439
1981,1.4420,6286,6198,1.266178,1.248453,0.017726
2025,1.4860,6272,6303,1.263358,1.269603,-0.006244
2066,1.5270,6349,6260,1.278868,1.260941,0.017927
2107,1.5680,6324,6234,1.273833,1.255704,0.018129
2148,1.6090,6304,6210,1.269804,1.250870,0.018934
2189,1.6500,6284,6192,1.265775,1.247244,0.018531
2230,1.6910,6390,6279,1.287127,1.264768,0.022359
2271,1.7320,6342,6250,1.277458,1.258927,0.018531
2312,1.7730,6320,6236,1.273027,1.256107,0.016920
2353,1.8140,6304,6217,1.269804,1.252280,0.017524
2395,1.8560,6288,6187,1.266581,1.246237,0.020344
2436,1.8970,6260,6312,1.260941,1.271415,-0.010474
2477,1.9380,6353,6258,1.279674,1.260538,0.019136
2518,1.9790,6329,6243,1.274840,1.257517,0.017323
2559,2.0200,6304,6212,1.269804,1.251273,0.018531
2600,2.0610,6288,6196,1.266581,1.248050,0.018531
2641,2.1020,6272,6316,1.263358,1.272221,-0.008863
2682,2.1430,6355,6268,1.280077,1.262553,0.017524
2724,2.1850,6329,6240,1.274840,1.256913,0.017927
2765,2.2260,6312,6224,1.271415,1.253690,0.017726
2806,2.2670,6286,6197,1.266178,1.248251,0.017927
2847,2.3080,6276,6279,1.264164,1.264768,-0.000604
2888,2.3490,6313,6200,1.271617,1.248856,0.022761
2929,2.3900,6342,6252,1.277458,1.259330,0.018129
2970,2.4310,6325,6287,1.274034,1.266380,0.007654
3014,2.4750,6357,6260,1.280480,1.260941,0.019539
3055,2.5160,6340,6237,1.277055,1.256308,0.020747
3096,2.5570,6316,6209,1.272221,1.250668,0.021553
3137,2.5980,6296,6193,1.268193,1.247446,0.020747
3179,2.6400,6373,6303,1.283703,1.269603,0.014100
3220,2.6810,6362,6257,1.281487,1.260337,0.021150
3261,2.7220,6346,6235,1.278264,1.255906,0.022359
3302,2.7630,6317,6216,1.272423,1.252078,0.020344
3343,2.8040,6292,6192,1.267387,1.247244,0.020143
3384,2.8450,6400,6287,1.289141,1.266380,0.022761
3425,2.8860,6356,6252,1.280278,1.259330,0.020949
3466,2.9270,6336,6232,1.276250,1.255301,0.020949
3508,2.9690,6310,6208,1.271013,1.250467,0.020546
3549,3.0100,6297,6199,1.268394,1.248654,0.019740
3590,3.0510,6399,6279,1.288940,1.264768,0.024171
3631,3.0920,6355,6252,1.280077,1.259330,0.020747
3672,3.1330,6337,6237,1.276451,1.256308,0.020143
3713,3.1740,6308,6214,1.270610,1.251676,0.018934
3754,3.2150,6286,6192,1.266178,1.247244,0.018934
3795,3.2560,6264,6300,1.261747,1.268998,-0.007251
3837,3.2980,6350,6267,1.279070,1.262351,0.016719
3878,3.3390,6305,6196,1.270005,1.248050,0.021956
3919,3.3800,6332,6229,1.275444,1.254697,0.020747
3960,3.4210,6288,6208,1.266581,1.250467,0.016114
4002,3.4630,6296,6216,1.268193,1.252078,0.016114
4043,3.5040,6267,6192,1.262351,1.247244,0.015107
4085,3.5460,6352,6303,1.279473,1.269603,0.009870
4126,3.5870,6334,6260,1.275847,1.260941,0.014906
4167,3.6280,6320,6237,1.273027,1.256308,0.016719
