t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,6262,6206,1.261344,1.250064,0.011280
43,-0.4960,6309,6290,1.270811,1.266984,0.003827
84,-0.4550,6183,6272,1.245431,1.263358,-0.017927
125,-0.4140,6212,6246,1.251273,1.258121,-0.006849
166,-0.3730,6247,6225,1.258323,1.253891,0.004431
207,-0.3320,6262,6212,1.261344,1.251273,0.010071
248,-0.2910,6294,6184,1.267790,1.245633,0.022157
289,-0.2500,6220,6303,1.252884,1.269603,-0.016719
330,-0.2090,6190,6256,1.246841,1.260136,-0.013294
371,-0.1680,6218,6248,1.252481,1.258524,-0.006043
412,-0.1270,6241,6219,1.257114,1.252683,0.004431
453,-0.0860,6272,6202,1.263358,1.249258,0.014100
495,-0.0440,6312,6257,1.271415,1.260337,0.011079
536,-0.0030,1124,6214,0.226405,1.251676,-1.025270
580,0.0410,2698,6192,0.543454,1.247244,-0.703791
621,0.0820,3779,6303,0.761198,1.269603,-0.508405
662,0.1230,4444,6256,0.895147,1.260136,-0.364988
703,0.1640,4925,6232,0.992034,1.255301,-0.263267
744,0.2050,5264,6208,1.060319,1.250467,-0.190148
785,0.2460,5513,6176,1.110474,1.244021,-0.133547
826,0.2870,5800,6271,1.168284,1.263157,-0.094873
868,0.3290,5872,6222,1.182787,1.253287,-0.070500
909,0.3700,6028,6248,1.214210,1.258524,-0.044314
950,0.4110,6020,6220,1.212598,1.252884,-0.040286
991,0.4520,6108,6253,1.230324,1.259531,-0.029207
1035,0.4960,6133,6236,1.235360,1.256107,-0.020747
1076,0.5370,6145,6217,1.237777,1.252280,-0.014503
1117,0.5780,6144,6189,1.237576,1.246640,-0.009064
1158,0.6190,6185,6287,1.245834,1.266380,-0.020546
1199,0.6600,6233,6256,1.255503,1.260136,-0.004633
1240,0.7010,6228,6238,1.254496,1.256510,-0.002014
1281,0.7420,6212,6216,1.251273,1.252078,-0.000806
1323,0.7840,6201,6200,1.249057,1.248856,0.000201
1364,0.8250,6308,6279,1.270610,1.264768,0.005841
1405,0.8660,6267,6252,1.262351,1.259330,0.003021
1446,0.9070,6248,6244,1.258524,1.257718,0.000806
1487,0.9480,6236,6220,1.256107,1.252884,0.003223
