Time (ms),A2-A3 (V)
0,-0.031989
0.070455,0.011249
0.14091,0.042886
0.21136,0.0116
0.28182,0.027419
0.35227,0.044995
0.42273,0.053783
0.49318,0.033746
0.56364,0.057298
0.63409,0.073117
0.70455,0.056947
0.775,0.06925
0.84545,0.053432
0.91591,0.041831
0.98636,0.044644
1.0568,0.18771
1.1273,0.3234
1.1977,0.32375
1.2682,0.28825
1.3386,0.24255
1.4091,0.15854
1.4795,0.15432
1.55,0.10686
1.6205,0.071711
1.6909,0.081202
1.7614,0.065384
1.8318,0.068899
1.9023,0.052026
1.9727,0.075929
2.0432,0.043589
2.1136,0.042534
2.1841,0.039371
2.2545,0.050268
2.325,0.07382
2.3955,0.034801
2.4659,0.041128
2.5364,0.033746
2.6068,0.041831
2.6773,-0.072063
2.7477,-0.28473
2.8182,-0.32868
2.8886,-0.32164
2.9591,-0.28684
3.0295,-0.24853
3.1,-0.26224
3.1705,-0.21021
3.2409,-0.18139
3.3114,-0.13534
3.3818,-0.091748
3.4523,-0.059056
3.5227,-0.018631
3.5932,0.014061
3.6636,0.022498
3.7341,0.022498
3.8045,0.007382
3.875,0.033746
3.9455,0.074172
4.0159,0.042183
4.0864,0.050971
4.1568,0.077335
4.2273,0.030231
4.2977,0.042534
4.3682,0.04148
4.4386,0.085772
4.5091,0.056595
4.5795,0.048159
4.65,0.039019
4.7205,0.020037
4.7909,0.03691
4.8614,0.030934
4.9318,0.033746
5.0023,0.043238
5.0727,0.056947
5.1432,0.039722
5.2136,0.089287
5.2841,0.034449
5.3545,0.037965
5.425,0.020388
5.4955,0.074875
5.5659,0.036207
5.6364,0.058002
5.7068,0.053432
5.7773,0.039371
5.8477,0.050268
5.9182,0.047807
5.9886,0.055892
6.0591,0.050971
6.1295,0.026716
6.2,0.044995
6.2705,0.042534
6.3409,0.028122
6.4114,0.030231
6.4818,0.034098
6.5523,0.040425
6.6227,0.054135
6.6932,0.049213
6.7636,0.010897
6.8341,0.042534
6.9045,0.02531
6.975,0.052729
7.0455,0.049565
7.1159,0.021091
7.1864,0.02988
7.2568,0.033395
7.3273,0.02777
7.3977,0.068547
7.4682,0.042534
7.5386,-0.0052729
7.6091,0.027419
7.6795,0.047807
7.75,0.049565
7.8205,0.048159
7.8909,0.028825
7.9614,0.016873
8.0318,0.033043
8.1023,0.046753
8.1727,0.035152
8.2432,0.042534
8.3136,0.027067
8.3841,0.024607
8.4545,0.053432
8.525,0.044995
8.5955,0.02988
8.6659,0.056947
8.7364,0.039019
8.8068,0.036207
8.8773,0.054486
8.9477,0.02777
9.0182,0.015116
9.0886,0.031989
9.1591,0.049213
9.2295,0.047104
9.3,0.025661
9.3705,0.022146
9.4409,0.031637
9.5114,0.050971
9.5818,0.036559
9.6523,0.0087881
9.7227,0.035504
9.7932,0.028122
9.8636,0.03234
9.9341,-0.0042183
10.005,0.026716
10.075,0.036559
10.145,0.043589
10.216,0.042886
10.286,0.021091
10.357,0.053783
10.427,0.026364
10.498,0.029177
10.568,0.022146
10.639,0.011952
10.709,0.020037
10.78,0.031637
10.85,0.062571
10.92,0.069953
10.991,0.04851
11.061,0.040777
11.132,0.01617
11.202,0.019685
11.273,0.031989
11.343,0.06679
11.414,0.055541
11.484,0.053432
11.555,-0.0059759
11.625,0.047456
11.695,0.028473
11.766,0.062923
11.836,0.020037
11.907,0.032692
11.977,0.060111
12.048,-0.028122
12.118,0.018631
12.189,0.026364
12.259,0.048159
12.33,0.01617
12.4,0.026716
12.47,0.037613
12.541,0.059056
12.611,0.024958
12.682,0.040777
12.752,0.042886
12.823,0.02531
12.893,0.072063
12.964,0.030934
13.034,0.043589
13.105,0.041128
13.175,0.022849
13.245,0.010546
13.316,0.027419
13.386,0.026364
13.457,0.12549
13.527,0.2886
13.598,0.35223
13.668,0.2886
13.739,0.25239
13.809,0.20072
13.88,0.16838
13.95,0.1262
14.02,0.090342
14.091,0.079796
14.161,0.072766
14.232,0.039722
14.302,0.037262
14.373,0.063977
14.443,0.034449
14.514,0.031286
14.584,0.046401
14.655,0.033043
14.725,0.066438
14.795,0.041128
14.866,0.053432
14.936,0.035504
15.007,0.040777
15.077,-0.014413
15.148,-0.20845
15.218,-0.35609
15.289,-0.32305
15.359,-0.29141
15.43,-0.2756
15.5,-0.23236
15.57,-0.22427
15.641,-0.18209
15.711,-0.14483
15.782,-0.11108
15.852,-0.039722
15.923,-0.039019
15.993,-0.025661
16.064,-0.027067
16.134,-0.006679
16.205,0.028473
16.275,0.050971
16.345,0.022849
16.416,0.037613
16.486,0.053783
16.557,0.088233
16.627,0.0052729
16.698,0.038316
16.768,0.051674
16.839,0.034801
16.909,0.054486
16.98,0.026013
17.05,0.04605
17.12,0.061517
17.191,0.019685
17.261,0.055892
17.332,0.04605
17.402,0.030934
17.473,0.041831
17.543,0.049213
17.614,0.061165
17.684,0.044292
17.755,0.017576
17.825,0.021795
17.895,0.032692
17.966,0.063274
18.036,0.047104
18.107,0.039019
18.177,0.068899
18.248,0.043238
18.318,0.03234
18.389,0.021091
18.459,0.04148
18.53,0.035855
18.6,0.043941
18.67,0.03234
18.741,0.059056
18.811,0.033395
18.882,0.03691
18.952,0.023552
19.023,0.049213
19.093,0.021091
19.164,0.028825
19.234,0.036207
19.305,0.039019
19.375,0.056595
19.445,0.047104
19.516,0.042183
19.586,0.049213
19.657,0.05308
19.727,0.051323
19.798,0.040425
19.868,0.030934
19.939,0.024607
20.009,0.059408
20.08,0.029528
20.15,0.045347
20.22,0.062571
20.291,0.021795
20.361,0.092802
20.432,0.047807
20.502,0.034098
20.573,0.070656
20.643,0.04851
20.714,0.024607
20.784,0.035152
20.855,0.052377
20.925,0.043238
20.995,0.05062
21.066,0.025661
21.136,0.063274
21.207,0.042183
21.277,0.028825
21.348,0.05308
21.418,0.04605
21.489,0.043589
21.559,0.062923
21.63,0.043941
21.7,0.046401
21.77,0.027419
21.841,0.029177
21.911,0.038316
21.982,0.039019
22.052,0.041831
22.123,0.053432
22.193,0.039371
22.264,0.024958
22.334,0.04851
22.405,0.058002
22.475,0.033746
22.545,0.061517
22.616,0.057298
22.686,0.06468
22.757,0.033043
22.827,0.033043
22.898,0.070305
22.968,0.051674
23.039,0.085772
23.109,0.05062
23.18,0.054486
23.25,0.02988
23.32,0.051323
23.391,0.073469
23.461,0.014061
23.532,0.045698
23.602,0.067493
23.673,0.036559
23.743,0.055892
23.814,0.02531
23.884,0.033746
23.955,0.02988
24.025,0.047104
24.095,0.035855
24.166,0.029528
24.236,0.04605
24.307,0.05062
24.377,0.024255
24.448,0.012303
24.518,0.063977
24.589,0.05765
24.659,0.028825
24.73,0.039019
24.8,0.0080851
24.87,0.025661
24.941,0.044292
25.011,0.040074
25.082,0.023904
25.152,0.041128
25.223,0.070305
25.293,0.018279
25.364,0.040777
25.434,0.030583
25.505,0.035152
25.575,0.048159
25.645,-0.0056244
25.716,0.040074
25.786,0.05765
25.857,0.052026
25.927,0.20916
25.998,0.33887
26.068,0.32446
26.139,0.28684
26.209,0.22357
26.28,0.15643
26.35,0.1385
26.42,0.093505
26.491,0.053783
26.561,0.068547
26.632,0.041128
26.702,0.065032
26.773,0.04851
26.843,0.038668
26.914,0.019685
26.984,0.059408
27.055,0.037965
27.125,0.029528
27.195,0.040074
27.266,0.033395
27.336,0.052026
27.407,0.05308
27.477,0.034801
27.548,-0.11882
27.618,-0.31356
27.689,-0.35785
27.759,-0.32024
27.83,-0.28473
27.9,-0.28016
27.97,-0.22041
28.041,-0.21162
28.111,-0.16486
28.182,-0.11284
28.252,-0.044292
28.323,-0.054838
28.393,-0.027067
28.464,-0.00070305
28.534,0.0014061
28.605,0.0070305
28.675,0.01617
28.745,-0.015819
28.816,0.017928
28.886,0.006679
28.957,0.02531
29.027,0.028825
29.098,-0.00070305
29.168,0.035504
29.239,0.031989
29.309,0.034098
29.38,0.0070305
29.45,0.056947
29.52,0.054486
29.591,0.021443
29.661,0.039722
29.732,0.040777
29.802,0.0045698
29.873,0.045347
29.943,0.01617
30.014,0.04148
30.084,0.0094912
30.155,0.048159
30.225,0.056244
30.295,0.066438
30.366,0.052026
30.436,0.035855
30.507,0.023904
30.577,0.030231
30.648,0.053432
30.718,0.026716
30.789,0.058353
30.859,-0.0010546
30.93,0.054135
