t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,6192,6220,1.247244,1.252884,-0.005640
43,-0.4960,6288,6303,1.266581,1.269603,-0.003021
84,-0.4550,6193,6220,1.247446,1.252884,-0.005439
125,-0.4140,6282,6320,1.265373,1.273027,-0.007654
166,-0.3730,6200,6208,1.248856,1.250467,-0.001611
207,-0.3320,6312,6250,1.271415,1.258927,0.012489
248,-0.2910,6240,6196,1.256913,1.248050,0.008863
289,-0.2500,6175,6256,1.243820,1.260136,-0.016316
330,-0.2090,6226,6198,1.254093,1.248453,0.005640
371,-0.1680,6175,6245,1.243820,1.257920,-0.014100
412,-0.1270,6260,6194,1.260941,1.247647,0.013294
454,-0.0850,6186,6228,1.246036,1.254496,-0.008460
495,-0.0440,6269,6178,1.262754,1.244424,0.018330
536,-0.0030,1088,6180,0.219154,1.244827,-1.025673
580,0.0410,2696,6224,0.543051,1.253690,-0.710639
621,0.0820,3712,6263,0.747702,1.261546,-0.513844
662,0.1230,4450,6212,0.896356,1.251273,-0.354917
703,0.1640,4918,6267,0.990624,1.262351,-0.271727
744,0.2050,5312,6201,1.069987,1.249057,-0.179070
785,0.2460,5520,6246,1.111884,1.258121,-0.146237
827,0.2880,5710,6256,1.150156,1.260136,-0.109980
868,0.3290,5864,6197,1.181176,1.248251,-0.067076
909,0.3700,6032,6250,1.215016,1.258927,-0.043911
950,0.4110,6040,6201,1.216627,1.249057,-0.032430
991,0.4520,6086,6192,1.225893,1.247244,-0.021351
1035,0.4960,6168,6236,1.242410,1.256107,-0.013697
1076,0.5370,6134,6180,1.235561,1.244827,-0.009266
1117,0.5780,6203,6230,1.249460,1.254898,-0.005439
1158,0.6190,6174,6182,1.243618,1.245230,-0.001611
1199,0.6600,6234,6230,1.255704,1.254898,0.000806
1240,0.7010,6180,6301,1.244827,1.269200,-0.024373
1282,0.7430,6227,6208,1.254294,1.250467,0.003827
1323,0.7840,6180,6271,1.244827,1.263157,-0.018330
1364,0.8250,6238,6208,1.256510,1.250467,0.006043
1405,0.8660,6183,6261,1.245431,1.261143,-0.015711
1446,0.9070,6232,6192,1.255301,1.247244,0.008057
1487,0.9480,6272,6240,1.263358,1.256913,0.006446
1528,0.9890,6214,6187,1.251676,1.246237,0.005439
1569,1.0300,6269,6244,1.262754,1.257718,0.005036
1611,1.0720,6229,6182,1.254697,1.245230,0.009467
1652,1.1130,6268,6226,1.262553,1.254093,0.008460
1693,1.1540,6208,6312,1.250467,1.271415,-0.020949
1734,1.1950,6258,6222,1.260538,1.253287,0.007251
1775,1.2360,6209,6176,1.250668,1.244021,0.006647
1816,1.2770,6244,6188,1.257718,1.246438,0.011280
1857,1.3180,6262,6218,1.261344,1.252481,0.008863
1898,1.3590,6202,6271,1.249258,1.263157,-0.013899
1940,1.4010,6257,6220,1.260337,1.252884,0.007453
1981,1.4420,6248,6210,1.258524,1.250870,0.007654
2025,1.4860,6200,6262,1.248856,1.261344,-0.012489
2066,1.5270,6244,6196,1.257718,1.248050,0.009669
2107,1.5680,6272,6230,1.263358,1.254898,0.008460
2148,1.6090,6216,6173,1.252078,1.243417,0.008661
2189,1.6500,6276,6236,1.264164,1.256107,0.008057
2230,1.6910,6225,6173,1.253891,1.243417,0.010474
2271,1.7320,6264,6218,1.261747,1.252481,0.009266
2312,1.7730,6204,6267,1.249661,1.262351,-0.012690
2353,1.8140,6248,6211,1.258524,1.251071,0.007453
2395,1.8560,6204,6303,1.249661,1.269603,-0.019941
2436,1.8970,6260,6210,1.260941,1.250870,0.010071
2477,1.9380,6200,6258,1.248856,1.260538,-0.011683
2518,1.9790,6241,6196,1.257114,1.248050,0.009064
2559,2.0200,6308,6250,1.270610,1.258927,0.011683
2600,2.0610,6236,6200,1.256107,1.248856,0.007251
2641,2.1020,6324,6248,1.273833,1.258524,0.015309
2682,2.1430,6232,6184,1.255301,1.245633,0.009669
2724,2.1850,6273,6228,1.263560,1.254496,0.009064
2765,2.2260,6216,6188,1.252078,1.246438,0.005640
2806,2.2670,6256,6202,1.260136,1.249258,0.010877
2847,2.3080,6278,6234,1.264567,1.255704,0.008863
2888,2.3490,6216,6314,1.252078,1.271818,-0.019740
2929,2.3900,6260,6216,1.260941,1.252078,0.008863
2970,2.4310,6210,6208,1.250870,1.250467,0.000403
3014,2.4750,6210,6308,1.250870,1.270610,-0.019740
3055,2.5160,6280,6220,1.264970,1.252884,0.012086
3096,2.5570,6208,6252,1.250467,1.259330,-0.008863
3137,2.5980,6242,6188,1.257316,1.246438,0.010877
3179,2.6400,6289,6241,1.266783,1.257114,0.009669
3220,2.6810,6242,6187,1.257316,1.246237,0.011079
3261,2.7220,6295,6244,1.267991,1.257718,0.010273
3302,2.7630,6234,6176,1.255704,1.244021,0.011683
3343,2.8040,6282,6220,1.265373,1.252884,0.012489
3384,2.8450,6220,6181,1.252884,1.245028,0.007856
3425,2.8860,6273,6232,1.263560,1.255301,0.008259
3466,2.9270,6230,6176,1.254898,1.244021,0.010877
3508,2.9690,6272,6218,1.263358,1.252481,0.010877
3549,3.0100,6209,6261,1.250668,1.261143,-0.010474
3590,3.0510,6258,6209,1.260538,1.250668,0.009870
3631,3.0920,6208,6303,1.250467,1.269603,-0.019136
3672,3.1330,6264,6214,1.261747,1.251676,0.010071
3713,3.1740,6208,6260,1.250467,1.260941,-0.010474
3754,3.2150,6243,6189,1.257517,1.246640,0.010877
3795,3.2560,6285,6224,1.265977,1.253690,0.012287
3837,3.2980,6208,6257,1.250467,1.260337,-0.009870
3878,3.3390,6248,6202,1.258524,1.249258,0.009266
3919,3.3800,6291,6242,1.267185,1.257316,0.009870
