t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,6275,6307,1.263963,1.270408,-0.006446
43,-0.4960,6203,6214,1.249460,1.251676,-0.002216
84,-0.4550,6292,6259,1.267387,1.260740,0.006647
125,-0.4140,6214,6208,1.251676,1.250467,0.001209
166,-0.3730,6322,6249,1.273430,1.258726,0.014704
207,-0.3320,6232,6186,1.255301,1.246036,0.009266
248,-0.2910,6173,6236,1.243417,1.256107,-0.012690
289,-0.2500,6248,6186,1.258524,1.246036,0.012489
330,-0.2090,6176,6226,1.244021,1.254093,-0.010071
371,-0.1680,6274,6308,1.263761,1.270610,-0.006849
412,-0.1270,6204,6209,1.249661,1.250668,-0.001007
454,-0.0850,6318,6260,1.272624,1.260941,0.011683
495,-0.0440,6232,6200,1.255301,1.248856,0.006446
536,-0.0030,1080,6180,0.217543,1.244827,-1.027284
580,0.0410,2652,6236,0.534188,1.256107,-0.721919
621,0.0820,3608,6314,0.726753,1.271818,-0.545065
662,0.1230,4308,6214,0.867753,1.251676,-0.383922
703,0.1640,4740,6271,0.954770,1.263157,-0.308387
744,0.2050,5120,6204,1.031313,1.249661,-0.218348
785,0.2460,5317,6238,1.070994,1.256510,-0.185515
827,0.2880,5520,6252,1.111884,1.259330,-0.147446
868,0.3290,5692,6190,1.146530,1.246841,-0.100311
909,0.3700,5856,6242,1.179564,1.257316,-0.077751
950,0.4110,5892,6184,1.186816,1.245633,-0.058817
991,0.4520,5950,6308,1.198498,1.270610,-0.072111
1035,0.4960,6052,6212,1.219044,1.251273,-0.032229
1076,0.5370,6040,6258,1.216627,1.260538,-0.043911
1117,0.5780,6112,6196,1.231130,1.248050,-0.016920
1158,0.6190,6191,6252,1.247043,1.259330,-0.012287
1199,0.6600,6156,6173,1.239993,1.243417,-0.003424
1240,0.7010,6217,6226,1.252280,1.254093,-0.001813
1282,0.7430,6170,6308,1.242813,1.270610,-0.027797
1323,0.7840,6228,6216,1.254496,1.252078,0.002417
1364,0.8250,6182,6267,1.245230,1.262351,-0.017121
1405,0.8660,6240,6200,1.256913,1.248856,0.008057
1446,0.9070,6324,6248,1.273833,1.258524,0.015309
1487,0.9480,6228,6176,1.254496,1.244021,0.010474
1528,0.9890,6280,6234,1.264970,1.255704,0.009266
1569,1.0300,6232,6177,1.255301,1.244223,0.011079
1611,1.0720,6272,6221,1.263358,1.253086,0.010273
1652,1.1130,6214,6268,1.251676,1.262553,-0.010877
1693,1.1540,6266,6204,1.262150,1.249661,0.012489
1734,1.1950,6338,6246,1.276653,1.258121,0.018531
1775,1.2360,6254,6185,1.259733,1.245834,0.013899
1816,1.2770,6277,6198,1.264366,1.248453,0.015913
1857,1.3180,6298,6234,1.268595,1.255704,0.012891
1898,1.3590,6241,6176,1.257114,1.244021,0.013093
1940,1.4010,6290,6228,1.266984,1.254496,0.012489
1981,1.4420,6276,6214,1.264164,1.251676,0.012489
2025,1.4860,6221,6262,1.253086,1.261344,-0.008259
