Time (ms),A2-A3 (V)
0,0.12303
0.068259,0.069602
0.13652,0.10089
0.20478,0.082608
0.27304,0.095263
0.3413,0.069602
0.40956,0.08999
0.47782,0.092451
0.54608,0.091045
0.61433,0.094209
0.68259,0.079796
0.75085,0.11741
0.81911,0.08999
0.88737,0.093857
0.95563,0.094209
1.0239,0.070305
1.0922,0.085069
1.1604,0.10018
1.2287,0.10335
1.2969,0.08999
1.3652,0.1037
1.4334,0.093505
1.5017,0.053783
1.57,0.10897
1.6382,0.085772
1.7065,0.10546
1.7747,0.084366
1.843,0.089287
1.9113,0.103
1.9795,0.096318
2.0478,0.084717
2.116,0.1044
2.1843,0.080851
2.2526,0.082608
2.3208,0.10757
2.3891,0.081905
2.4573,0.103
2.5256,0.10897
2.5939,0.069953
2.6621,0.07839
2.7304,0.11389
2.7986,0.10089
2.8669,0.091748
2.9352,0.086123
3.0034,0.086475
3.0717,0.067141
3.1399,0.085772
3.2082,0.062923
3.2765,0.08542
3.3447,0.079796
3.413,0.066087
3.4812,0.084366
3.5495,0.061517
3.6177,0.06925
3.686,0.1044
3.7543,0.10546
3.8225,0.088584
3.8908,0.081202
3.959,0.095615
4.0273,0.10721
4.0956,0.086827
4.1638,0.081554
4.2321,0.090342
4.3003,0.098778
4.3686,0.076281
4.4369,0.24361
4.5051,0.48651
4.5734,0.53818
4.6416,0.4496
4.7099,0.41304
4.7782,0.32832
4.8464,0.2661
4.9147,0.19158
4.9829,0.17295
5.0512,0.14448
5.1195,0.11319
5.1877,0.10194
5.256,0.11249
5.3242,0.10862
5.3925,0.10792
5.4608,0.076281
5.529,0.061517
5.5973,0.099481
5.6655,0.074875
5.7338,0.10018
5.802,0.10475
5.8703,0.080148
5.9386,0.10335
6.0068,0.097372
6.0751,-0.043589
6.1433,-0.11319
6.2116,-0.092099
6.2799,-0.015116
6.3481,-0.035855
6.4164,0.031989
6.4846,0.059759
6.5529,0.069602
6.6212,0.088936
6.6894,0.066087
6.7577,0.092802
6.8259,0.10511
6.8942,0.072414
6.9625,0.065735
7.0307,0.094209
