Time (ms),A2-A3 (V)
0,0.014061
0.068182,-0.0087881
0.13636,-0.0014061
0.20455,-0.013358
0.27273,0.0038668
0.34091,0.0059759
0.40909,0.0087881
0.47727,-0.020388
0.54545,-0.0010546
0.61364,-0.0028122
0.68182,-0.014764
0.75,-0.0098427
0.81818,-0
0.88636,-0.012303
0.95455,-0.023201
1.0227,0.024607
1.0909,-0.0049213
1.1591,-0.014061
1.2273,-0.0042183
1.2955,-0.038316
1.3636,0.014413
1.4318,0.006679
1.5,0.0091396
1.5682,0.00070305
1.6364,0.0031637
1.7045,-0.0098427
1.7727,0.030583
1.8409,0.023552
1.9091,0.012303
1.9773,0.014413
2.0455,0.0014061
2.1136,0.016873
2.1818,0.015819
2.25,-0.021795
2.3182,-0.0014061
2.3864,-0.0077335
2.4545,0.030583
2.5227,-0.013358
2.5909,-0.013006
2.6591,-0.018279
2.7273,-0.0084366
2.7955,-0.0024607
2.8636,-0.0080851
2.9318,0.0024607
3,0.02531
3.0682,-0.018279
3.1364,0.0021091
3.2045,-0.02531
3.2727,-0.01617
3.3409,-0.011249
3.4091,-0.013006
3.4773,-0.022146
3.5455,-0.021795
3.6136,0.0098427
3.6818,-0.0042183
3.75,0.022498
3.8182,-0.007382
3.8864,0.012655
3.9545,-0.0052729
4.0227,-0.0035152
4.0909,0.029177
4.1591,-0.0031637
4.2273,0.0010546
4.2955,-0.010546
4.3636,0.010546
4.4318,-0
4.5,0.0070305
4.5682,-0.0017576
4.6364,-0.0084366
4.7045,-0.0017576
4.7727,-0.020037
4.8409,-0.0080851
4.9091,-0.021443
4.9773,-0.0091396
5.0455,-0.022498
5.1136,-0.0098427
5.1818,0.023201
5.25,-0.0070305
5.3182,0.019334
5.3864,-0.013709
5.4545,0.0070305
5.5227,0.0059759
5.5909,-0.0056244
5.6591,-0.0028122
5.7273,-0.010546
5.7955,-0.006679
5.8636,0.0021091
5.9318,-0.0035152
6,-0.0024607
6.0682,-0.026013
6.1364,-0.013358
6.2045,-0.011249
6.2727,0.0080851
6.3409,-0.0028122
6.4091,0.0042183
6.4773,0.0116
6.5455,0.00035152
6.6136,0.017576
6.6818,-0.0035152
6.75,-0.044995
6.8182,-0.0038668
6.8864,-0.007382
6.9545,-0.054486
7.0227,-0.00070305
7.0909,-0.031286
7.1591,0.0098427
7.2273,-0.015819
7.2955,-0.007382
7.3636,-0.0063274
7.4318,-0.016873
7.5,0.0094912
7.5682,0.018279
7.6364,0.0010546
7.7045,-0.020388
7.7727,-0.0091396
7.8409,0.0087881
7.9091,-0.015819
7.9773,-0.012655
8.0455,0.0052729
8.1136,0.007382
8.1818,-0.00070305
8.25,-0.016522
8.3182,-0.0070305
8.3864,-0.0017576
8.4545,-0.0077335
8.5227,-0.017928
8.5909,-0.023201
8.6591,0.016522
8.7273,-0.0010546
8.7955,-0.024607
8.8636,-0.0035152
8.9318,0.0056244
9,-0.0038668
9.0682,-0.0038668
9.1364,-0.0077335
9.2045,-0.030231
9.2727,-0.0031637
9.3409,-0.010194
9.4091,0.0116
9.4773,-0.0017576
9.5455,-0.0028122
9.6136,-0.026364
9.6818,-0.011952
9.75,-0.026013
9.8182,-0.01617
9.8864,0.0021091
9.9545,-0.0028122
10.023,0.0035152
10.091,0.006679
10.159,-0.007382
10.227,-0.0070305
10.295,-0.0077335
10.364,-0.039722
10.432,0.011952
10.5,0.0098427
10.568,-0.00070305
10.636,-0.0091396
10.705,-0.0038668
10.773,-0.018279
10.841,0.0070305
10.909,0.013709
10.977,-0.0063274
11.045,-0.015467
11.114,0.0087881
11.182,-0.013006
11.25,0.0010546
11.318,0.0091396
11.386,-0.015467
11.455,-0.013006
11.523,-0.02988
11.591,0.0017576
11.659,-0.014764
11.727,0.0077335
11.795,-0.022146
11.864,0.0045698
11.932,0.0052729
12,0.016522
12.068,-0.021443
12.136,-0.0038668
12.205,-0.02988
12.273,-0.013358
12.341,-0.0014061
12.409,0.058353
12.477,0.0091396
12.545,0.0094912
12.614,0.0017576
12.682,-0.030231
12.75,0.0077335
12.818,-0.0024607
12.886,0.0098427
12.955,-0.00035152
13.023,-0.0042183
13.091,-0.00035152
13.159,-0.0063274
13.227,-0
13.295,-0.011952
13.364,-0.031637
13.432,-0.0052729
13.5,0.018279
13.568,-0.0091396
13.636,-0.025661
13.705,-0.0035152
13.773,0.015116
13.841,0.034449
13.909,0.013006
13.977,0.013006
14.045,-0.0017576
14.114,0.023552
14.182,0.031286
14.25,-0.0084366
14.318,0.023904
14.386,-0.013006
14.455,0.0010546
14.523,0.007382
14.591,-0.0014061
14.659,-0.0045698
14.727,-0.012655
14.795,-0.035855
14.864,0.01617
14.932,0.016522
15,0.00035152
15.068,0.0056244
15.136,-0.012303
15.205,0.0045698
15.273,-0.0059759
15.341,-0.027067
15.409,-0.025661
15.477,-0.019334
15.545,-0.0035152
15.614,-0.025661
15.682,-0.0028122
15.75,-0.019334
15.818,-0.0028122
15.886,-0.0035152
15.955,0.0045698
16.023,0.0010546
16.091,-0.012303
16.159,0.017225
16.227,-0.0098427
16.295,-0.013006
16.364,-0.0049213
16.432,0.0045698
16.5,-0.020388
16.568,-0.007382
16.636,-0.0087881
16.705,-0.0049213
16.773,0.034801
16.841,-0.0116
16.909,-0.058353
16.977,-0.016873
17.045,-0.0042183
17.114,-0.013358
17.182,-0.0049213
17.25,-0.015819
17.318,-0.02988
17.386,0.012303
17.455,0.013358
17.523,0.017928
17.591,0.0116
17.659,-0.017225
17.727,-0.0091396
17.795,-0.012303
17.864,-0.011249
17.932,0.0024607
18,-0.00070305
18.068,-0.010897
18.136,-0.007382
18.205,0.0084366
18.273,-0.01617
18.341,-0.019685
18.409,-0.0031637
18.477,0.0024607
18.545,-0.02074
18.614,-0.010546
18.682,0.012303
18.75,-0.035504
18.818,-0.037965
18.886,-0.015116
18.955,-0.02531
19.023,0.006679
19.091,0.014061
19.159,0.010194
19.227,0.0098427
19.295,-0.0098427
19.364,-0.0042183
19.432,-0.0052729
19.5,-0.012303
19.568,-0.0042183
19.636,-0.0028122
19.705,-0.0017576
19.773,-0.0038668
19.841,-0.00035152
19.909,-0.0063274
19.977,-0.0049213
20.045,-0.0077335
20.114,0.014413
20.182,0.016522
20.25,-0.0077335
20.318,0.0021091
20.386,0.018631
20.455,-0.02531
20.523,-0.0084366
20.591,0.0077335
20.659,-0.006679
20.727,0.0010546
20.795,-0.0031637
20.864,-0.0059759
20.932,0.0014061
21,0.0028122
21.068,-0.0077335
21.136,-0.0056244
21.205,-0.0063274
21.273,-0.0080851
21.341,-0.024607
21.409,0.024607
21.477,-0.0094912
21.545,0.0028122
21.614,-0.0021091
21.682,0.0021091
21.75,0.022498
21.818,-0.0084366
21.886,0.010546
21.955,-0.017225
22.023,-0.011249
22.091,-0.019685
22.159,-0.015467
22.227,-0.020388
22.295,-0.0049213
22.364,-0.0024607
22.432,0.0087881
22.5,-0.0014061
22.568,-0.0014061
22.636,0.010897
22.705,-0.0084366
22.773,0.011249
22.841,0.0056244
22.909,0.0017576
22.977,0.00035152
23.045,-0.006679
23.114,0.0084366
23.182,-0.0098427
23.25,-0.0045698
23.318,-0.012303
23.386,-0.0024607
23.455,-0.0094912
23.523,-0.010194
23.591,-0.021443
23.659,-0.03234
23.727,0.0045698
23.795,-0.011249
23.864,0.035855
23.932,-0.034449
24,-0.011249
24.068,0.0017576
24.136,0.011249
24.205,0.017576
