Time (ms),A2-A3 (V)
0,0.11143
0.068182,0.14659
0.13636,0.17295
0.20455,0.15256
0.27273,0.1276
0.34091,0.14131
0.40909,0.13991
0.47727,0.10757
0.54545,0.15432
0.61364,0.16451
0.68182,0.15819
0.75,0.14905
0.81818,0.1617
0.88636,0.10897
0.95455,0.13288
1.0227,0.14131
1.0909,0.14448
1.1591,0.13815
1.2273,0.13147
1.2955,0.1494
1.3636,0.15045
1.4318,0.15362
1.5,0.17506
1.5682,0.12585
1.6364,0.1835
1.7045,0.14307
1.7727,0.15397
1.8409,0.1494
1.9091,0.1726
1.9773,0.14202
2.0455,0.16135
2.1136,0.15748
2.1818,0.16135
2.25,0.15748
2.3182,0.15678
2.3864,0.13042
2.4545,0.16838
2.5227,0.15326
2.5909,0.17717
2.6591,0.15573
2.7273,0.1392
2.7955,0.14483
2.8636,0.16873
2.9318,0.15397
3,0.14272
3.0682,0.17717
3.1364,0.15291
3.2045,0.1508
3.2727,0.13745
3.3409,0.13569
3.4091,0.15502
3.4773,0.17295
3.5455,0.1624
3.6136,0.1508
3.6818,0.14588
3.75,0.12655
3.8182,0.15151
3.8864,0.1849
3.9545,0.14413
4.0227,0.15362
4.0909,0.14694
4.1591,0.14131
4.2273,0.16943
4.2955,0.15221
4.3636,0.14202
4.4318,0.15045
4.5,0.13709
4.5682,0.15889
4.6364,0.15643
4.7045,0.15608
4.7727,0.1378
4.8409,0.16346
4.9091,0.13569
4.9773,0.1501
5.0455,0.17647
5.1136,0.17576
5.1818,0.15889
5.25,0.15151
5.3182,0.15151
5.3864,0.17471
5.4545,0.15537
5.5227,0.14975
5.5909,0.16627
5.6591,0.17963
5.7273,0.17014
5.7955,0.16873
5.8636,0.15291
5.9318,0.15326
6,0.15678
6.0682,0.14026
6.1364,0.14623
6.2045,0.14061
6.2727,0.16311
6.3409,0.17049
6.4091,0.17787
6.4773,0.15854
6.5455,0.19123
6.6136,0.18771
6.6818,0.16838
6.75,0.15678
6.8182,0.14202
6.8864,0.17541
6.9545,0.1508
7.0227,0.19756
7.0909,0.16768
7.1591,0.19017
7.2273,0.16592
7.2955,0.17822
7.3636,0.16311
7.4318,0.15608
7.5,0.14061
7.5682,0.16065
7.6364,0.14342
7.7045,0.17154
7.7727,0.16381
7.8409,0.17893
7.9091,0.16979
7.9773,0.18666
8.0455,0.19123
8.1136,0.19264
8.1818,0.174
8.25,0.17576
8.3182,0.19299
8.3864,0.1508
8.4545,0.1951
8.5227,0.18174
8.5909,0.17682
8.6591,0.18174
8.7273,0.17365
8.7955,0.15608
8.8636,0.1835
8.9318,0.16557
9,0.17154
9.0682,0.18033
9.1364,0.18877
9.2045,0.18209
9.2727,0.23236
9.3409,0.1958
9.4091,0.16205
9.4773,0.23939
9.5455,0.62853
9.6136,0.78249
9.6818,0.78812
9.75,0.71149
9.8182,0.6236
9.8864,0.52166
9.9545,0.43659
10.023,0.36207
10.091,0.32129
10.159,0.25802
10.227,0.23165
10.295,0.20634
10.364,0.20424
10.432,0.2081
10.5,0.23306
10.568,0.19369
10.636,0.18631
10.705,0.20599
10.773,0.174
10.841,0.18666
10.909,0.16803
10.977,0.1849
11.045,0.1849
11.114,0.054135
11.182,-0.05308
11.25,-0.099481
11.318,-0.089639
11.386,-0.006679
11.455,0.062571
11.523,0.085069
11.591,0.11565
11.659,0.13288
11.727,0.14413
11.795,0.12655
11.864,0.16522
11.932,0.15959
12,0.18314
12.068,0.14694
12.136,0.18104
12.205,0.16381
12.273,0.18455
12.341,0.15678
12.409,0.15994
12.477,0.1624
12.545,0.161
12.614,0.1835
12.682,0.16135
12.75,0.13534
12.818,0.1719
12.886,0.15256
12.955,0.14166
13.023,0.1842
13.091,0.14975
13.159,0.17084
13.227,0.16873
13.295,0.17822
13.364,0.16557
13.432,0.15116
13.5,0.20142
13.568,0.15397
13.636,0.14905
13.705,0.15537
13.773,0.17471
13.841,0.11987
13.909,0.14342
13.977,0.13463
14.045,0.15502
14.114,0.14659
14.182,0.1733
14.25,0.15678
14.318,0.12268
14.386,0.13991
14.455,0.15854
14.523,0.11987
14.591,0.13604
14.659,0.12866
14.727,0.12971
14.795,0.11319
14.864,0.14061
14.932,0.16135
15,0.15573
15.068,0.15045
15.136,0.13393
15.205,0.18068
15.273,0.14272
15.341,0.14764
15.409,0.16838
15.477,0.13674
15.545,0.1494
15.614,0.15397
15.682,0.15291
15.75,0.12163
15.818,0.13956
15.886,0.14905
15.955,0.12409
16.023,0.14869
16.091,0.10932
16.159,0.16276
16.227,0.14518
16.295,0.15854
16.364,0.16486
16.432,0.16416
16.5,0.1378
16.568,0.1378
16.636,0.14096
16.705,0.16838
16.773,0.14061
16.841,0.15537
16.909,0.15326
16.977,0.14483
17.045,0.13428
17.114,0.12128
17.182,0.16803
17.25,0.15256
17.318,0.13956
17.386,0.12795
17.455,0.13323
17.523,0.13569
17.591,0.15432
17.659,0.16311
17.727,0.14553
17.795,0.15889
17.864,0.16416
17.932,0.14202
18,0.13252
18.068,0.14307
18.136,0.10511
18.205,0.13323
18.273,0.14764
18.341,0.17049
18.409,0.13815
18.477,0.13991
18.545,0.16522
18.614,0.16346
18.682,0.14623
18.75,0.14026
18.818,0.13463
18.886,0.14764
18.955,0.14413
19.023,0.1385
19.091,0.15678
19.159,0.13956
19.227,0.15502
19.295,0.15537
19.364,0.14342
19.432,0.16486
19.5,0.14131
19.568,0.15186
19.636,0.17295
19.705,0.1385
19.773,0.13323
19.841,0.161
19.909,0.14729
19.977,0.14413
20.045,0.14377
20.114,0.13428
20.182,0.13604
20.25,0.19123
20.318,0.13077
20.386,0.12339
20.455,0.15573
20.523,0.14483
20.591,0.18279
20.659,0.14694
20.727,0.13991
20.795,0.15397
20.864,0.15537
20.932,0.15256
21,0.174
21.068,0.14518
21.136,0.14764
21.205,0.1617
21.273,0.18385
21.341,0.15573
21.409,0.12585
21.477,0.16627
21.545,0.44784
21.614,0.72309
21.682,0.78636
21.75,0.73785
21.818,0.67633
21.886,0.56385
21.955,0.45663
22.023,0.37332
22.091,0.32727
22.159,0.29669
22.227,0.2647
22.295,0.20494
22.364,0.20424
22.432,0.1835
22.5,0.17822
22.568,0.1733
22.636,0.1849
22.705,0.16592
22.773,0.16979
22.841,0.17682
22.909,0.18104
