Time (ms),A2-A3 (V)
0,0.050268
0.068182,0.018982
0.13636,-0.013709
0.20455,-0.033395
0.27273,-0.0035152
0.34091,-0.028122
0.40909,-0.0035152
0.47727,-0.028122
0.54545,-0.040074
0.61364,-0.0084366
0.68182,-0.023201
0.75,-0.01617
0.81818,0.021091
0.88636,0.0087881
0.95455,0.024255
1.0227,-0.013358
1.0909,0.0077335
1.1591,0.024607
1.2273,0.00035152
1.2955,-0.020388
1.3636,0.007382
1.4318,0.0056244
1.5,0.021091
1.5682,0.0045698
1.6364,-0.0049213
1.7045,-0.014061
1.7727,0.0028122
1.8409,-0.0014061
1.9091,-0.018982
1.9773,0.018279
2.0455,-0.011952
2.1136,-0.022146
2.1818,-0.0028122
2.25,0.0070305
2.3182,0.0070305
2.3864,0.015819
2.4545,0.05308
2.5227,-0.0028122
2.5909,0.012303
2.6591,-0.0059759
2.7273,-0.017576
2.7955,-0.026716
2.8636,0.0024607
2.9318,-0.0031637
3,-0.006679
3.0682,-0.015116
3.1364,-0.0017576
3.2045,-0.0010546
3.2727,-0.0052729
3.3409,0.0070305
3.4091,-0.012655
3.4773,-0.017928
3.5455,0.0059759
3.6136,0.024958
3.6818,0.00035152
3.75,0.012655
3.8182,0.0014061
3.8864,-0.022498
3.9545,-0.024958
4.0227,0.0045698
4.0909,0.018631
4.1591,-0.036559
4.2273,-0.013709
4.2955,0.022849
4.3636,-0.017576
4.4318,0.042886
4.5,0.058002
4.5682,0.050971
4.6364,0.069953
4.7045,0.039722
4.7727,0.041831
4.8409,0.031286
4.9091,0.023552
4.9773,0.029177
5.0455,0.013709
5.1136,-0.0087881
5.1818,-0.0063274
5.25,0.030231
5.3182,0.0080851
5.3864,-0.0116
5.4545,0.0056244
5.5227,-0.012655
5.5909,-0.00035152
5.6591,-0.0063274
5.7273,-0.013006
5.7955,-0.0017576
5.8636,-0.026716
5.9318,-0.0010546
6,-0.0049213
6.0682,-0.028473
6.1364,-0.091396
6.2045,-0.086827
6.2727,-0.085069
6.3409,-0.078038
6.4091,-0.027419
6.4773,-0.057298
6.5455,-0.049213
6.6136,-0.054486
6.6818,-0.010897
6.75,-0.03234
6.8182,0.0059759
6.8864,-0.024255
6.9545,0.010194
7.0227,-0.01617
7.0909,0.028473
7.1591,-0.012303
7.2273,-0.0080851
7.2955,-0.0070305
7.3636,0.0084366
7.4318,0.0052729
7.5,-0.013358
7.5682,-0.030583
7.6364,-0.007382
7.7045,-0.0077335
7.7727,-0.014061
7.8409,-0.0028122
7.9091,-0.0098427
7.9773,-0.012303
8.0455,0.024255
8.1136,-0.014413
8.1818,-0.020037
8.25,-0.010194
8.3182,-0.018982
8.3864,0.015467
8.4545,-0.012303
8.5227,-0.015819
8.5909,-0.024255
8.6591,-0
8.7273,-0.013006
8.7955,0.0014061
8.8636,0.0010546
8.9318,0.01617
9,-0.015467
9.0682,0.028825
9.1364,-0.0042183
9.2045,-0.020037
9.2727,0.0021091
9.3409,-0.0045698
9.4091,0.012303
9.4773,0.0045698
9.5455,-0.010194
9.6136,-0.0010546
9.6818,0.013709
9.75,-0.0052729
9.8182,0.015116
9.8864,-0.0094912
9.9545,0.0045698
10.023,0.0056244
10.091,-0.013006
10.159,-0.011249
10.227,-0.013006
10.295,-0.023552
10.364,-0.0038668
10.432,0.0035152
10.5,0.0059759
10.568,0.0091396
10.636,-0.010897
10.705,-0.0024607
10.773,-0.0042183
10.841,-0.0045698
10.909,0.0049213
10.977,-0.0038668
11.045,0.010194
11.114,0.0038668
11.182,0.0045698
11.25,-0.0084366
11.318,0.0031637
11.386,0.01617
11.455,-0.014061
11.523,-0.007382
11.591,-0.011952
11.659,0.013006
11.727,0.035152
11.795,-0.0042183
11.864,0.0017576
11.932,0.012655
12,0.0098427
12.068,0.0035152
12.136,-0.0028122
12.205,-0.0035152
12.273,0.0084366
12.341,0.0059759
12.409,-0.031286
12.477,0.0024607
12.545,-0.020388
12.614,-0.0098427
12.682,-0.023201
12.75,-0.0024607
12.818,0.033395
12.886,-0.012303
12.955,-0.007382
13.023,-0.0042183
13.091,0.0056244
13.159,-0.020388
13.227,0.015819
13.295,0.011952
13.364,-0.0052729
13.432,-0.006679
13.5,-0.059408
13.568,0.019334
13.636,-0.0084366
13.705,0.011952
13.773,0.031637
13.841,-0.012303
13.909,-0
13.977,-0.011952
14.045,-0.0038668
14.114,0.0070305
14.182,-0.007382
14.25,0.010897
14.318,-0.0021091
14.386,-0.0045698
14.455,0.02531
14.523,0.018279
14.591,-0.035504
14.659,0.0084366
14.727,-0.016522
14.795,-0.026364
14.864,-0.0098427
14.932,0.011952
15,-0.0094912
15.068,-0.010546
15.136,-0.016522
15.205,0.0014061
15.273,-0.015819
15.341,0.0059759
15.409,-0.020037
15.477,-0.024607
15.545,0.0077335
15.614,0.0010546
15.682,-0.010546
15.75,0.03234
15.818,0.0098427
15.886,0.0028122
15.955,-0.0059759
16.023,-0.0116
16.091,-0.0038668
16.159,0.0094912
16.227,0.023201
16.295,0.012655
16.364,-0.0052729
16.432,-0
16.5,0.016522
16.568,0.095263
16.636,0.03234
16.705,0.053783
16.773,0.030583
16.841,0.023904
16.909,0.00035152
16.977,0.023904
17.045,0.0056244
17.114,-0.016522
17.182,0.019685
17.25,-0.016873
17.318,0.0035152
17.386,-0.0031637
17.455,0.029177
17.523,-0.0098427
17.591,0.0021091
17.659,0.018279
17.727,0.01617
17.795,-0.0063274
17.864,-0
17.932,-0.020388
18,-0.007382
18.068,-0.029528
18.136,-0.098427
18.205,-0.090693
18.273,-0.058353
18.341,-0.048862
18.409,-0.060462
18.477,-0.052377
18.545,-0.043941
18.614,-0.027067
18.682,-0.027067
18.75,0.010546
18.818,-0.051323
18.886,-0.011952
18.955,-0.007382
19.023,0.0080851
19.091,-0.0024607
19.159,0.0070305
19.227,-0.006679
19.295,0.028122
19.364,-0.025661
19.432,-0.013709
19.5,-0.0052729
19.568,-0.025661
19.636,-0
19.705,-0.007382
19.773,-0.0094912
19.841,-0.0035152
19.909,0.0028122
19.977,0.0094912
20.045,0.013006
20.114,-0.0087881
20.182,-0.0052729
20.25,-0.015819
20.318,-0.018631
20.386,0.0042183
20.455,-0.0087881
20.523,-0.013709
20.591,-0.0070305
20.659,-0.00070305
20.727,0.010546
20.795,0.0087881
20.864,-0
20.932,-0.0077335
21,0.0049213
21.068,-0.00070305
21.136,0.031637
21.205,0.013006
21.273,0.0031637
21.341,-0.028473
21.409,-0.0077335
21.477,-0.0087881
21.545,0.0017576
21.614,-0.0010546
21.682,0.011249
21.75,0.0028122
21.818,0.012303
21.886,0.018631
21.955,0.013006
22.023,-0.011249
22.091,0.023201
22.159,0.0035152
22.227,0.0084366
22.295,0.0028122
22.364,-0.016873
22.432,0.0014061
22.5,-0.0056244
22.568,-0.00070305
22.636,-0.018982
22.705,-0.006679
22.773,0.010194
22.841,-0.006679
22.909,-0
22.977,-0.0070305
23.045,0.0059759
23.114,0.0031637
23.182,-0.0063274
23.25,0.0059759
23.318,-0.0059759
23.386,0.028122
23.455,-0.029177
23.523,-0.0038668
23.591,-0
23.659,-0.0021091
23.727,0.00070305
23.795,-0.041831
23.864,-0.018279
23.932,-0
24,-0.0031637
24.068,0.031286
24.136,-0.0049213
24.205,0.0059759
24.273,-0.036207
24.341,-0.0017576
24.409,0.010897
24.477,-0.0035152
24.545,-0.015467
24.614,-0.015819
24.682,-0.022146
24.75,0.0010546
24.818,0.007382
24.886,0.0077335
24.955,0.0059759
25.023,-0.025661
25.091,-0.030231
25.159,0.0077335
25.227,0.0017576
25.295,-0.02988
25.364,-0.007382
25.432,0.0049213
25.5,-0.017928
25.568,0.0024607
25.636,-0.027067
25.705,-0.016522
25.773,0.012303
25.841,-0.02777
25.909,0.0031637
25.977,-0.016873
26.045,-0.0031637
26.114,-0.019334
26.182,-0.0091396
26.25,-0.00070305
26.318,-0.0028122
26.386,0.012303
26.455,-0.017928
26.523,0.0014061
26.591,0.014764
26.659,-0.0116
26.727,-0.012303
26.795,0.0045698
26.864,-0
26.932,0.010194
27,-0.017225
27.068,-0.023904
27.136,-0.015467
27.205,-0.017576
27.273,-0.0028122
27.341,-0.018631
27.409,0.015116
27.477,-0.014061
27.545,-0.0094912
27.614,-0.007382
27.682,-0.012303
27.75,-0.013006
27.818,-0.055541
27.886,-0.019334
27.955,0.013358
28.023,0.013006
28.091,-0.010194
28.159,-0.0084366
28.227,-0.021795
28.295,-0.0077335
28.364,-0.0014061
28.432,-0.014061
28.5,0.026013
28.568,0.039371
28.636,0.059056
28.705,0.059408
28.773,0.027419
28.841,0.031637
28.909,0.031989
28.977,0.0077335
29.045,-0.0031637
29.114,0.011249
29.182,0.014764
29.25,0.010546
29.318,0.0070305
29.386,-0.014764
29.455,0.007382
29.523,0.028122
29.591,-0.038316
29.659,-0.013006
29.727,-0.010546
29.795,-0.013006
29.864,0.0021091
29.932,-0.016873
