Time (ms),A2-A3 (V)
0,0.12057
0.070455,0.10511
0.14091,0.11249
0.21136,0.098778
0.28182,0.11987
0.35227,0.10897
0.42273,0.084014
0.49318,0.10018
0.56364,0.10229
0.63409,0.10194
0.70455,0.094912
0.775,0.076984
0.84545,0.11952
0.91591,0.1044
0.98636,0.095615
1.0568,0.1146
1.1273,0.095263
1.1977,0.11178
1.2682,0.099833
1.3386,0.084366
1.4091,0.13252
1.4795,0.13323
1.55,0.10792
1.6205,0.11987
1.6909,0.09456
1.7614,0.12092
1.8318,0.11987
1.9023,0.12866
1.9727,0.1153
2.0432,0.11073
2.1136,0.11038
2.1841,0.1153
2.2545,0.093505
2.325,0.1378
2.3955,0.11425
2.4659,0.094209
2.5364,0.12409
2.6068,0.10721
2.6773,0.11846
2.7477,0.066438
2.8182,0.11249
2.8886,0.099833
2.9591,0.11671
3.0295,0.08999
3.1,0.088233
3.1705,0.054486
3.2409,0.081905
3.3114,0.088233
3.3818,0.083663
3.4523,0.094209
3.5227,0.10792
3.5932,0.086827
3.6636,0.072414
3.7341,0.35645
3.8045,0.65067
3.875,0.73012
3.9455,0.64364
4.0159,0.53994
4.0864,0.43624
4.1568,0.33043
4.2273,0.28192
4.2977,0.24642
4.3682,0.19334
4.4386,0.18947
4.5091,0.16838
4.5795,0.15783
4.65,0.14131
4.7205,0.085772
4.7909,0.12374
4.8614,0.11917
4.9318,0.11319
5.0023,0.12057
5.0727,0.10757
5.1432,0.12163
5.2136,0.11354
5.2841,0.11214
5.3545,-0.050971
5.425,-0.5772
5.4955,-0.73961
5.5659,-0.67211
5.6364,-0.59372
5.7068,-0.54803
5.7773,-0.53607
5.8477,-0.49284
5.9182,-0.42675
5.9886,-0.29317
6.0591,-0.23869
6.1295,-0.15819
6.2,-0.061165
6.2705,-0.044995
6.3409,-0.0049213
6.4114,0.04605
6.4818,0.060462
6.5523,0.075226
6.6227,0.044995
6.6932,0.055189
6.7636,0.081905
6.8341,0.061868
6.9045,0.07382
6.975,0.07839
7.0455,0.076984
7.1159,0.062923
7.1864,0.079093
7.2568,0.075578
7.3273,0.10194
7.3977,0.10054
7.4682,0.11389
7.5386,0.10686
7.6091,0.10265
7.6795,0.11284
7.75,0.1146
7.8205,0.1044
7.8909,0.10616
7.9614,0.11635
8.0318,0.11565
8.1023,0.094209
8.1727,0.116
8.2432,0.11108
8.3136,0.067844
8.3841,0.11706
8.4545,0.091396
8.525,0.095966
8.5955,0.091396
8.6659,0.094912
8.7364,0.098778
8.8068,0.10546
8.8773,0.091045
8.9477,0.076281
9.0182,0.069602
9.0886,0.10721
9.1591,0.11143
9.2295,0.094209
9.3,0.070656
9.3705,0.10335
9.4409,0.1037
9.5114,0.082257
9.5818,0.10511
9.6523,0.09456
9.7227,0.13428
9.7932,0.087881
9.8636,0.099833
9.9341,0.10265
10.005,0.087881
10.075,0.097724
10.145,0.10124
10.216,0.12549
10.286,0.10475
10.357,0.103
10.427,0.11565
10.498,0.093154
10.568,0.12163
10.639,0.1269
10.709,0.1146
10.78,0.082257
10.85,0.10124
10.92,0.11319
10.991,0.097724
11.061,0.11389
11.132,0.097021
11.202,0.11495
11.273,0.080499
11.343,0.12057
11.414,0.10054
11.484,0.11776
11.555,0.094209
11.625,0.1044
11.695,0.10405
11.766,0.1146
11.836,0.078741
11.907,0.10054
11.977,0.095263
12.048,0.11249
12.118,0.12092
12.189,0.10265
12.259,0.11389
12.33,0.081905
12.4,0.10616
12.47,0.11249
12.541,0.084014
12.611,0.12092
12.682,0.14623
12.752,0.11143
12.823,0.11038
12.893,0.088936
12.964,0.10511
13.034,0.067493
13.105,0.10511
13.175,0.15643
13.245,0.13006
13.316,0.11987
13.386,0.096318
13.457,0.1044
13.527,0.12795
13.598,0.081202
13.668,0.12233
13.739,0.12901
13.809,0.10827
13.88,0.094912
13.95,0.10686
14.02,0.12339
14.091,0.090342
14.161,0.075226
14.232,0.10159
14.302,0.091045
14.373,0.10581
14.443,0.10616
14.514,0.14623
14.584,0.11565
14.655,0.097021
14.725,0.090693
14.795,0.08753
14.866,0.09456
14.936,0.082257
15.007,0.065032
15.077,0.09913
15.148,0.10405
15.218,0.088584
15.289,0.081554
15.359,0.11706
15.43,0.10054
15.5,0.10792
15.57,0.099833
15.641,0.12268
15.711,0.11038
15.782,0.098075
15.852,0.098427
15.923,0.11389
15.993,0.095263
16.064,0.10897
16.134,0.20072
16.205,0.55154
16.275,0.76316
16.345,0.65805
16.416,0.6106
16.486,0.46261
16.557,0.39371
16.627,0.31672
16.698,0.26153
16.768,0.22146
16.839,0.19334
16.909,0.14237
16.98,0.15467
17.05,0.11003
17.12,0.15924
17.191,0.11108
17.261,0.11917
17.332,0.11952
17.402,0.1276
17.473,0.12549
17.543,0.082257
17.614,0.12339
17.684,0.11389
17.755,0.099481
17.825,-0.3575
17.895,-0.72027
17.966,-0.71184
18.036,-0.60357
18.107,-0.58775
18.177,-0.52412
18.248,-0.49178
18.318,-0.40074
18.389,-0.34449
18.459,-0.26224
18.53,-0.16522
18.6,-0.10581
18.67,-0.061517
18.741,-0.0063274
18.811,0.029177
18.882,0.031989
18.952,0.061517
19.023,0.061165
19.093,0.075929
19.164,0.12022
19.234,0.10475
19.305,0.090693
19.375,0.064329
19.445,0.071008
19.516,0.095966
19.586,0.11319
19.657,0.086827
19.727,0.11917
19.798,0.1392
19.868,0.11073
19.939,0.088936
20.009,0.093505
20.08,0.082608
20.15,0.09456
20.22,0.10511
20.291,0.094912
20.361,0.094912
20.432,0.10862
20.502,0.10651
20.573,0.11178
20.643,0.098778
20.714,0.097724
20.784,0.091045
20.855,0.10616
20.925,0.097021
20.995,0.083663
21.066,0.1262
21.136,0.10686
21.207,0.11354
21.277,0.10054
21.348,0.085069
21.418,0.12795
21.489,0.11671
21.559,0.096318
21.63,0.11846
21.7,0.094209
21.77,0.12479
21.841,0.068196
21.911,0.12198
21.982,0.12479
22.052,0.091045
22.123,0.11284
22.193,0.084366
22.264,0.1037
22.334,0.099833
22.405,0.076984
22.475,0.087881
22.545,0.11108
22.616,0.10159
22.686,0.094912
22.757,0.12585
22.827,0.11917
22.898,0.086827
22.968,0.081554
23.039,0.10229
23.109,0.07382
23.18,0.11741
23.25,0.11425
23.32,0.076632
23.391,0.13534
23.461,0.095966
23.532,0.096669
23.602,0.10335
23.673,0.10265
23.743,0.10792
23.814,0.11319
23.884,0.13182
23.955,0.10897
24.025,0.095966
24.095,0.084366
24.166,0.094912
24.236,0.10862
24.307,0.10194
24.377,0.097021
24.448,0.098778
24.518,0.10335
24.589,0.087881
24.659,0.099481
24.73,0.11671
24.8,0.10159
24.87,0.15362
24.941,0.11108
25.011,0.10581
25.082,0.092802
25.152,0.076632
25.223,0.11389
25.293,0.1153
25.364,0.082257
25.434,0.094912
25.505,0.11073
25.575,0.12831
25.645,0.071359
25.716,0.10581
25.786,0.10546
25.857,0.09913
25.927,0.091396
25.998,0.094912
26.068,0.086827
26.139,0.09456
26.209,0.08542
26.28,0.10194
26.35,0.091748
26.42,0.086475
26.491,0.092802
26.561,0.087881
26.632,0.10265
26.702,0.11671
26.773,0.10229
26.843,0.092451
26.914,0.071359
26.984,0.11987
27.055,0.083663
27.125,0.11741
27.195,0.11178
27.266,0.10932
27.336,0.10721
27.407,0.09913
27.477,0.13288
27.548,0.10089
27.618,0.10194
27.689,0.12339
27.759,0.09913
27.83,0.088936
27.9,0.1153
27.97,0.1037
28.041,0.090342
28.111,0.13534
28.182,0.065735
28.252,0.079796
28.323,0.084014
28.393,0.10159
28.464,0.07382
28.534,0.082257
28.605,0.082257
28.675,0.066087
28.745,0.090342
28.816,0.089287
28.886,0.11214
28.957,0.11073
29.027,0.091396
29.098,0.083311
29.168,0.097021
29.239,0.13042
29.309,0.091045
29.38,0.079796
29.45,0.091748
29.52,0.085069
29.591,0.17857
29.661,0.49776
29.732,0.71395
29.802,0.70516
29.873,0.61341
29.943,0.50901
30.014,0.39863
30.084,0.30547
30.155,0.26083
30.225,0.24044
30.295,0.20107
30.366,0.17682
30.436,0.16135
30.507,0.15326
30.577,0.10089
30.648,0.13112
30.718,0.12163
30.789,0.10616
30.859,0.11425
30.93,0.1262
