t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,11215,12491,2.259018,2.516041,-0.257023
43,-0.4960,11325,12405,2.281176,2.498718,-0.217543
84,-0.4550,11347,12373,2.285607,2.492272,-0.206665
125,-0.4140,11339,12395,2.283996,2.496704,-0.212708
166,-0.3730,11341,12407,2.284398,2.499121,-0.214723
207,-0.3320,11337,12415,2.283593,2.500732,-0.217140
248,-0.2910,11353,12515,2.286816,2.520875,-0.234060
289,-0.2500,11323,12447,2.280773,2.507178,-0.226405
330,-0.2090,11319,12479,2.279967,2.513624,-0.233657
371,-0.1680,11317,12493,2.279564,2.516444,-0.236880
412,-0.1270,11313,12507,2.278758,2.519264,-0.240505
453,-0.0860,11311,12520,2.278356,2.521882,-0.243527
495,-0.0440,11300,12528,2.276140,2.523494,-0.247354
536,-0.0030,1256,12463,0.252994,2.510401,-2.257407
580,0.0410,4372,12479,0.880645,2.513624,-1.632979
621,0.0820,6224,12486,1.253690,2.515034,-1.261344
662,0.1230,7434,12495,1.497418,2.516847,-1.019429
703,0.1640,8263,12510,1.664402,2.519868,-0.855466
744,0.2050,8864,12519,1.785461,2.521681,-0.736220
785,0.2460,9317,12520,1.876708,2.521882,-0.645175
827,0.2880,9672,12480,1.948215,2.513825,-0.565611
868,0.3290,9943,12491,2.002802,2.516041,-0.513239
909,0.3700,10131,12503,2.040670,2.518458,-0.477788
950,0.4110,10260,12367,2.066654,2.491064,-0.424409
991,0.4520,10505,12479,2.116004,2.513624,-0.397619
1035,0.4960,10631,12485,2.141384,2.514832,-0.373448
1076,0.5370,10747,12499,2.164750,2.517652,-0.352902
1117,0.5780,10847,12511,2.184893,2.520070,-0.335177
1158,0.6190,10931,12519,2.201813,2.521681,-0.319868
1199,0.6600,10997,12496,2.215107,2.517048,-0.301941
1240,0.7010,11037,12465,2.223164,2.510804,-0.287640
1282,0.7430,11006,12383,2.216920,2.494287,-0.277367
1323,0.7840,11015,12387,2.218733,2.495092,-0.276360
1364,0.8250,11055,12399,2.226790,2.497510,-0.270720
1405,0.8660,11095,12414,2.234847,2.500531,-0.265684
1446,0.9070,11127,12430,2.241293,2.503754,-0.262461
1487,0.9480,11155,12439,2.246933,2.505567,-0.258634
1528,0.9890,11191,12461,2.254184,2.509998,-0.255814
1569,1.0300,11215,12475,2.259018,2.512818,-0.253800
1611,1.0720,11241,12491,2.264256,2.516041,-0.251785
1652,1.1130,11263,12493,2.268687,2.516444,-0.247757
1693,1.1540,11271,12502,2.270298,2.518257,-0.247958
1734,1.1950,11287,12516,2.273521,2.521077,-0.247555
1775,1.2360,11306,12520,2.277348,2.521882,-0.244534
1816,1.2770,11316,12512,2.279363,2.520271,-0.240908
1857,1.3180,11275,12447,2.271104,2.507178,-0.236074
1898,1.3590,11193,12391,2.254587,2.495898,-0.241311
1940,1.4010,11191,12406,2.254184,2.498920,-0.244735
1981,1.4420,11211,12399,2.258213,2.497510,-0.239297
2022,1.4830,11218,12409,2.259623,2.499524,-0.239901
2063,1.5240,11231,12419,2.262241,2.501538,-0.239297
2104,1.5650,11239,12441,2.263853,2.505970,-0.242117
2145,1.6060,11255,12455,2.267076,2.508790,-0.241714
2186,1.6470,11278,12471,2.271708,2.512012,-0.240304
2227,1.6880,11283,12441,2.272716,2.505970,-0.233254
2268,1.7290,11207,12512,2.257407,2.520271,-0.262864
2309,1.7700,11303,12507,2.276744,2.519264,-0.242520
2350,1.8110,11311,12519,2.278356,2.521681,-0.243325
2391,1.8520,11324,12528,2.280974,2.523494,-0.242520
2433,1.8940,11328,12512,2.281780,2.520271,-0.238491
2474,1.9350,11289,12395,2.273924,2.496704,-0.222780
2515,1.9760,11189,12369,2.253781,2.491467,-0.237685
2556,2.0170,11199,12391,2.255796,2.495898,-0.240103
2597,2.0580,11209,12395,2.257810,2.496704,-0.238894
2638,2.0990,11209,12405,2.257810,2.498718,-0.240908
2679,2.1400,11221,12415,2.260227,2.500732,-0.240505
2720,2.1810,11231,12429,2.262241,2.503552,-0.241311
2762,2.2230,11243,12447,2.264658,2.507178,-0.242520
2803,2.2640,11259,12463,2.267881,2.510401,-0.242520
2844,2.3050,11274,12475,2.270903,2.512818,-0.241915
2885,2.3460,11287,12487,2.273521,2.515235,-0.241714
