t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,11431,12397,2.302527,2.497107,-0.194580
43,-0.4960,11441,12411,2.304541,2.499927,-0.195385
84,-0.4550,11447,12415,2.305750,2.500732,-0.194983
125,-0.4140,11438,12430,2.303937,2.503754,-0.199817
166,-0.3730,11443,12443,2.304944,2.506372,-0.201428
207,-0.3320,11429,12469,2.302124,2.511610,-0.209485
248,-0.2910,11447,12383,2.305750,2.494287,-0.188537
289,-0.2500,11415,12495,2.299304,2.516847,-0.217543
330,-0.2090,11418,12507,2.299908,2.519264,-0.219355
371,-0.1680,11421,12511,2.300513,2.520070,-0.219557
412,-0.1270,11413,12512,2.298901,2.520271,-0.221370
454,-0.0850,11408,12480,2.297894,2.513825,-0.215931
495,-0.0440,11357,12495,2.287621,2.516847,-0.229225
536,-0.0030,1284,12471,0.258634,2.512012,-2.253379
580,0.0410,4528,12495,0.912067,2.516847,-1.604779
621,0.0820,6504,12499,1.310090,2.517652,-1.207563
662,0.1230,7798,12503,1.570738,2.518458,-0.947720
703,0.1640,8679,12518,1.748196,2.521480,-0.773283
744,0.2050,9314,12528,1.876103,2.523494,-0.647391
786,0.2470,9788,12480,1.971580,2.513825,-0.542245
827,0.2880,10124,12394,2.039260,2.496502,-0.457242
868,0.3290,10325,12319,2.079747,2.481395,-0.401648
909,0.3700,10519,12391,2.118824,2.495898,-0.377074
950,0.4110,10702,12391,2.155686,2.495898,-0.340212
991,0.4520,10931,12495,2.201813,2.516847,-0.315034
1035,0.4960,11046,12503,2.224977,2.518458,-0.293481
1076,0.5370,11133,12507,2.242501,2.519264,-0.276762
1117,0.5780,11215,12520,2.259018,2.521882,-0.262864
1158,0.6190,11264,12528,2.268888,2.523494,-0.254605
1199,0.6600,11328,12512,2.281780,2.520271,-0.238491
1241,0.7020,11347,12471,2.285607,2.512012,-0.226405
1282,0.7430,11299,12390,2.275938,2.495697,-0.219758
1323,0.7840,11287,12394,2.273521,2.496502,-0.222981
1364,0.8250,11317,12413,2.279564,2.500330,-0.220765
1405,0.8660,11351,12425,2.286413,2.502747,-0.216334
1446,0.9070,11375,12435,2.291247,2.504761,-0.213514
1487,0.9480,11391,12447,2.294470,2.507178,-0.212708
1528,0.9890,11405,12451,2.297290,2.507984,-0.210694
1570,1.0310,11423,12467,2.300916,2.511207,-0.210291
1611,1.0720,11454,12485,2.307160,2.514832,-0.207673
1652,1.1130,11467,12493,2.309778,2.516444,-0.206665
1693,1.1540,11470,12503,2.310383,2.518458,-0.208075
1734,1.1950,11493,12516,2.315016,2.521077,-0.206061
1775,1.2360,11504,12528,2.317231,2.523494,-0.206263
1816,1.2770,11504,12512,2.317231,2.520271,-0.203040
1857,1.3180,11475,12315,2.311390,2.480590,-0.169200
1899,1.3600,11377,12389,2.291650,2.495495,-0.203845
1940,1.4010,11402,12403,2.296686,2.498315,-0.201630
1981,1.4420,11487,12479,2.313807,2.513624,-0.199817
2025,1.4860,11503,12495,2.317030,2.516847,-0.199817
2066,1.5270,11516,12495,2.319648,2.516847,-0.197198
2107,1.5680,11513,12507,2.319044,2.519264,-0.200220
2148,1.6090,11519,12519,2.320253,2.521681,-0.201428
2189,1.6500,11533,12528,2.323073,2.523494,-0.200421
2230,1.6910,11524,12487,2.321260,2.515235,-0.193975
2271,1.7320,11447,12405,2.305750,2.498718,-0.192968
2312,1.7730,11395,12399,2.295276,2.497510,-0.202234
2354,1.8150,11391,12393,2.294470,2.496301,-0.201831
2395,1.8560,11402,12415,2.296686,2.500732,-0.204047
2436,1.8970,11419,12427,2.300110,2.503150,-0.203040
2477,1.9380,11431,12439,2.302527,2.505567,-0.203040
2518,1.9790,11439,12455,2.304138,2.508790,-0.204651
2559,2.0200,11469,12477,2.310181,2.513221,-0.203040
2600,2.0610,11483,12493,2.313001,2.516444,-0.203443
2641,2.1020,11503,12510,2.317030,2.519868,-0.202838
2683,2.1440,11519,12511,2.320253,2.520070,-0.199817
2724,2.1850,11527,12520,2.321864,2.521882,-0.200018
2765,2.2260,11520,12477,2.320454,2.513221,-0.192767
2806,2.2670,11487,12491,2.313807,2.516041,-0.202234
2847,2.3080,11399,12367,2.296081,2.491064,-0.194983
2888,2.3490,11419,12387,2.300110,2.495092,-0.194983
2929,2.3900,11415,12399,2.299304,2.497510,-0.198205
2970,2.4310,11443,12491,2.304944,2.516041,-0.211097
3014,2.4750,11527,12506,2.321864,2.519062,-0.197198
3055,2.5160,11541,12515,2.324684,2.520875,-0.196191
3096,2.5570,11547,12518,2.325893,2.521480,-0.195587
3138,2.5990,11552,12512,2.326900,2.520271,-0.193371
3179,2.6400,11521,12476,2.320656,2.513020,-0.192364
3220,2.6810,11518,12520,2.320051,2.521882,-0.201831
3261,2.7220,11511,12439,2.318641,2.505567,-0.186925
3302,2.7630,11445,12399,2.305347,2.497510,-0.192163
3343,2.8040,11455,12413,2.307361,2.500330,-0.192968
3384,2.8450,11461,12415,2.308570,2.500732,-0.192163
3425,2.8860,11469,12431,2.310181,2.503955,-0.193774
3466,2.9270,11482,12443,2.312800,2.506372,-0.193573
3508,2.9690,11493,12454,2.315016,2.508588,-0.193573
