t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,11431,12477,2.302527,2.513221,-0.210694
43,-0.4960,11435,12501,2.303333,2.518055,-0.214723
84,-0.4550,11438,12503,2.303937,2.518458,-0.214521
125,-0.4140,11447,12510,2.305750,2.519868,-0.214118
166,-0.3730,11443,12520,2.304944,2.521882,-0.216938
207,-0.3320,11424,12480,2.301117,2.513825,-0.212708
248,-0.2910,11458,12451,2.307966,2.507984,-0.200018
289,-0.2500,11485,12387,2.313404,2.495092,-0.181688
330,-0.2090,11490,12391,2.314411,2.495898,-0.181487
371,-0.1680,11487,12399,2.313807,2.497510,-0.183703
412,-0.1270,11486,12411,2.313606,2.499927,-0.186321
453,-0.0860,11477,12423,2.311793,2.502344,-0.190551
495,-0.0440,11475,12431,2.311390,2.503955,-0.192565
536,-0.0030,1295,12528,0.260850,2.523494,-2.262644
580,0.0410,4479,12481,0.902197,2.514027,-1.611829
621,0.0820,6367,12487,1.282494,2.515235,-1.232741
662,0.1230,7552,12367,1.521187,2.491064,-0.969877
703,0.1640,8315,12387,1.674876,2.495092,-0.820216
744,0.2050,8932,12395,1.799158,2.496704,-0.697546
785,0.2460,9401,12399,1.893628,2.497510,-0.603882
827,0.2880,9773,12422,1.968559,2.502142,-0.533584
868,0.3290,10087,12435,2.031807,2.504761,-0.472954
909,0.3700,10337,12447,2.082164,2.507178,-0.425014
950,0.4110,10543,12463,2.123659,2.510401,-0.386742
991,0.4520,10665,12397,2.148233,2.497107,-0.348874
1035,0.4960,10799,12403,2.175224,2.498315,-0.323091
1076,0.5370,10927,12419,2.201007,2.501538,-0.300531
1117,0.5780,11023,12431,2.220344,2.503955,-0.283611
1158,0.6190,11105,12439,2.236861,2.505567,-0.268705
1199,0.6600,11170,12443,2.249954,2.506372,-0.256418
1240,0.7010,11203,12375,2.256601,2.492675,-0.236074
1282,0.7430,11327,12479,2.281578,2.513624,-0.232045
1323,0.7840,11342,12487,2.284600,2.515235,-0.230635
1364,0.8250,11373,12495,2.290844,2.516847,-0.226003
1405,0.8660,11407,12509,2.297693,2.519667,-0.221974
1446,0.9070,11445,12519,2.305347,2.521681,-0.216334
1487,0.9480,11467,12520,2.309778,2.521882,-0.212104
1528,0.9890,11456,12528,2.307563,2.523494,-0.215931
1569,1.0300,11391,12367,2.294470,2.491064,-0.196594
1611,1.0720,11357,12395,2.287621,2.496704,-0.209083
1652,1.1130,11375,12383,2.291247,2.494287,-0.203040
1693,1.1540,11389,12405,2.294067,2.498718,-0.204651
1734,1.1950,11403,12413,2.296887,2.500330,-0.203443
1775,1.2360,11412,12439,2.298700,2.505567,-0.206867
1816,1.2770,11429,12441,2.302124,2.505970,-0.203845
1857,1.3180,11443,12459,2.304944,2.509595,-0.204651
1898,1.3590,11453,12459,2.306958,2.509595,-0.202637
1940,1.4010,11467,12483,2.309778,2.514430,-0.204651
1981,1.4420,11484,12495,2.313203,2.516847,-0.203644
2022,1.4830,11487,12503,2.313807,2.518458,-0.204651
