Time (ms),A2-A3 (V)
0,-0.0038668
0.070455,0.034449
0.14091,0.042183
0.21136,0.026364
0.28182,0.046753
0.35227,0.033746
0.42273,0.0031637
0.49318,0.042183
0.56364,0.039371
0.63409,0.037262
0.70455,0.024255
0.775,0.032692
0.84545,0.02074
0.91591,0.032692
0.98636,0.022849
1.0568,0.041128
1.1273,0.034098
1.1977,0.037965
1.2682,0.05308
1.3386,0.016522
1.4091,0.036207
1.4795,0.023552
1.55,0.054135
1.6205,0.067141
1.6909,0.02988
1.7614,0.035152
1.8318,0.029177
1.9023,0.042534
1.9727,0.0059759
2.0432,0.037965
2.1136,0.028825
2.1841,0.04148
2.2545,0.013709
2.325,0.028825
2.3955,0.058002
2.4659,0.040425
2.5364,0.045347
2.6068,0.016873
2.6773,0.050971
2.7477,0.067844
2.8182,0.035855
2.8886,0.043589
2.9591,0.028825
3.0295,0.039371
3.1,0.037613
3.1705,0.04605
3.2409,0.01617
3.3114,0.010897
3.3818,0.039371
3.4523,0.034449
3.5227,0.05765
3.5932,0.034801
3.6636,0.017225
3.7341,0.021795
3.8045,0.019685
3.875,0.035855
3.9455,0.042534
4.0159,0.053783
4.0864,0.039019
4.1568,0.045698
4.2273,0.02777
4.2977,0.028122
4.3682,0.021091
4.4386,0.0116
4.5091,0.030583
4.5795,0.039371
4.65,0.03691
4.7205,0.030583
4.7909,0.030231
4.8614,0.036207
4.9318,0.040777
5.0023,0.048159
5.0727,0.018279
5.1432,0.02988
5.2136,0.077687
5.2841,0.011952
5.3545,0.046753
5.425,0.043238
5.4955,0.054838
5.5659,0.031637
5.6364,0.040074
5.7068,0.063626
5.7773,0.050971
5.8477,0.048862
5.9182,0.028473
5.9886,0.020037
6.0591,0.05308
6.1295,0.039371
6.2,0.029177
6.2705,0.018631
6.3409,0.023201
6.4114,0.032692
6.4818,0.019685
6.5523,0.037262
6.6227,0.028825
6.6932,0.072063
6.7636,0.045347
6.8341,0.024255
6.9045,0.022849
6.975,0.033746
7.0455,0.036559
7.1159,0.036559
7.1864,0.0049213
7.2568,0.048862
7.3273,0.067141
7.3977,0.036559
7.4682,0.013358
7.5386,0.039019
7.6091,0.056595
7.6795,0.066438
7.75,0.029177
7.8205,0.10792
7.8909,0.27489
7.9614,0.29141
8.0318,0.23482
8.1023,0.18385
8.1727,0.13147
8.2432,0.13428
8.3136,0.089639
8.3841,0.072063
8.4545,0.074523
8.525,0.057298
8.5955,0.039371
8.6659,0.026716
8.7364,0.053783
8.8068,0.030231
8.8773,0.066438
8.9477,0.017928
9.0182,0.036207
9.0886,0.006679
9.1591,-0.010546
9.2295,0.042183
9.3,0.022146
9.3705,0.042183
9.4409,0.02988
9.5114,-0.06222
9.5818,-0.055189
9.6523,-0.028122
9.7227,-0.011249
9.7932,0.022498
9.8636,0.028473
9.9341,0.035855
10.005,0.037262
10.075,0.067141
10.145,0.058705
10.216,0.031637
10.286,0.03234
10.357,0.048862
10.427,0.077687
10.498,0.040074
10.568,0.070305
10.639,0.043238
10.709,0.030583
10.78,0.017928
10.85,0.05765
10.92,0.041128
10.991,0.016522
11.061,0.058353
11.132,0.037613
11.202,0.015819
11.273,0.024958
11.343,0.040777
11.414,0.049916
11.484,0.024255
11.555,0.049916
11.625,0.046401
11.695,0.041128
11.766,0.024958
11.836,0.037262
11.907,0.018631
11.977,0.031637
12.048,0.036207
12.118,0.044292
12.189,0.041831
12.259,0.059759
12.33,0.062923
12.4,0.084717
12.47,0.072766
12.541,0.053783
12.611,0.033395
12.682,0.053432
12.752,0.045698
12.823,0.040425
12.893,0.058353
12.964,0.071359
13.034,0.040074
13.105,0.052377
13.175,0.042534
13.245,0.039019
13.316,0.035504
13.386,0.062923
13.457,0.044995
13.527,0.027067
13.598,0.046401
13.668,0.035855
13.739,0.079093
13.809,0.039371
13.88,0.055892
13.95,0.058353
14.02,0.022146
14.091,0.052729
14.161,0.050268
14.232,0.049565
14.302,0.043589
14.373,0.036207
14.443,0.049213
14.514,0.075929
14.584,0.052026
14.655,0.049565
14.725,0.080499
14.795,0.03234
14.866,0.047807
14.936,0.040074
15.007,0.037613
15.077,0.071008
15.148,0.026013
15.218,0.048862
15.289,0.041128
15.359,0.023904
15.43,0.051323
15.5,0.039722
15.57,0.05062
15.641,0.042183
15.711,0.029177
15.782,0.018279
15.852,0.023904
15.923,0.063977
15.993,0.024958
16.064,0.037613
16.134,0.034098
16.205,0.042183
16.275,0.024607
16.345,0.026013
16.416,0.041831
16.486,0.058705
16.557,0.053783
16.627,0.042886
16.698,0.048862
16.768,0.026716
16.839,0.063977
16.909,0.028473
16.98,0.017576
17.05,0.058705
17.12,0.053783
17.191,0.063977
17.261,0.047456
17.332,0.042886
17.402,0.032692
17.473,0.048862
17.543,0.032692
17.614,0.048159
17.684,0.01617
17.755,0.043589
17.825,0.047807
17.895,0.016522
17.966,0.02988
18.036,0.032692
18.107,0.065032
18.177,0.050268
18.248,0.029177
18.318,0.047807
18.389,0.028825
18.459,0.02988
18.53,0.013006
18.6,0.02988
18.67,0.014764
18.741,0.037262
18.811,0.043589
18.882,0.031637
18.952,0.054838
19.023,0.068899
19.093,0.04148
19.164,0.023201
19.234,0.039371
19.305,0.033395
19.375,0.0035152
19.445,0.044644
19.516,0.021795
19.586,0.040425
19.657,0.030934
19.727,0.031637
19.798,0.039722
19.868,0.02777
19.939,0.055541
20.009,0.035504
20.08,0.042183
20.15,0.012655
20.22,0.049565
20.291,0.23412
20.361,0.26329
20.432,0.2545
20.502,0.174
20.573,0.13147
20.643,0.14764
20.714,0.086827
20.784,0.080499
20.855,0.042183
20.925,0.068547
20.995,0.013358
21.066,0.055892
21.136,0.037965
21.207,0.037613
21.277,0.03691
21.348,0.031989
21.418,0.014061
21.489,0.045698
21.559,0.010194
21.63,0.035855
21.7,0.049565
21.77,0.029528
21.841,0.053432
21.911,-0.045698
21.982,-0.039019
22.052,-0.060462
22.123,-0.012655
22.193,-0.014764
22.264,0.00035152
22.334,0.025661
22.405,0.00035152
22.475,-0.0052729
22.545,0.031989
22.616,0.049916
22.686,0.018631
22.757,0.027419
22.827,0.018982
22.898,0.032692
22.968,0.037965
23.039,0.030231
23.109,0.044292
23.18,0.021443
23.25,0.02777
23.32,0.024958
23.391,0.056595
23.461,0.040425
23.532,0.014061
23.602,0.059759
23.673,0.043941
23.743,0.054486
23.814,0.037613
23.884,0.017225
23.955,0.0070305
24.025,0.061868
24.095,0.043238
24.166,0.0063274
24.236,0.030934
24.307,0.035152
24.377,0.013006
24.448,0.030583
24.518,0.026013
24.589,0.033043
24.659,0.0038668
24.73,0.022146
24.8,0.040074
24.87,0.019334
24.941,0.034449
25.011,0.039371
25.082,0.014061
25.152,0.023904
25.223,0.045347
25.293,0.03691
25.364,0.021443
25.434,0.042183
25.505,0.034449
25.575,0.090693
25.645,0.033395
25.716,0.047456
25.786,0.030231
25.857,0.026013
25.927,0.019685
25.998,0.042886
26.068,0.055541
26.139,0.055892
26.209,0.064329
26.28,0.027067
26.35,0.052377
26.42,0.065384
26.491,0.029528
26.561,0.042534
26.632,0.015819
26.702,0.026716
26.773,0.040777
26.843,0.054486
26.914,0.020388
26.984,0.03691
27.055,0.028122
27.125,0.054135
27.195,0.048862
27.266,0.010546
27.336,0.04605
27.407,0.052729
27.477,0.043589
27.548,0.030583
27.618,0.052026
27.689,0.012303
27.759,0.069953
27.83,0.044292
27.9,0.040425
27.97,0.05308
28.041,0.051323
28.111,0.048862
28.182,0.053432
28.252,0.042183
28.323,0.04148
28.393,0.033746
28.464,0.047104
28.534,0.053432
28.605,0.056947
28.675,0.049213
28.745,0.041128
28.816,0.054486
28.886,0.037613
28.957,0.029177
29.027,0.046401
29.098,0.053783
29.168,0.04605
29.239,0.072766
29.309,0.035855
29.38,0.0084366
29.45,0.049565
29.52,0.019685
29.591,0.047104
29.661,0.040425
29.732,0.055189
29.802,0.035152
29.873,0.042183
29.943,0.054135
30.014,0.042183
30.084,0.059056
30.155,0.041128
30.225,0.0014061
30.295,0.045698
30.366,0.066438
30.436,0.043589
30.507,0.076984
30.577,0.048159
30.648,0.049916
30.718,0.060462
30.789,0.040777
30.859,0.037965
30.93,0.065032
