t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,5717,6240,1.151566,1.256913,-0.105347
43,-0.4960,5708,6252,1.149753,1.259330,-0.109577
84,-0.4550,5700,6271,1.148141,1.263157,-0.115016
125,-0.4140,5820,6182,1.172313,1.245230,-0.072917
166,-0.3730,5828,6192,1.173924,1.247244,-0.073320
207,-0.3320,5810,6201,1.170298,1.249057,-0.078758
248,-0.2910,5795,6213,1.167277,1.251474,-0.084197
289,-0.2500,5783,6224,1.164860,1.253690,-0.088830
330,-0.2090,5762,6236,1.160630,1.256107,-0.095477
371,-0.1680,5734,6250,1.154990,1.258927,-0.103937
412,-0.1270,5722,6263,1.152573,1.261546,-0.108973
454,-0.0850,5752,6186,1.158616,1.246036,-0.087420
495,-0.0440,5834,6297,1.175133,1.268394,-0.093261
536,-0.0030,0,6126,0.000000,1.233950,-1.233950
580,0.0410,1247,6271,0.251181,1.263157,-1.011976
621,0.0820,2346,6150,0.472551,1.238784,-0.766233
662,0.1230,3021,6188,0.608515,1.246438,-0.637923
703,0.1640,3640,6202,0.733199,1.249258,-0.516059
744,0.2050,4128,6210,0.831496,1.250870,-0.419374
785,0.2460,4500,6218,0.906427,1.252481,-0.346054
826,0.2870,4800,6232,0.966856,1.255301,-0.288445
868,0.3290,5029,6244,1.012983,1.257718,-0.244735
909,0.3700,5209,6271,1.049240,1.263157,-0.213917
950,0.4110,5359,6296,1.079454,1.268193,-0.188738
991,0.4520,5425,6234,1.092749,1.255704,-0.162956
1035,0.4960,5514,6248,1.110676,1.258524,-0.147848
1076,0.5370,5576,6257,1.123164,1.260337,-0.137173
1117,0.5780,5647,6289,1.137466,1.266783,-0.129317
1158,0.6190,5592,6196,1.126387,1.248050,-0.121663
1199,0.6600,5633,6197,1.134646,1.248251,-0.113606
1240,0.7010,5661,6198,1.140286,1.248453,-0.108167
1281,0.7420,5686,6212,1.145321,1.251273,-0.105951
1323,0.7840,5705,6226,1.149149,1.254093,-0.104944
1364,0.8250,5736,6248,1.155393,1.258524,-0.103131
1405,0.8660,5746,6248,1.157407,1.258524,-0.101117
1446,0.9070,5763,6271,1.160831,1.263157,-0.102326
1487,0.9480,5748,6295,1.157810,1.267991,-0.110181
1528,0.9890,5760,6226,1.160227,1.254093,-0.093866
1569,1.0300,5731,6208,1.154386,1.250467,-0.096081
1610,1.0710,5739,6226,1.155997,1.254093,-0.098096
1652,1.1130,5760,6242,1.160227,1.257316,-0.097088
1693,1.1540,5765,6245,1.161234,1.257920,-0.096686
1734,1.1950,5776,6271,1.163450,1.263157,-0.099707
1775,1.2360,5824,6256,1.173118,1.260136,-0.087017
1816,1.2770,5721,6180,1.152371,1.244827,-0.092456
1857,1.3180,5724,6194,1.152976,1.247647,-0.094671
1898,1.3590,5734,6211,1.154990,1.251071,-0.096081
1939,1.4000,5746,6222,1.157407,1.253287,-0.095880
1981,1.4420,5762,6248,1.160630,1.258524,-0.097894
2021,1.4820,5776,6255,1.163450,1.259934,-0.096484
2063,1.5240,5822,6298,1.172716,1.268595,-0.095880
2104,1.5650,5716,6180,1.151364,1.244827,-0.093463
2145,1.6060,5730,6208,1.154184,1.250467,-0.096283
2186,1.6470,5732,6210,1.154587,1.250870,-0.096283
2227,1.6880,5754,6227,1.159018,1.254294,-0.095276
2268,1.7290,5768,6244,1.161838,1.257718,-0.095880
2309,1.7700,5776,6250,1.163450,1.258927,-0.095477
2350,1.8110,5780,6271,1.164256,1.263157,-0.098901
2391,1.8520,5806,6126,1.169493,1.233950,-0.064457
2433,1.8940,5722,6192,1.152573,1.247244,-0.094671
2474,1.9350,5732,6202,1.154587,1.249258,-0.094671
2515,1.9760,5720,6271,1.152170,1.263157,-0.110987
2556,2.0170,5764,6226,1.161033,1.254093,-0.093060
2597,2.0580,5756,6240,1.159421,1.256913,-0.097491
2638,2.0990,5761,6248,1.160428,1.258524,-0.098096
2679,2.1400,5766,6271,1.161436,1.263157,-0.101721
2720,2.1810,5796,6188,1.167478,1.246438,-0.078960
2762,2.2230,5715,6200,1.151163,1.248856,-0.097693
2803,2.2640,5720,6218,1.152170,1.252481,-0.100311
2844,2.3050,5736,6226,1.155393,1.254093,-0.098700
2885,2.3460,5744,6238,1.157004,1.256510,-0.099506
2926,2.3870,5755,6249,1.159220,1.258726,-0.099506
2967,2.4280,5770,6214,1.162241,1.251676,-0.089434
3011,2.4720,5739,6238,1.155997,1.256510,-0.100513
3052,2.5130,5756,6246,1.159421,1.258121,-0.098700
3093,2.5540,5763,6259,1.160831,1.260740,-0.099908
3134,2.5950,5791,6292,1.166471,1.267387,-0.100916
3175,2.6360,5696,6174,1.147336,1.243618,-0.096283
3217,2.6780,5712,6192,1.150559,1.247244,-0.096686
3258,2.7190,5720,6209,1.152170,1.250668,-0.098498
3299,2.7600,5733,6220,1.154789,1.252884,-0.098096
3340,2.8010,5750,6244,1.158213,1.257718,-0.099506
3381,2.8420,5762,6246,1.160630,1.258121,-0.097491
3422,2.8830,5765,6263,1.161234,1.261546,-0.100311
3463,2.9240,5809,6289,1.170097,1.266783,-0.096686
3504,2.9650,5696,6255,1.147336,1.259934,-0.112598
3546,3.0070,5752,6220,1.158616,1.252884,-0.094268
3587,3.0480,5732,6214,1.154587,1.251676,-0.097088
3628,3.0890,5746,6234,1.157407,1.255704,-0.098297
3669,3.1300,5749,6234,1.158011,1.255704,-0.097693
3710,3.1710,5760,6246,1.160227,1.258121,-0.097894
3751,3.2120,5768,6271,1.161838,1.263157,-0.101318
3792,3.2530,5790,6200,1.166270,1.248856,-0.082586
3833,3.2940,5712,6190,1.150559,1.246841,-0.096283
3875,3.3360,5714,6205,1.150961,1.249863,-0.098901
3916,3.3770,5728,6217,1.153781,1.252280,-0.098498
3957,3.4180,5736,6232,1.155393,1.255301,-0.099908
4001,3.4620,5704,6192,1.148947,1.247244,-0.098297
4042,3.5030,5714,6204,1.150961,1.249661,-0.098700
4083,3.5440,5722,6213,1.152573,1.251474,-0.098901
4124,3.5850,5736,6227,1.155393,1.254294,-0.098901
4165,3.6260,5748,6240,1.157810,1.256913,-0.099103
4206,3.6670,5756,6250,1.159421,1.258927,-0.099506
4247,3.7080,5764,6263,1.161033,1.261546,-0.100513
4288,3.7490,5797,6181,1.167680,1.245028,-0.077348
4329,3.7900,5704,6302,1.148947,1.269401,-0.120454
4371,3.8320,5712,6194,1.150559,1.247647,-0.097088
4412,3.8730,5718,6204,1.151767,1.249661,-0.097894
4453,3.9140,5732,6224,1.154587,1.253690,-0.099103
4494,3.9550,5745,6222,1.157206,1.253287,-0.096081
4535,3.9960,5720,6196,1.152170,1.248050,-0.095880
4576,4.0370,5762,6263,1.160630,1.261546,-0.100916
4617,4.0780,5811,6224,1.170500,1.253690,-0.083190
4658,4.1190,5708,6197,1.149753,1.248251,-0.098498
4700,4.1610,5716,6196,1.151364,1.248050,-0.096686
4741,4.2020,5724,6205,1.152976,1.249863,-0.096887
4782,4.2430,5734,6216,1.154990,1.252078,-0.097088
4823,4.2840,5744,6233,1.157004,1.255503,-0.098498
4864,4.3250,5764,6240,1.161033,1.256913,-0.095880
4905,4.3660,5770,6255,1.162241,1.259934,-0.097693
4946,4.4070,5791,6296,1.166471,1.268193,-0.101721
4987,4.4480,5750,6228,1.158213,1.254496,-0.096283
