t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,5704,6218,1.148947,1.252481,-0.103534
43,-0.4960,5682,6232,1.144516,1.255301,-0.110786
84,-0.4550,5676,6244,1.143307,1.257718,-0.114411
125,-0.4140,5658,6271,1.139681,1.263157,-0.123476
166,-0.3730,5680,6296,1.144113,1.268193,-0.124080
207,-0.3320,5779,6188,1.164054,1.246438,-0.082384
248,-0.2910,5760,6208,1.160227,1.250467,-0.090240
289,-0.2500,5738,6221,1.155796,1.253086,-0.097290
330,-0.2090,5704,6235,1.148947,1.255906,-0.106958
371,-0.1680,5692,6248,1.146530,1.258524,-0.111994
412,-0.1270,5679,6271,1.143911,1.263157,-0.119246
454,-0.0850,5729,6156,1.153983,1.239993,-0.086010
495,-0.0440,5784,6194,1.165061,1.247647,-0.082586
536,-0.0030,0,6255,0.000000,1.259934,-1.259934
580,0.0410,1112,6259,0.223988,1.260740,-1.036752
621,0.0820,2096,6146,0.422194,1.237978,-0.815785
662,0.1230,2712,6201,0.546274,1.249057,-0.702783
703,0.1640,3288,6216,0.662296,1.252078,-0.589782
744,0.2050,3757,6236,0.756766,1.256107,-0.499341
785,0.2460,4140,6224,0.833913,1.253690,-0.419777
826,0.2870,4420,6188,0.890313,1.246438,-0.356125
868,0.3290,4730,6302,0.952756,1.269401,-0.316645
909,0.3700,4842,6184,0.975316,1.245633,-0.270317
950,0.4110,5020,6210,1.011170,1.250870,-0.239700
991,0.4520,5243,6151,1.056089,1.238986,-0.182897
1035,0.4960,5232,6196,1.053873,1.248050,-0.194177
1076,0.5370,5333,6203,1.074217,1.249460,-0.175243
1117,0.5780,5409,6220,1.089526,1.252884,-0.163358
1158,0.6190,5476,6229,1.103021,1.254697,-0.151676
1199,0.6600,5532,6245,1.114301,1.257920,-0.143618
1240,0.7010,5580,6271,1.123970,1.263157,-0.139187
1281,0.7420,5631,6302,1.134243,1.269401,-0.135158
1323,0.7840,5571,6196,1.122157,1.248050,-0.125893
1364,0.8250,5604,6205,1.128804,1.249863,-0.121058
1405,0.8660,5632,6211,1.134444,1.251071,-0.116627
1446,0.9070,5652,6221,1.138473,1.253086,-0.114613
1487,0.9480,5670,6235,1.142099,1.255906,-0.113807
1528,0.9890,5688,6252,1.145724,1.259330,-0.113606
1569,1.0300,5707,6289,1.149551,1.266783,-0.117231
1610,1.0710,5729,6158,1.153983,1.240396,-0.086413
1652,1.1130,5650,6196,1.138070,1.248050,-0.109980
1693,1.1540,5664,6204,1.140890,1.249661,-0.108771
1734,1.1950,5673,6218,1.142703,1.252481,-0.109778
1775,1.2360,5691,6224,1.146329,1.253690,-0.107361
1816,1.2770,5668,6185,1.141696,1.245834,-0.104138
1857,1.3180,5713,6271,1.150760,1.263157,-0.112397
1898,1.3590,5760,6293,1.160227,1.267588,-0.107361
1939,1.4000,5656,6188,1.139279,1.246438,-0.107160
1981,1.4420,5672,6206,1.142501,1.250064,-0.107563
2021,1.4820,5682,6224,1.144516,1.253690,-0.109174
2063,1.5240,5702,6237,1.148544,1.256308,-0.107764
2104,1.5650,5708,6248,1.149753,1.258524,-0.108771
2145,1.6060,5720,6288,1.152170,1.266581,-0.114411
2186,1.6470,5744,6151,1.157004,1.238986,-0.081981
2227,1.6880,5664,6189,1.140890,1.246640,-0.105750
2268,1.7290,5672,6201,1.142501,1.249057,-0.106556
2309,1.7700,5680,6214,1.144113,1.251676,-0.107563
2350,1.8110,5692,6231,1.146530,1.255100,-0.108570
2391,1.8520,5713,6243,1.150760,1.257517,-0.106757
2433,1.8940,5720,6271,1.152170,1.263157,-0.110987
2474,1.9350,5767,6153,1.161637,1.239388,-0.077751
2515,1.9760,5664,6192,1.140890,1.247244,-0.106354
2556,2.0170,5676,6213,1.143307,1.251474,-0.108167
2597,2.0580,5693,6233,1.146731,1.255503,-0.108771
2638,2.0990,5708,6244,1.149753,1.257718,-0.107966
2679,2.1400,5718,6259,1.151767,1.260740,-0.108973
2720,2.1810,5759,6291,1.160026,1.267185,-0.107160
2762,2.2230,5652,6188,1.138473,1.246438,-0.107966
2803,2.2640,5730,6244,1.154184,1.257718,-0.103534
2844,2.3050,5694,6216,1.146933,1.252078,-0.105146
2885,2.3460,5685,6226,1.145120,1.254093,-0.108973
2926,2.3870,5704,6237,1.148947,1.256308,-0.107361
2967,2.4280,5712,6202,1.150559,1.249258,-0.098700
3011,2.4720,5680,6214,1.144113,1.251676,-0.107563
3052,2.5130,5688,6227,1.145724,1.254294,-0.108570
3093,2.5540,5698,6237,1.147739,1.256308,-0.108570
3134,2.5950,5708,6242,1.149753,1.257316,-0.107563
3175,2.6360,5718,6271,1.151767,1.263157,-0.111390
3217,2.6780,5730,6194,1.154184,1.247647,-0.093463
3258,2.7190,5668,6192,1.141696,1.247244,-0.105548
3299,2.7600,5670,6204,1.142099,1.249661,-0.107563
3340,2.8010,5680,6216,1.144113,1.252078,-0.107966
3381,2.8420,5690,6229,1.146127,1.254697,-0.108570
3422,2.8830,5700,6242,1.148141,1.257316,-0.109174
