# threshold_resistor_ohms,330000
a5_V,post_toggle_abs_diff_V
0.0000,0.0314
0.0000,0.0324
0.0000,0.0328
0.0000,0.0338
0.0000,0.0344
0.0000,0.0348
0.0000,0.0350
0.0000,0.0355
0.0000,0.0357
0.0000,0.0363
0.0000,0.0365
0.0000,0.0367
0.0000,0.0369
0.0000,0.0371
0.0000,0.0375
0.0000,0.0375
0.0000,0.0377
0.0000,0.0377
0.0000,0.0377
0.0000,0.0379
0.0000,0.0379
0.0000,0.0383
0.0000,0.0383
0.0000,0.0383
0.0000,0.0383
0.0000,0.0385
0.0000,0.0395
0.0000,0.0395
0.0000,0.0397
0.0000,0.0483
0.0000,0.0520
0.0000,0.0520
0.0000,0.0522
0.0000,0.0524
0.0000,0.0524
0.0000,0.0524
0.0000,0.0526
0.0000,0.0526
0.0000,0.0528
0.0000,0.0530
0.0000,0.0530
0.0000,0.0532
0.0000,0.0532
0.0000,0.0532
0.0000,0.0534
0.0000,0.0534
0.0000,0.0534
0.0000,0.0536
0.0000,0.0536
0.0000,0.0536
0.0000,0.0536
0.0000,0.0538
0.0000,0.0540
0.0000,0.0540
0.0000,0.0540
0.0000,0.0542
0.0000,0.0542
0.0000,0.0546
0.0000,0.0546
0.0000,0.0548
0.0000,0.0550
0.0000,0.0552
0.0000,0.0562
0.0000,0.0568
0.0000,0.0572
0.0000,0.0578
0.0000,0.0588
0.0000,0.0596
0.0000,0.0606
0.0000,0.0608
0.0001,0.0361
0.0001,0.0371
0.0001,0.0371
0.0001,0.0375
0.0001,0.0379
0.0001,0.0407
0.0001,0.0546
0.0001,0.0548
0.0001,0.0548
0.0001,0.0554
0.0002,0.0375
0.0002,0.0379
0.0002,0.0540
0.0002,0.0544
0.0002,0.0548
0.0002,0.0558
0.0004,0.0357
0.0004,0.0361
0.0004,0.0389
0.0004,0.0542
0.0004,0.0556
0.0006,0.0383
0.0008,0.0373
0.0008,0.0395
0.0008,0.0534
0.0008,0.0536
0.0008,0.0538
0.0008,0.0540
0.0008,0.0552
0.0010,0.0371
0.0010,0.0379
0.0012,0.0383
0.0013,0.0574
0.0016,0.0336
0.0016,0.0361
0.0016,0.0379
0.0016,0.0381
0.0016,0.0383
0.0016,0.0393
0.0016,0.0467
0.0016,0.0540
0.0016,0.0544
0.0016,0.0544
0.0016,0.0588
0.0017,0.0580
0.0019,0.0381
0.0022,0.0604
0.0024,0.0552
0.0032,0.0334
0.0032,0.0334
0.0032,0.0373
0.0032,0.0379
0.0032,0.0383
0.0032,0.0475
0.0032,0.0532
0.0032,0.0534
0.0032,0.0534
0.0032,0.0538
0.0032,0.0546
0.0032,0.0550
0.0032,0.0588
0.0033,0.0379
0.0034,0.0365
0.0037,0.0405
0.0037,0.0568
0.0040,0.0361
0.0040,0.0538
0.0040,0.0578
0.0044,0.0369
0.0044,0.0383
0.0044,0.0471
0.0044,0.0530
0.0048,0.0397
0.0048,0.0562
0.0054,0.0334
0.0054,0.0371
0.0054,0.0375
0.0054,0.0387
0.0054,0.0526
0.0055,0.0306
0.0055,0.0346
0.0055,0.0502
0.0055,0.0546
0.0055,0.0578
0.0056,0.0326
0.0056,0.0344
0.0056,0.0373
0.0056,0.0375
0.0056,0.0377
0.0056,0.0381
0.0056,0.0381
0.0056,0.0403
0.0056,0.0500
0.0056,0.0528
0.0056,0.0528
0.0056,0.0532
0.0056,0.0532
0.0056,0.0542
0.0056,0.0544
0.0056,0.0548
0.0057,0.0365
0.0057,0.0389
0.0057,0.0552
0.0058,0.0373
0.0066,0.0437
0.0289,0.0596
0.0293,0.0439
0.0456,0.0663
0.0981,0.0604
0.1019,0.0606
0.1144,0.0598
0.1156,0.0429
0.1232,0.0608
0.1241,0.0399
0.1255,0.0647
0.1276,0.0616
0.1347,0.0427
0.1379,0.0606
0.1403,0.0608
0.1465,0.0614
0.1524,0.0453
0.1528,0.0459
0.1529,0.0618
0.1531,0.0467
0.1556,0.0451
0.1557,0.0616
0.1583,0.0612
0.1594,0.0634
0.1634,0.0485
0.1670,0.0604
0.1682,0.0463
0.1691,0.0496
0.1701,0.0459
0.1727,0.0455
0.1737,0.0632
0.1770,0.0447
0.1778,0.0467
0.1779,0.0645
0.1846,0.0628
0.1865,0.0471
0.1901,0.0637
0.1907,0.0637
0.1914,0.0485
0.1936,0.0683
0.1964,0.0639
0.1974,0.0489
0.1977,0.0647
0.1990,0.0485
0.1998,0.0677
0.2003,0.0634
0.2018,0.0637
0.2020,0.0516
0.2028,0.0487
0.2031,0.0653
0.2044,0.0725
