a5_V_10000000ohm,absdiff_V_10000000ohm,a5_V_1000000ohm,absdiff_V_1000000ohm,a5_V_330000ohm,absdiff_V_330000ohm,a5_V_10000ohm,absdiff_V_10000ohm,a5_V_1ohm,absdiff_V_1ohm
0.0000,0.0441,0.0000,0.0334,0.0000,0.0286,0.0000,0.0264,0.0000,0.0266
0.0000,0.0475,0.0000,0.0369,0.0000,0.0286,0.0000,0.0270,0.0000,0.0310
0.0000,0.0479,0.0000,0.0383,0.0000,0.0290,0.0000,0.0270,0.0000,0.0320
0.0000,0.0479,0.0000,0.0385,0.0000,0.0294,0.0000,0.0270,0.0000,0.0326
0.0000,0.0483,0.0000,0.0387,0.0000,0.0294,0.0000,0.0272,0.0000,0.0326
0.0000,0.0483,0.0000,0.0389,0.0000,0.0296,0.0000,0.0274,0.0000,0.0328
0.0000,0.0487,0.0000,0.0389,0.0000,0.0300,0.0000,0.0276,0.0000,0.0328
0.0000,0.0487,0.0000,0.0391,0.0000,0.0302,0.0000,0.0278,0.0000,0.0330
0.0000,0.0489,0.0000,0.0391,0.0000,0.0302,0.0000,0.0280,0.0000,0.0332
0.0000,0.0500,0.0000,0.0395,0.0000,0.0304,0.0000,0.0284,0.0000,0.0332
0.0000,0.0510,0.0000,0.0395,0.0000,0.0308,0.0000,0.0290,0.0000,0.0340
0.0000,0.0588,0.0000,0.0397,0.0000,0.0314,0.0000,0.0304,0.0000,0.0357
0.0000,0.0643,0.0000,0.0399,0.0000,0.0314,0.0000,0.0306,0.0000,0.0381
0.0000,0.0649,0.0000,0.0399,0.0000,0.0316,0.0000,0.0308,0.0000,0.0453
0.0000,0.0651,0.0000,0.0405,0.0000,0.0320,0.0000,0.0308,0.0000,0.0487
0.0000,0.0657,0.0000,0.0405,0.0000,0.0322,0.0000,0.0310,0.0000,0.0487
0.0000,0.0661,0.0000,0.0405,0.0000,0.0328,0.0000,0.0314,0.0000,0.0487
0.0000,0.0661,0.0000,0.0407,0.0000,0.0332,0.0000,0.0314,0.0000,0.0491
0.0000,0.0667,0.0000,0.0407,0.0000,0.0336,0.0000,0.0316,0.0000,0.0496
0.0004,0.0687,0.0000,0.0409,0.0000,0.0340,0.0000,0.0316,0.0000,0.0496
0.0008,0.0491,0.0000,0.0411,0.0000,0.0342,0.0000,0.0316,0.0000,0.0496
0.0012,0.0701,0.0000,0.0411,0.0000,0.0344,0.0000,0.0316,0.0000,0.0504
0.0027,0.0687,0.0000,0.0413,0.0000,0.0346,0.0000,0.0316,0.0000,0.0552
0.0032,0.0645,0.0000,0.0419,0.0000,0.0346,0.0000,0.0318,0.0000,0.0560
0.0032,0.0651,0.0000,0.0431,0.0000,0.0348,0.0000,0.0318,0.0000,0.0572
0.0041,0.0471,0.0000,0.0435,0.0000,0.0348,0.0000,0.0318,0.0001,0.0262
0.0044,0.0685,0.0000,0.0435,0.0000,0.0348,0.0000,0.0318,0.0003,0.0367
0.0056,0.0463,0.0000,0.0455,0.0000,0.0348,0.0000,0.0318,0.0004,0.0491
0.0072,0.0645,0.0000,0.0544,0.0000,0.0350,0.0000,0.0320,0.0008,0.0542
