idx,t_rel_ms,A0_V
0,6,0.25546
1,6,0.20549
2,6,0.19260
3,6,0.23773
4,6,0.22806
5,6,0.20549
6,7,0.23128
7,7,0.23128
8,7,0.23773
9,7,0.24256
10,7,0.24982
11,7,0.25707
12,7,0.28769
13,7,0.24256
14,7,0.28044
15,7,0.23128
16,7,0.26996
17,7,0.27641
18,7,0.26996
19,7,0.28044
20,7,0.29253
21,7,0.28286
22,7,0.28930
23,7,0.29575
24,7,0.30220
25,7,0.30864
26,7,0.30864
27,7,0.28286
28,7,0.29495
29,7,0.30864
30,7,0.32799
31,7,0.33282
32,7,0.36022
33,7,0.34733
34,7,0.33282
35,7,0.36022
36,7,0.34410
37,7,0.35941
38,7,0.37150
39,7,0.35297
40,7,0.35700
41,7,0.35861
42,7,0.34733
43,7,0.37956
44,7,0.37956
45,7,0.39890
46,7,0.38601
47,7,0.37311
48,7,0.39648
49,7,0.39245
50,7,0.38601
51,7,0.37150
52,7,0.40938
53,7,0.41179
54,7,0.41179
55,7,0.41179
56,7,0.47465
57,7,0.41179
58,7,0.41179
59,7,0.45370
60,7,0.41179
61,7,0.41179
62,7,0.45048
63,7,0.41179
64,7,0.54718
65,7,0.47465
66,7,0.47465
67,7,0.46256
68,7,0.48029
69,7,0.47626
70,7,0.48513
71,7,0.50044
72,7,0.47626
73,7,0.50044
74,7,0.48271
75,7,0.51495
76,7,0.51495
77,7,0.51495
78,7,0.52703
79,8,0.52462
80,8,0.53187
81,8,0.51092
82,8,0.55040
83,8,0.55040
84,8,0.54718
85,8,0.55363
86,8,0.53912
87,8,0.56652
88,8,0.57941
89,8,0.55363
90,8,0.56571
91,8,0.58344
92,8,0.55846
93,8,0.58908
94,8,0.58586
95,8,0.59714
96,8,0.58989
97,8,0.60520
98,8,0.60520
99,8,0.61084
100,8,0.59875
101,8,0.63099
102,8,0.61810
103,8,0.63502
104,8,0.64388
105,8,0.63502
106,8,0.64227
107,8,0.64952
108,8,0.67934
109,8,0.68256
110,8,0.65033
111,8,0.63744
112,8,0.66484
113,8,0.66967
114,8,0.66161
115,8,0.67451
116,8,0.69546
117,8,0.68095
118,8,0.69546
119,8,0.69223
120,8,0.71480
121,8,0.69868
122,8,0.71399
123,8,0.71399
124,8,0.71480
125,8,0.75670
126,8,0.72125
127,8,0.73897
128,8,0.70190
129,8,0.73414
130,8,0.74220
131,8,0.74059
132,8,0.73978
133,8,0.75993
134,8,0.75590
135,8,0.73253
136,8,0.80183
137,8,0.74462
138,8,0.76960
139,8,0.77282
140,8,0.79780
141,8,0.76234
142,8,0.78813
143,8,0.77927
144,8,0.79216
145,8,0.79216
146,8,0.78894
147,8,0.79538
148,8,0.79861
149,8,0.80667
150,8,0.80505
151,8,0.77282
152,8,0.81150
153,8,0.82198
154,8,0.82117
155,8,0.82440
156,9,0.81150
157,9,0.82440
158,9,0.89531
159,9,0.82440
160,9,0.80989
161,9,0.84615
162,9,0.84374
163,9,0.84696
164,9,0.86308
165,9,0.85582
166,9,0.82440
167,9,0.86308
168,9,0.85663
169,9,0.86872
170,9,0.86308
171,9,0.87597
172,9,0.88161
173,9,0.88403
174,9,0.88886
175,9,0.88806
176,9,0.91465
177,9,0.88242
178,9,0.91465
179,9,0.90176
180,9,0.87436
181,9,0.89773
182,9,0.90821
183,9,0.86952
184,9,0.90821
185,9,0.88564
186,9,0.94044
187,9,0.91949
188,9,0.93722
189,9,0.91949
190,9,0.91465
191,9,0.92674
192,9,0.90821
193,9,0.96623
194,9,0.93399
195,9,0.92513
196,9,0.95575
197,9,0.92755
198,9,0.95253
199,9,0.96381
200,9,0.95011
201,9,0.92271
202,9,0.98476
203,9,0.95011
204,9,0.95736
205,9,0.96300
206,9,0.95978
207,9,0.96864
208,9,0.96300
209,9,0.95172
210,9,0.95978
211,9,0.96139
212,9,0.95333
213,9,0.98557
214,9,0.97106
215,9,0.97429
216,9,0.97590
217,9,0.97832
218,9,0.99685
219,9,0.97429
220,9,0.99201
221,9,0.97832
222,9,0.98557
223,9,0.98799
224,9,0.99846
225,9,0.98718
226,9,1.01055
227,9,0.99604
228,9,0.99685
229,9,0.99201
230,9,0.96462
231,9,1.00491
232,10,1.00491
233,10,0.97590
234,10,0.99443
235,10,1.00249
236,10,1.01055
237,10,1.00491
238,10,1.01780
239,10,1.00733
240,10,1.03070
241,10,0.99201
242,10,1.00894
243,10,1.01780
244,10,1.02989
245,10,1.01055
246,10,1.01458
247,10,1.01458
248,10,1.01377
249,10,1.01055
250,10,1.01136
251,10,1.01297
252,10,1.00813
253,10,1.00491
254,10,1.01538
255,10,0.98879
256,10,1.01458
257,10,1.01538
258,10,1.03070
259,10,1.01780
260,10,1.02667
261,10,1.01055
262,10,1.01136
263,10,1.01377
264,10,1.03070
265,10,1.02264
266,10,1.02908
267,10,1.00894
268,10,1.01458
269,10,1.01377
270,10,1.02989
271,10,1.02425
272,10,1.02022
273,10,1.03070
274,10,1.00974
275,10,1.01055
276,10,1.01136
277,10,1.01458
278,10,1.00410
279,10,1.00813
280,10,1.01700
281,10,1.00491
282,10,0.99846
283,10,1.01297
284,10,1.02828
285,10,1.00491
286,10,1.01700
287,10,0.98315
288,10,1.01619
289,10,1.00007
290,10,1.00330
291,10,1.02425
292,10,1.00733
293,10,1.00894
