t_rel_ms,A0_V
0,0.73473
2283,2.02673
0,0.00000
17,2.04400
0,0.00000
23,2.04743
0,0.00237
23,2.05075
0,0.00000
23,2.04380
0,0.00358
22,2.06253
0,0.00005
2,2.04022
0,0.00000
2,2.04541
0,0.02573
8,2.04813
0,0.01203
21,2.06364
0,0.01284
23,2.04682
0,0.00000
23,2.02255
0,0.00337
23,2.06253
0,0.01093
23,2.04123
0,0.00000
23,2.03977
0,0.00000
11,2.01424
0,0.00000
17,2.04038
0,0.06929
23,2.04420
0,0.00000
22,2.03489
0,0.00000
23,2.00452
0,0.00000
23,2.04602
0,0.00106
23,2.06253
0,0.03862
14,2.04320
0,0.00640
27,2.06706
0,0.00040
23,2.04320
0,0.00166
23,2.06253
0,0.00242
23,2.04526
0,0.00378
23,2.02477
0,0.00000
23,2.06253
0,0.00000
20,2.04586
0,0.00000
15,2.01600
0,0.00076
14,2.06253
0,0.02201
23,2.06253
0,0.00000
23,2.04662
0,0.00000
23,2.04239
0,0.00000
23,2.04591
0,0.00000
24,2.06253
0,0.00000
22,2.04964
0,0.02573
24,2.04179
0,0.00000
23,2.06253
0,0.00257
23,2.06253
0,0.00418
23,2.04974
0,0.00000
23,2.04863
0,0.00000
23,2.04420
0,0.01929
23,2.04440
0,0.00398
23,2.06253
0,0.01929
23,2.06520
0,0.02573
23,2.06253
0,0.01853
23,2.04128
0,0.00337
23,2.04964
0,0.00962
23,2.07311
0,0.00347
23,2.06253
0,0.00000
23,2.06253
0,0.01284
23,2.06253
0,0.00196
23,2.08519
0,0.00000
23,2.04743
0,0.00000
23,2.06253
0,0.00000
23,2.04345
0,0.00000
23,2.04858
0,0.00337
23,2.05055
0,0.00000
28,2.04546
0,0.00005
2,2.07703
0,0.00237
7,2.03675
0,0.00000
15,2.04320
0,0.00000
23,2.04481
0,0.00000
23,2.03816
0,0.00015
23,2.04320
0,0.00000
23,2.07260
0,0.00076
2,2.06253
0,0.00000
2,2.04803
0,0.00000
3,2.03771
0,0.00000
18,2.06253
0,0.00000
23,2.03841
0,0.00000
23,2.02607
0,0.00000
23,2.06253
0,0.00000
23,2.07270
0,0.01929
23,2.01228
0,0.01929
11,2.06253
0,0.00000
17,2.04551
0,0.00000
5,1.03122
0,0.00076
34,2.04692
35,0.00076
0,0.00010
19,2.04350
20,0.00000
0,0.00000
19,2.03972
20,0.00000
0,0.00499
19,2.07059
20,0.00096
0,0.00015
19,2.02466
20,0.00282
0,0.00020
19,2.03972
20,0.00000
0,0.00005
19,2.04516
20,0.00000
0,0.03862
35,2.04380
36,0.00000
0,0.02180
19,2.04194
20,0.00000
0,0.00000
19,2.03917
20,0.00000
0,0.00000
19,2.04088
20,0.00000
0,0.00000
19,2.04662
20,0.00000
0,0.00076
19,2.04108
20,0.00000
0,0.01264
35,2.04889
36,0.05151
0,0.00000
3,2.05024
4,0.00000
0,0.00000
19,2.04320
20,0.00000
0,0.00070
18,2.05045
19,0.00000
0,0.02573
19,2.04964
20,0.00000
0,0.00000
19,2.04320
20,0.00000
0,0.01284
19,2.04576
20,0.00000
0,0.00000
46,2.04410
47,0.00096
0,0.00000
19,2.05014
20,0.00000
0,0.00000
19,2.04964
20,0.00468
0,0.02573
19,2.04148
20,0.00000
0,0.00000
19,2.06253
20,0.00000
0,0.00000
19,2.04440
20,0.00000
0,0.00000
19,2.04194
20,0.00287
0,0.00000
9,2.03353
10,0.00000
0,0.00005
13,2.04360
14,0.00000
0,0.00640
19,2.03897
20,0.00000
0,0.00000
19,2.04148
20,0.00000
0,0.00640
19,2.04642
20,0.00000
0,0.97950
0,0.97321
0,0.95065
1,0.95845
1,0.85074
2,0.73755
3,0.60582
4,0.51558
5,0.41246
6,0.33390
7,0.20620
8,0.14588
10,0.02573
0,1.23082
0,1.22548
0,1.22256
1,1.20494
1,1.10856
2,1.03122
3,0.86852
4,0.78307
4,0.64449
5,0.53814
6,0.51236
7,0.39725
8,0.26421
10,0.18042
11,0.09341
0,1.65884
0,1.67938
0,1.68225
2,1.80930
3,1.90260
5,2.00472
0,0.69354
1,0.71317
1,0.57641
2,0.49836
3,0.41246
4,0.30862
5,0.20620
7,0.10308
10,0.00000
14,0.12241
16,0.22876
17,0.30862
18,0.46402
19,0.51558
20,0.63805
21,0.72143
