datetime,t_rel_us,A0_V
2026-05-10 20:15:10.439000,0,0.16108
2026-05-10 20:17:24.299907,133860907,0.48054
2026-05-10 20:17:24.300021,133861021,0.32831
2026-05-10 20:17:24.354000,0,1.42428
2026-05-10 20:17:24.354040,40,0.99707
2026-05-10 20:17:24.354180,180,0.30137
2026-05-10 20:17:24.389000,0,1.05941
2026-05-10 20:17:24.389052,52,0.61871
2026-05-10 20:17:24.389191,191,0.30933
2026-05-10 20:17:24.429000,0,0.63160
2026-05-10 20:17:24.819030,390030,0.41246
2026-05-10 20:17:24.819264,390264,0.00000
2026-05-10 20:17:24.854000,0,1.51946
2026-05-10 20:17:24.854041,41,1.05347
2026-05-10 20:17:24.854181,181,0.38023
2026-05-10 20:17:24.888000,0,1.40606
2026-05-10 20:17:24.888040,40,0.92164
2026-05-10 20:17:24.888181,181,0.33511
2026-05-10 20:17:24.923000,0,0.91187
2026-05-10 20:17:24.923078,78,0.41246
2026-05-10 20:17:24.923176,176,0.20620
2026-05-10 20:17:24.958000,0,0.38023
2026-05-10 20:17:25.318977,360977,0.59293
2026-05-10 20:17:25.319227,361227,0.23772
2026-05-10 20:17:25.354000,0,1.45248
2026-05-10 20:17:25.354040,40,0.95050
2026-05-10 20:17:25.354180,180,0.29931
2026-05-10 20:17:25.395000,0,0.40913
2026-05-10 20:17:25.818998,423998,0.57359
2026-05-10 20:17:25.819357,424357,0.00000
2026-05-10 20:17:25.854000,0,1.45661
2026-05-10 20:17:25.854040,40,0.99254
2026-05-10 20:17:25.854179,179,0.37056
2026-05-10 20:17:25.921000,0,1.39024
2026-05-10 20:17:25.921040,40,0.92164
2026-05-10 20:17:25.921181,181,0.35183
2026-05-10 20:17:25.962000,0,0.51558
2026-05-10 20:17:26.318978,356978,0.61871
2026-05-10 20:17:26.320015,358015,0.01284
2026-05-10 20:17:26.354000,0,1.41794
2026-05-10 20:17:26.354040,40,0.97643
2026-05-10 20:17:26.354179,179,0.33511
2026-05-10 20:17:26.395000,0,0.41246
2026-05-10 20:17:26.818999,423999,0.51558
2026-05-10 20:17:26.819355,424355,0.20620
2026-05-10 20:17:26.854000,0,1.40465
2026-05-10 20:17:26.854043,43,1.01455
2026-05-10 20:17:26.854184,184,0.33511
2026-05-10 20:17:26.888000,0,1.29286
2026-05-10 20:17:26.888041,41,0.88297
2026-05-10 20:17:26.888196,196,0.30651
2026-05-10 20:17:26.923000,0,0.91520
2026-05-10 20:17:26.923068,68,0.50914
2026-05-10 20:17:26.923192,192,0.30933
2026-05-10 20:17:26.964000,0,1.04622
2026-05-10 20:17:26.964053,53,0.64953
2026-05-10 20:17:26.964209,209,0.30933
2026-05-10 20:17:26.999000,0,1.42192
2026-05-10 20:17:26.999040,40,0.96611
2026-05-10 20:17:26.999183,183,0.36089
2026-05-10 20:17:27.096000,0,0.68316
2026-05-10 20:17:27.319031,223031,0.45722
2026-05-10 20:17:27.319132,223132,0.29563
2026-05-10 20:17:27.354000,0,1.43718
2026-05-10 20:17:27.354040,40,0.97401
2026-05-10 20:17:27.354183,183,0.34699
2026-05-10 20:17:27.388000,0,1.27191
2026-05-10 20:17:27.388040,40,0.90211
2026-05-10 20:17:27.388210,210,0.27710
2026-05-10 20:17:27.489000,0,1.09567
2026-05-10 20:17:27.489052,52,0.67027
2026-05-10 20:17:27.489178,178,0.30490
2026-05-10 20:17:27.536000,0,1.59700
2026-05-10 20:17:27.536028,28,1.23747
2026-05-10 20:17:27.536070,70,0.84430
2026-05-10 20:17:27.536140,140,0.53472
2026-05-10 20:17:27.536224,224,0.32061
2026-05-10 20:17:27.584000,0,1.62641
2026-05-10 20:17:27.584027,27,1.24704
2026-05-10 20:17:27.584071,71,0.91676
2026-05-10 20:17:27.584113,113,0.59293
2026-05-10 20:17:27.584170,170,0.40601
2026-05-10 20:17:27.584393,393,0.20620
2026-05-10 20:17:27.635000,0,1.68598
2026-05-10 20:17:27.635028,28,1.29548
2026-05-10 20:17:27.635072,72,0.86786
2026-05-10 20:17:27.635114,114,0.61549
2026-05-10 20:17:27.635170,170,0.41084
2026-05-10 20:17:27.635595,595,0.26421
datetime,t_rel_us,A0_V
2026-05-10 20:18:21.798000,0,20.66745
2026-05-10 20:18:21.798052,52,13.25926
2026-05-10 20:18:21.798177,177,7.48659
2026-05-10 20:18:21.834000,0,31.74248
2026-05-10 20:18:21.834028,28,25.42296
2026-05-10 20:18:21.834071,71,17.79924
2026-05-10 20:18:21.834114,114,12.77182
2026-05-10 20:18:21.834169,169,11.02351
2026-05-10 20:18:21.834321,321,6.84205
2026-05-10 20:18:21.900000,0,29.65074
2026-05-10 20:18:21.900027,27,23.50746
2026-05-10 20:18:21.900139,139,9.54912
2026-05-10 20:18:21.900222,222,7.47148
2026-05-10 20:18:21.944000,0,6.69803
2026-05-10 20:18:21.946479,2479,1.30000
2026-05-10 20:18:21.978000,0,10.93488
2026-05-10 20:18:22.318978,340978,17.54143
2026-05-10 20:18:22.319213,341213,6.45532
2026-05-10 20:18:22.353000,0,34.22598
2026-05-10 20:18:22.353027,27,26.42300
2026-05-10 20:18:22.353071,71,18.44379
2026-05-10 20:18:22.353127,127,11.51497
2026-05-10 20:18:22.353183,183,9.21073
2026-05-10 20:18:22.353814,814,6.97095
2026-05-10 20:18:22.400000,0,30.36780
2026-05-10 20:18:22.400027,27,23.79348
2026-05-10 20:18:22.400071,71,16.94724
2026-05-10 20:18:22.400100,100,14.15759
2026-05-10 20:18:22.400142,142,10.45148
2026-05-10 20:18:22.400226,226,7.74440
2026-05-10 20:18:22.457000,0,21.15086
2026-05-10 20:18:22.457053,53,13.34788
2026-05-10 20:18:22.457124,124,8.23989
2026-05-10 20:18:22.457289,289,5.81078
2026-05-10 20:18:22.500000,0,30.53799
2026-05-10 20:18:22.500028,28,23.62529
2026-05-10 20:18:22.500071,71,17.36418
2026-05-10 20:18:22.500113,113,12.56638
2026-05-10 20:18:22.500169,169,9.54912
2026-05-10 20:18:22.500334,334,6.70911
2026-05-10 20:18:22.588000,0,31.28627
2026-05-10 20:18:22.588028,28,32.18661
2026-05-10 20:18:22.588141,141,10.53204
2026-05-10 20:18:22.588224,224,7.18043
2026-05-10 20:18:22.675000,0,12.64292
2026-05-10 20:18:22.675224,224,5.42406
2026-05-10 20:18:22.706000,0,25.40282
2026-05-10 20:18:22.706039,39,16.85862
2026-05-10 20:18:22.706165,165,7.48659
2026-05-10 20:18:22.742000,0,10.70929
