Log Start Time,2026-01-17T19:56:48
Delta uS,V Ch1,V Ch2, I, Temp, RTC Stamp
1291132.0,-0.029,0.0,0.0000,74,2026-01-17T19:56:48
1105.0,0.000,0.0,0.0000,74,2026-01-17T19:56:48
48205.0,0.029,0.0,0.0000,74,2026-01-17T19:56:48
105226.0,-0.059,0.0,0.0000,74,2026-01-17T19:56:48
848398.0,-0.029,0.0,0.0000,73,2026-01-17T19:56:49
1001502.0,0.000,0.0,0.0000,74,2026-01-17T19:56:50
1000632.0,-0.029,0.0,0.0000,74,2026-01-17T19:56:51
906696.0,1.475,0.0,0.0050,74,2026-01-17T19:56:52
1078.0,4.129,0.0,0.0050,74,2026-01-17T19:56:52
1070.0,6.460,0.0,0.0025,74,2026-01-17T19:56:52
1069.0,7.964,0.0,0.0000,74,2026-01-17T19:56:52
1069.0,8.495,0.0,0.0025,74,2026-01-17T19:56:52
1068.0,8.967,0.0,0.0000,74,2026-01-17T19:56:52
1069.0,9.409,0.0,0.0000,74,2026-01-17T19:56:52
1068.0,9.675,0.0,0.0000,74,2026-01-17T19:56:52
1069.0,9.822,0.0,0.0000,74,2026-01-17T19:56:52
1068.0,9.970,0.0,0.0000,74,2026-01-17T19:56:52
1069.0,10.029,0.0,0.0000,74,2026-01-17T19:56:52
1068.0,10.147,0.0,0.0000,74,2026-01-17T19:56:52
27815.0,10.294,0.0,0.0000,74,2026-01-17T19:56:52
28245.0,10.324,0.0,0.0000,74,2026-01-17T19:56:52
26511.0,10.294,0.0,0.0000,73,2026-01-17T19:56:52
74538.0,10.353,0.0,0.0000,74,2026-01-17T19:56:52
927122.0,10.294,0.0,0.0000,74,2026-01-17T19:56:53
1000565.0,10.294,0.0,0.0000,74,2026-01-17T19:56:54
1000775.0,10.324,0.0,0.0000,74,2026-01-17T19:56:55
1001616.0,10.265,0.0,0.0000,74,2026-01-17T19:56:56
1000760.0,10.324,0.0,0.0000,74,2026-01-17T19:56:57
1000564.0,10.294,0.0,0.0000,74,2026-01-17T19:56:58
1001825.0,10.294,0.0,0.0000,74,2026-01-17T19:56:59
1000090.0,10.294,0.0,0.0000,74,2026-01-17T19:57:00
731930.0,10.029,0.0,5.1200,74,2026-01-17T19:57:01
25515.0,10.294,0.0,0.0600,74,2026-01-17T19:57:01
243955.0,10.324,0.0,0.0550,74,2026-01-17T19:57:01
696873.0,10.265,0.0,0.6250,74,2026-01-17T19:57:02
1082.0,10.176,0.0,1.8625,74,2026-01-17T19:57:02
1076.0,10.147,0.0,3.0525,74,2026-01-17T19:57:02
1073.0,10.117,0.0,4.2500,74,2026-01-17T19:57:02
1076.0,10.058,0.0,4.8525,74,2026-01-17T19:57:02
1072.0,10.029,0.0,5.1200,74,2026-01-17T19:57:02
45167.0,10.088,0.0,4.1375,74,2026-01-17T19:57:02
1080.0,10.176,0.0,2.9375,74,2026-01-17T19:57:02
1076.0,10.176,0.0,1.7350,74,2026-01-17T19:57:02
1073.0,10.265,0.0,1.1350,74,2026-01-17T19:57:02
1073.0,10.294,0.0,0.0800,74,2026-01-17T19:57:02
249863.0,10.294,0.0,0.0550,74,2026-01-17T19:57:02
729204.0,10.029,0.0,5.1200,74,2026-01-17T19:57:03
25529.0,10.294,0.0,0.0550,74,2026-01-17T19:57:03
247194.0,10.324,0.0,0.0550,73,2026-01-17T19:57:03
693674.0,10.265,0.0,1.0550,73,2026-01-17T19:57:04
1084.0,10.206,0.0,2.2800,73,2026-01-17T19:57:04
1078.0,10.147,0.0,3.4775,73,2026-01-17T19:57:04
1072.0,10.088,0.0,4.0775,73,2026-01-17T19:57:04
1074.0,10.058,0.0,5.1200,73,2026-01-17T19:57:04
44834.0,10.058,0.0,4.9025,74,2026-01-17T19:57:04
1082.0,10.117,0.0,4.3075,74,2026-01-17T19:57:04
1076.0,10.147,0.0,3.1100,74,2026-01-17T19:57:04
1072.0,10.206,0.0,1.9075,74,2026-01-17T19:57:04
1072.0,10.265,0.0,0.7075,74,2026-01-17T19:57:04
1072.0,10.324,0.0,0.1600,74,2026-01-17T19:57:04
1072.0,10.294,0.0,0.0550,74,2026-01-17T19:57:04
250848.0,10.294,0.0,0.0575,74,2026-01-17T19:57:04
727068.0,9.999,0.0,5.1200,73,2026-01-17T19:57:05
25520.0,10.294,0.0,0.0550,74,2026-01-17T19:57:05
249282.0,10.294,0.0,0.0575,73,2026-01-17T19:57:05
691542.0,10.265,0.0,0.8875,73,2026-01-17T19:57:06
1080.0,10.206,0.0,2.1125,73,2026-01-17T19:57:06
1078.0,10.176,0.0,3.3100,73,2026-01-17T19:57:06
1074.0,10.117,0.0,3.9100,73,2026-01-17T19:57:06
1072.0,10.058,0.0,5.1150,73,2026-01-17T19:57:06
46412.0,10.117,0.0,3.8800,74,2026-01-17T19:57:06
1080.0,10.176,0.0,2.6725,74,2026-01-17T19:57:06
1076.0,10.206,0.0,1.4775,74,2026-01-17T19:57:06
1072.0,10.265,0.0,0.8750,74,2026-01-17T19:57:06
1074.0,10.324,0.0,0.0500,74,2026-01-17T19:57:06
253622.0,10.324,0.0,0.0525,74,2026-01-17T19:57:06
724916.0,10.029,0.0,5.1200,73,2026-01-17T19:57:07
25532.0,10.294,0.0,0.0550,74,2026-01-17T19:57:07
251440.0,10.324,0.0,0.0550,74,2026-01-17T19:57:07
688356.0,10.324,0.0,0.1600,73,2026-01-17T19:57:08
1082.0,10.265,0.0,0.7200,73,2026-01-17T19:57:08
1074.0,10.206,0.0,1.9475,73,2026-01-17T19:57:08
1072.0,10.176,0.0,3.1425,73,2026-01-17T19:57:08
1072.0,10.088,0.0,4.3450,73,2026-01-17T19:57:08
1072.0,10.058,0.0,4.9425,73,2026-01-17T19:57:08
1072.0,9.999,0.0,5.1200,73,2026-01-17T19:57:08
45120.0,10.088,0.0,4.0500,73,2026-01-17T19:57:08
1084.0,10.176,0.0,2.8450,73,2026-01-17T19:57:08
1076.0,10.206,0.0,1.6450,73,2026-01-17T19:57:08
1072.0,10.235,0.0,1.0475,73,2026-01-17T19:57:08
1072.0,10.294,0.0,0.0575,73,2026-01-17T19:57:08
257380.0,10.294,0.0,0.0550,74,2026-01-17T19:57:08
721212.0,10.029,0.0,5.1200,73,2026-01-17T19:57:09
25530.0,10.324,0.0,0.0550,73,2026-01-17T19:57:09
254660.0,10.324,0.0,0.0525,73,2026-01-17T19:57:09
686166.0,10.265,0.0,0.5550,73,2026-01-17T19:57:10
1088.0,10.176,0.0,1.7925,73,2026-01-17T19:57:10
1076.0,10.176,0.0,2.9725,73,2026-01-17T19:57:10
1072.0,10.147,0.0,4.1725,73,2026-01-17T19:57:10
1072.0,10.058,0.0,4.7725,73,2026-01-17T19:57:10
1072.0,10.029,0.0,5.1200,73,2026-01-17T19:57:10
44448.0,10.029,0.0,4.8175,73,2026-01-17T19:57:10
1080.0,10.117,0.0,3.6175,73,2026-01-17T19:57:10
1072.0,10.147,0.0,3.0175,73,2026-01-17T19:57:10
1076.0,10.206,0.0,1.8175,73,2026-01-17T19:57:10
1074.0,10.265,0.0,0.6100,73,2026-01-17T19:57:10
1072.0,10.294,0.0,0.0575,73,2026-01-17T19:57:10
260212.0,10.294,0.0,0.0550,73,2026-01-17T19:57:10
718478.0,10.029,0.0,5.1200,73,2026-01-17T19:57:11
25516.0,10.294,0.0,0.0575,73,2026-01-17T19:57:11
256796.0,10.294,0.0,0.0575,74,2026-01-17T19:57:11
1001018.0,10.265,0.0,0.0550,74,2026-01-17T19:57:12
1000914.0,10.294,0.0,0.0550,74,2026-01-17T19:57:13
1000920.0,10.294,0.0,0.0000,73,2026-01-17T19:57:14
1001724.0,10.265,0.0,0.0000,73,2026-01-17T19:57:15
1000452.0,10.294,0.0,0.0000,74,2026-01-17T19:57:16
1000754.0,10.294,0.0,0.0000,74,2026-01-17T19:57:17
1001578.0,10.324,0.0,0.0000,73,2026-01-17T19:57:18
1000760.0,10.324,0.0,0.0000,73,2026-01-17T19:57:19
1000566.0,10.324,0.0,0.0000,74,2026-01-17T19:57:20
1001842.0,10.294,0.0,0.0000,74,2026-01-17T19:57:21
1000552.0,10.294,0.0,0.0000,73,2026-01-17T19:57:22
1001440.0,10.294,0.0,0.0000,73,2026-01-17T19:57:23
1000552.0,10.324,0.0,0.0000,73,2026-01-17T19:57:24
1000768.0,10.324,0.0,0.0000,73,2026-01-17T19:57:25
1001620.0,10.294,0.0,0.0000,73,2026-01-17T19:57:26
1000840.0,10.294,0.0,0.0000,73,2026-01-17T19:57:27
1000560.0,10.324,0.0,0.0000,73,2026-01-17T19:57:28
1000784.0,10.294,0.0,0.0000,73,2026-01-17T19:57:29
1001656.0,10.294,0.0,0.0000,74,2026-01-17T19:57:30
1000788.0,10.294,0.0,0.0000,73,2026-01-17T19:57:31
1001484.0,10.294,0.0,0.0000,73,2026-01-17T19:57:32
1000228.0,10.324,0.0,0.0000,74,2026-01-17T19:57:33
1001492.0,10.294,0.0,0.0000,73,2026-01-17T19:57:34
1000708.0,10.294,0.0,0.0000,73,2026-01-17T19:57:35
1001056.0,10.294,0.0,0.0975,73,2026-01-17T19:57:36
1001036.0,10.294,0.0,0.1025,73,2026-01-17T19:57:37
425868.0,10.324,0.0,0.2900,74,2026-01-17T19:57:37
1084.0,10.235,0.0,0.8875,74,2026-01-17T19:57:37
1072.0,10.206,0.0,2.1050,74,2026-01-17T19:57:37
1076.0,10.147,0.0,3.3000,74,2026-01-17T19:57:37
1072.0,10.117,0.0,4.5025,74,2026-01-17T19:57:37
1072.0,10.058,0.0,5.1025,74,2026-01-17T19:57:37
195832.0,10.088,0.0,4.1325,73,2026-01-17T19:57:38
1084.0,10.176,0.0,3.5325,73,2026-01-17T19:57:38
1072.0,10.176,0.0,2.3325,73,2026-01-17T19:57:38
1072.0,10.265,0.0,1.1300,73,2026-01-17T19:57:38
1076.0,10.294,0.0,0.1100,73,2026-01-17T19:57:38
369660.0,10.324,0.0,0.1050,73,2026-01-17T19:57:38
424752.0,10.294,0.0,0.2275,73,2026-01-17T19:57:38
1084.0,10.265,0.0,0.8125,73,2026-01-17T19:57:38
1072.0,10.206,0.0,2.0300,73,2026-01-17T19:57:38
1072.0,10.176,0.0,3.2200,73,2026-01-17T19:57:38
1076.0,10.088,0.0,4.4225,73,2026-01-17T19:57:38
