Log Start Time,2026-01-17T20:30:06
Delta uS,V Ch1,V Ch2, I, Temp, RTC Stamp
1365247.0,0.000,0.0,0.0000,77,2026-01-17T20:30:06
26779.0,-0.029,0.0,0.0000,77,2026-01-17T20:30:06
26706.0,0.029,0.0,0.0000,77,2026-01-17T20:30:06
43638.0,-0.057,0.0,0.0000,77,2026-01-17T20:30:06
823347.0,0.057,0.0,0.0000,77,2026-01-17T20:30:07
80343.0,0.000,0.0,0.0000,77,2026-01-17T20:30:07
1000946.0,-0.029,0.0,0.0000,77,2026-01-17T20:30:08
1001497.0,0.000,0.0,0.0000,76,2026-01-17T20:30:09
1000840.0,-0.029,0.0,0.0000,76,2026-01-17T20:30:10
1001028.0,-0.029,0.0,0.0000,76,2026-01-17T20:30:11
1000735.0,-0.029,0.0,0.0000,76,2026-01-17T20:30:12
1001274.0,0.000,0.0,0.0000,76,2026-01-17T20:30:13
1000718.0,-0.029,0.0,0.0000,76,2026-01-17T20:30:14
1001303.0,0.000,0.0,0.0000,76,2026-01-17T20:30:15
1000740.0,-0.029,0.0,0.0000,76,2026-01-17T20:30:16
1001336.0,0.000,0.0,0.0000,76,2026-01-17T20:30:17
222492.0,-0.086,0.0,0.0000,76,2026-01-17T20:30:18
66033.0,-0.286,0.0,0.0000,75,2026-01-17T20:30:18
712486.0,0.000,0.0,0.0000,76,2026-01-17T20:30:18
1001020.0,0.029,0.0,0.0000,76,2026-01-17T20:30:19
1000748.0,0.029,0.0,0.0000,76,2026-01-17T20:30:20
1000805.0,0.029,0.0,0.0000,76,2026-01-17T20:30:21
1001323.0,0.000,0.0,0.0000,76,2026-01-17T20:30:22
1000836.0,0.000,0.0,0.0000,76,2026-01-17T20:30:23
1000828.0,-0.029,0.0,0.0000,76,2026-01-17T20:30:24
1001424.0,-0.029,0.0,0.0000,76,2026-01-17T20:30:25
1000764.0,-0.057,0.0,0.0000,76,2026-01-17T20:30:26
1000952.0,-0.029,0.0,0.0000,76,2026-01-17T20:30:27
1000892.0,0.000,0.0,0.0000,76,2026-01-17T20:30:28
1000928.0,0.000,0.0,0.0000,76,2026-01-17T20:30:29
865714.0,2.549,0.0,0.0000,76,2026-01-17T20:30:30
560.0,4.954,0.0,0.0000,76,2026-01-17T20:30:30
24596.0,8.505,0.0,0.0000,76,2026-01-17T20:30:30
570.0,8.649,0.0,0.0000,76,2026-01-17T20:30:30
554.0,8.735,0.0,0.0000,76,2026-01-17T20:30:30
550.0,8.878,0.0,0.0000,76,2026-01-17T20:30:30
552.0,8.964,0.0,0.0000,76,2026-01-17T20:30:30
550.0,9.107,0.0,0.0000,76,2026-01-17T20:30:30
550.0,9.164,0.0,0.0000,76,2026-01-17T20:30:30
552.0,9.250,0.0,0.0000,76,2026-01-17T20:30:30
550.0,9.365,0.0,0.0000,76,2026-01-17T20:30:30
550.0,9.422,0.0,0.0000,76,2026-01-17T20:30:30
552.0,9.536,0.0,0.0000,76,2026-01-17T20:30:30
550.0,9.594,0.0,0.0000,76,2026-01-17T20:30:30
550.0,9.622,0.0,0.0000,76,2026-01-17T20:30:30
550.0,9.680,0.0,0.0000,76,2026-01-17T20:30:30
554.0,9.766,0.0,0.0000,76,2026-01-17T20:30:30
550.0,9.794,0.0,0.0000,76,2026-01-17T20:30:30
550.0,9.880,0.0,0.0000,76,2026-01-17T20:30:30
27352.0,5.327,0.0,0.0000,76,2026-01-17T20:30:30
32150.0,0.515,0.0,0.0000,76,2026-01-17T20:30:30
