Reference,Value,Spec,Datasheet,Footprint,Qty,DNP,Need to Buy
C1,9v supply filter,,~,Capacitor_THT:CP_Radial_D7.5mm_P2.50mm,1,,N
D3,LED,,~,LED_THT:LED_D5.0mm_Clear,1,,N
"H1,H2,H3,H4",MH,,~,MountingHole:MountingHole_3.2mm_M3,4,,N
"J1,J15,J16",POWER1,,~,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,3,,N
"J2,J13,J14",ANALOG,,~,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,3,,N
J3,ICSP,,~,Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical,1,,N
"J4,J9,J10",DIGITAL2,,~,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,3,,N
"J5,J11,J12",DIGITAL1,,~,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,3,,N
"J6,J17,J18",POWER2,,~,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,3,,N
J7,External IO,,~,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,1,,N
J8,ExtADS,,~,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,1,,N
J19,IR Connection,,~,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,1,,N
J20,Conn_02x08_Counter_Clockwise,,~,Package_DIP:DIP-16_W7.62mm,1,,N
"J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34",Conn_01x08,,~,-- mixed values --,14,,N
Q1,IRLZ44N,,http://www.irf.com/product-info/datasheets/data/irlz44n.pdf,Package_TO_SOT_THT:TO-220-3_Vertical,1,,N
R1,V circuit Set 2,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R2,ADS Pull 4,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R3,R Circuit I Bleeder,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R5,V circuit Set 1,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R6,R Circuit I Set,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R7,V REF Divider,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R8,V Bridge,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R9,R Circuit Divider,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R10,V Signal Divider,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R11,ADS Pull 1,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R12,ADS Pull 2,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R13,ADS Pull 3,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
R14,MOSFET Bleeder,,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,N
"U2,U3",LM317_TO-220,,http://www.ti.com/lit/ds/symlink/lm317.pdf,Package_TO_SOT_THT:TO-220-3_Vertical,2,,N
"VIN+1,VIN-1",TestPoint,,~,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,2,,N
C2,V Ref Stablizer,,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,Y
C4,ADS Vdd Input Filter,,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,Y
C5,R ADS Input Filter,,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,Y
C6,V ADS Filter,,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,Y
D1,D,,~,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,Y
D2,R Circuit V Clamp,,~,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,Y
"JP1,JP2,JP3,JP4",Jumper_2_Bridged,,~,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,4,,Y
U4,ADS1115IDGS,,http://www.ti.com/lit/ds/symlink/ads1113.pdf,Package_SO:TSSOP-10_3x3mm_P0.5mm,1,,Y
