"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Adafruit_Feather_32u4_BluefruitLE","","","","Module:Adafruit_Feather_WithMountingHoles","https://cdn-learn.adafruit.com/downloads/pdf/adafruit-feather-32u4-bluefruit-le.pdf"
"C4,C7,C8,C17","4","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D4,D5","2","D_Schottky","","","","Diode_SMD:D_SOD-123",""
"J2,J5","2","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J3","1","Conn_01x04_MountingPin","","","","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",""
"J14","1","Barrel_Jack","","","","Connector_BarrelJack:BarrelJack_Horizontal",""
"Q8","1","AO3400A MOSFET","","","","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/assets/Datasheets/DMG2302U.pdf"
"R1,R2,R5,R6,R7,R27","6","4.7K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R10","1","75K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R12","1","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R14","1","1M","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R17,R18","2","499.0K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R24","1","15K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"SW3","1","SW_SPDT","","","","Button_Switch_THT:SW_Slide_SPDT_Angled_CK_OS102011MA1Q",""
"TP1,TP2","2","TestPoint_Small","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"U1","1","ADuM1200AR","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM1200_1201.pdf"
"U3","1","ADS1115IDGS","","","","Package_SO:TSSOP-10_3x3mm_P0.5mm","http://www.ti.com/lit/ds/symlink/ads1113.pdf"
"U10","1","LM4040DBZ-2.5","","","","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf"
"U13","1","ISO1540","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/iso1541.pdf"
"U14","1","RFM-0505S","","","","Library:XP SCT01F03S05",""
