Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_Murata_PKLCS1212E,161.29,-96.139,-90.0,top
C1,0.1uF,C_0805_2012Metric,148.27,-102.235,180.0,top
D1,D_Schottky,D_SOD-123,149.86,-89.027,90.0,top
D2,D_Schottky,D_SOD-123,149.86,-94.234,90.0,top
J1,Conn_01x01,SolderWirePad_1x01_SMD_1.5x3mm,153.416,-110.998,180.0,top
J2,Conn_01x01,SolderWirePad_1x01_SMD_1.5x3mm,162.052,-110.998,180.0,top
J4,Battery,PinHeader_1x02_P1.27mm_Vertical,169.291,-89.408,0.0,top
J5,Conn_01x01,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,158.623,-87.884,0.0,top
LED1,SK6812SIDE-A_C5378721,LED-SMD_4P-L4.0-W1.6-L,169.411448,-94.615,90.0,top
Q1,AO3400A MOSFET,SOT-23,153.035,-95.3285,180.0,top
R1,4.7K,R_0805_2012Metric,147.066,-95.123,-90.0,top
R10,100K,R_0805_2012Metric,149.8365,-110.363,180.0,top
R11,100K,R_0805_2012Metric,161.1395,-105.029,180.0,top
R12,100K,R_0805_2012Metric,164.9495,-105.029,180.0,top
R13,100K,R_0805_2012Metric,168.656,-105.029,180.0,top
R14,100K,R_0805_2012Metric,169.6485,-107.95,90.0,top
R15,100K,R_0805_2012Metric,166.6005,-109.728,0.0,top
R20,100K,R_0805_2012Metric,146.939,-73.787,90.0,top
R21,100K,R_0805_2012Metric,146.939,-77.597,-90.0,top
R22,1Meg,R_0805_2012Metric,157.3295,-105.029,0.0,top
R4,100K,R_0805_2012Metric,152.273,-91.059,-90.0,top
R5,100K,R_0805_2012Metric,152.4,-100.711,180.0,top
R6,100K,R_0805_2012Metric,153.5195,-105.029,0.0,top
R7,100K,R_0805_2012Metric,149.813,-105.029,0.0,top
R8,100K,R_0805_2012Metric,146.9155,-105.791,90.0,top
R9,100K,R_0805_2012Metric,146.9155,-109.4975,90.0,top
U3,TL431DBZ,SOT-23,148.209,-99.1385,0.0,top
