"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","PN","Link"
"C1,C4,C13,C16","4","100nF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C0603C104K5RACAUTO","https://www.mouser.com/ProductDetail/KEMET/C0603C104K5RACAUTO?qs=8xX%252BF9%252BWV6EZsgKw9G0PqQ%3D%3D"
"C2,C7","2","1uF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","CGA3E1X7R1E105K080AC","https://www.mouser.com/ProductDetail/TDK/CGA3E1X7R1E105K080AC?qs=NRhsANhppD9VxGl2AsmRpw%3D%3D"
"C3,C12","2","1nF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C0603C102K5RACTU","https://www.mouser.com/ProductDetail/KEMET/C0603C102K5RACTU?qs=XGjIaNSbuEs37lO8KrbNPg%3D%3D"
"C5,C14","2","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","CGA5L2NP01H104J160AA","https://www.mouser.com/ProductDetail/TDK/CGA5L2NP01H104J160AA?qs=xLDY6iXSiQalnGozT8yn5w%3D%3D"
"C6,C8,C15,C17","4","1nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","12065C102KAT2A","https://www.mouser.com/ProductDetail/KYOCERA-AVX/12065C102KAT2A?qs=2q%252BWEwtIaala95xflKOUww%3D%3D&srsltid=AfmBOopvqqNSSOroXoCIB9Hl4a29RtpCexXf3l7jGGiV5FWFd1lxUInX"
"C9,C18","2","1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","12063C105KAT2A","https://www.mouser.com/ProductDetail/KYOCERA-AVX/12063C105KAT2A?qs=v27vNPZSEuYOHibjub0%2F2A%3D%3D&srsltid=AfmBOopj2X5K7r4UcIlKU1suW7PNDUumi0riszYPukZq6qkCY0DKOZMt"
"C10,C11,Cs3,Cs6","4","10nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C0805X103JCRAC3316","https://www.mouser.com/ProductDetail/KEMET/C0805X103JCRAC3316?qs=1Kr7Jg1SGW%2F3JkMM0lXEoA%3D%3D"
"Cs1,Cs2,Cs4,Cs5","4","330pF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","KGM15ACG1C331KT ","https://www.mouser.com/ProductDetail/KYOCERA-AVX/KGM15ACG1C331KT?qs=OcgtsXO%252B3gtvpmbAplObCw%3D%3D"
"FB1,FB2,FB3,FB4,FB5,FB6","6","FerriteBead_Small","","","","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","74269244182","https://www.mouser.com/ProductDetail/Wurth-Elektronik/74269244182?qs=sPbYRqrBIVkE9fLgTHgObQ%3D%3D&srsltid=AfmBOoqMYBZE1YCUljBKCMkCxbm_sfRvGcHkOr5fIca_Ij4rqwMkXRf9"
"J1,J6","2","Screw_Terminal_01x02","DNP","","","TerminalBlock_RND:TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal","TBJ05-02-1-G-G ","https://www.mouser.com/ProductDetail/GCT/TBJ05-02-1-G-G?qs=sGAEpiMZZMvPvGwLNS671%252B7aWYNAXBhX8XvoDdETm3JpOKF2nYEgGg%3D%3D"
"J7","1","Power Input","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","1725656","https://www.mouser.com/ProductDetail/Phoenix-Contact/1725656?qs=Ul7CXFMnlWWQeccayYbRmw%3D%3D"
"J8,J11","2","Differential Out","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","1725656","https://www.mouser.com/ProductDetail/Phoenix-Contact/1725656?qs=Ul7CXFMnlWWQeccayYbRmw%3D%3D"
"J9","1","SE Out","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","1725656","https://www.mouser.com/ProductDetail/Phoenix-Contact/1725656?qs=Ul7CXFMnlWWQeccayYbRmw%3D%3D"
"R1,R2","2","47k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","AA0805FR-0747KL ","https://www.mouser.com/ProductDetail/YAGEO/AA0805FR-0747KL?qs=sGAEpiMZZMtlubZbdhIBIKyAF7UHeJ2ZTYGZiuXa91Q%3D"
"Ri2,Ri4","2","10","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","CRT0805ABY-10R0ELF ","https://www.mouser.com/ProductDetail/Bourns/CRT0805ABY-10R0ELF?qs=sGAEpiMZZMtlubZbdhIBIKn8wLs5z3UnJ25bjVovRHo%3D"
"Ri3","1","Shunt","","","","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","TLRP2H20WR010FTE","https://www.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/TLRP2H20WR010FTE?qs=QNEnbhJQKvZape2T9j%252BBKg%3D%3D"
"RN3,RN4","2","R_Pack04_Split","","","","Resistor_SMD:R_Array_Convex_4x0612","ACASA100221002P100 ","https://www.mouser.com/ProductDetail/Vishay-Beyschlag/ACASA100221002P100?qs=nuXzIS8loXH2JxXK%252BwvJhg%3D%3D&mgh=1&utm_source=chatgpt.com"
"Rs5,Rs6,Rs8,Rs9,Rv3","5","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","560112120002","https://www.mouser.com/ProductDetail/Wurth-Elektronik/560112120002?qs=mELouGlnn3eBBWIqSM0BGg%3D%3D"
"Rs7,Rs10","2","120","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","560112120002","https://www.mouser.com/ProductDetail/Wurth-Elektronik/560112120002?qs=mELouGlnn3eBBWIqSM0BGg%3D%3D"
"Rv1,Rv2","2","499K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","ERA-6AED4993V ","https://www.mouser.com/ProductDetail/Panasonic/ERA-6AED4993V?qs=MNPzkKEzRtQfJUE3Ywhp7w%3D%3D"
"U1","1","OPA2191ID","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","OPA2191ID ","https://www.mouser.com/ProductDetail/Texas-Instruments/OPA2191ID?qs=sGAEpiMZZMutXGli8Ay4kDGKkNcm5bVr%2F%252Bx0o4Nwxp4%3D"
"Ui1","1","AMC3301DWER","","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","AMC3301DWER ","https://www.mouser.com/ProductDetail/Texas-Instruments/AMC3301DWER?qs=B6kkDfuK7%2FBE8XAstzkvNA%3D%3D"
"Uv1","1","AMC3330QDWERQ1","","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","AMC3330","https://www.mouser.com/ProductDetail/Texas-Instruments/AMC3330QDWERQ1?qs=81r%252BiQLm7BThq9fK1XpIYg%3D%3D"
