Comment,Designator,Footprint,LCSC,Quantity
0,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17477,1
0.1uF,"C10,C17,C4,C9",C_0603_1608Metric,C14663,4
15K,R24,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C473301,1
1M,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C445668,1
4.7K,"R1,R2,R27",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23162,3
499.0K,"R17,R18",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C515730,2
75K,R10,R_0402_1005Metric,C25798,1
ADS1015,U3,TSSOP-10_3x3mm_P0.5mm,C193969,1
ADuM1200AR,U1,SOIC-8_3.9x4.9mm_P1.27mm,C15219,1
AO3400A MOSFET,Q8,SOT-23,C20917,1
D_Schottky,"D4,D5",D_SOD-123,C8598,2
ISO1540,U13,SOIC-8_3.9x4.9mm_P1.27mm,C179739,1
LM4040DBZ-2.5,U10,SOT-23,C44215,1
MEE1S0305SC,PS1,Converter_DCDC_Murata_MEE1SxxxxSC_THT,C7465186,1
R_Pack04_Split,RN1,R_Array_Convex_4x0603,C20197,1
SSSS811101,SW1,SW4_SSSS811101_ALPS,C109335,1
Screw_Terminal_01x02,J5,TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,C7509570,1
Conn_01x12_Pin,J2,PinSocket_1x12_P2.54mm_Vertical,,1
Conn_01x16_Pin,J1,PinSocket_1x16_P2.54mm_Vertical,,1
TestPoint_Small,A3,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,A2,TestPoint_Pad_D1.0mm,,1
